table_id,row_id,r_d_activity_full_path,r_d_activity_level_1,r_d_activity_level_2,r_d_activity_hierarchy_depth,field_companies_number_,field_public_support_number_yes,field_public_support_number_no,field_public_support_percent_yes,field_public_support_percent_no
2646,r001,Process innovating companies,Process innovating companies,,1,"['    752,895 ', '&nbsp;']","['    27,890 ', '&nbsp;']","['    725,005 ', '&nbsp;']","['    3.7 ', '&nbsp;']","['    96.3 ', '&nbsp;']"
2646,r002,Process innovating companies -> R&D-active companies,Process innovating companies,R&D-active companies,2,"['    270,271 ', '&nbsp;']","['    17,415 ', '&nbsp;']","['    252,855 ', '&nbsp;']","['    6.4 ', '&nbsp;']","['    93.6 ', '&nbsp;']"
2646,r003,Process innovating companies -> Non-R&D-active companies,Process innovating companies,Non-R&D-active companies,2,"['    482,624 ', '&nbsp;']","['    10,474 ', '&nbsp;']","['    472,150 ', '&nbsp;']","['    2.2 ', '&nbsp;']","['    97.8 ', '&nbsp;']"
