table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_sales_worldwide,field_sales_domestic,field_sales_foreign
8800,r001,All business activities,All business activities,,1,21100–81000,"['14,863,520', '  ']","['11,296,552', '  ']","['3,566,968', '  ']"
8800,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['119,553', '  ']","['80,518', '  ']","['39,035', '  ']"
8800,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['15,337', '  ']","['13,947', '  ']","['1,391', '  ']"
8800,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['53,272', '  ']","['28,322', '  ']","['24,950', 'i ']"
8800,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['288,292', '  ']","['286,719', '  ']","['1,573', '  ']"
8800,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['99,239', '  ']","['88,849', '  ']","['10,390', '  ']"
8800,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['795,967', '  ']","['583,067', '  ']","['212,900', '  ']"
8800,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['131,037', '  ']","['89,778', '  ']","['41,259', '  ']"
8800,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['75,788', '  ']","['42,949', '  ']","['32,838', '  ']"
8800,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['80,098', '  ']","['56,047', '  ']","['24,051', '  ']"
8800,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['43,662', '  ']","['40,526', '  ']","['3,136', '  ']"
8800,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['138,038', '  ']","['104,681', '  ']","['33,357', '  ']"
8800,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['36,160', '  ']","['32,542', '  ']","['3,617', '  ']"
8800,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['378,920', '  ']","['235,776', '  ']","['143,144', '  ']"
8800,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['18,932', '  ']","['16,003', '  ']","['2,929', '  ']"
8800,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['8,947', '  ']","['8,476', '  ']","['471', '  ']"
