table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_graduate_students_rank,field_all_graduate_students_total,field_all_graduate_students_science,field_all_graduate_students_engineering,field_all_graduate_students_health,field_full_time_students_rank,field_full_time_students_total,field_full_time_students_science,field_full_time_students_engineering,field_full_time_students_health,field_part_time_students_rank,field_part_time_students_total,field_part_time_students_science,field_part_time_students_engineering,field_part_time_students_health
8279,r001,All institutions<sup>a</sup>,All institutions<sup>a</sup>,,1,-,760156,509784,168050,82322,-,543823,366207,122853,54763,-,216333,143577,45197,27559
8279,r002,All institutions<sup>a</sup> -> Georgia Institute of Technology,All institutions<sup>a</sup>,Georgia Institute of Technology,2,1,16028,11956,4032,40,16,5811,2480,3312,19,1,10217,9476,720,21
8279,r003,All institutions<sup>a</sup> -> Johns Hopkins U.,All institutions<sup>a</sup>,Johns Hopkins U.,2,2,14189,7964,3844,2381,15,5865,3470,1430,965,2,8324,4494,2414,1416
8279,r004,All institutions<sup>a</sup> -> U. Southern California,All institutions<sup>a</sup>,U. Southern California,2,3,11765,7415,3285,1065,3,9267,6267,2196,804,10,2498,1148,1089,261
8279,r005,All institutions<sup>a</sup> -> Columbia U. in the City of New York,All institutions<sup>a</sup>,Columbia U. in the City of New York,2,4,11386,7616,2879,891,2,9521,6394,2342,785,17,1865,1222,537,106
8279,r006,All institutions<sup>a</sup> -> New York U.,All institutions<sup>a</sup>,New York U.,2,5,11211,8461,1957,793,4,8608,6343,1733,532,9,2603,2118,224,261
8279,r007,All institutions<sup>a</sup> -> Liberty U.,All institutions<sup>a</sup>,Liberty U.,2,6,11137,10069,28,1040,17,5797,5302,24,471,3,5340,4767,4,569
8279,r008,All institutions<sup>a</sup> -> U. Michigan,All institutions<sup>a</sup>,U. Michigan,2,7,11054,5930,4353,771,1,9694,5359,3579,756,27,1360,571,774,15
8279,r009,All institutions<sup>a</sup> -> Arizona State U.,All institutions<sup>a</sup>,Arizona State U.,2,8,10765,7081,3534,150,8,6501,4119,2252,130,4,4264,2962,1282,20
8279,r010,"All institutions<sup>a</sup> -> U. Illinois, Urbana-Champaign",All institutions<sup>a</sup>,"U. Illinois, Urbana-Champaign",2,9,9735,6638,2885,212,5,8232,5354,2674,204,23,1503,1284,211,8
8279,r011,All institutions<sup>a</sup> -> U. Florida,All institutions<sup>a</sup>,U. Florida,2,10,8579,5740,2183,656,19,5587,3615,1506,466,8,2992,2125,677,190
8279,r012,All institutions<sup>a</sup> -> Texas A&M U.,All institutions<sup>a</sup>,Texas A&M U.,2,11,8402,4742,3252,408,6,6856,3795,2706,355,22,1546,947,546,53
8279,r013,All institutions<sup>a</sup> -> Purdue U.,All institutions<sup>a</sup>,Purdue U.,2,12,8271,3009,4758,504,24,5131,2254,2554,323,7,3140,755,2204,181
8279,r014,All institutions<sup>a</sup> -> U. Washington,All institutions<sup>a</sup>,U. Washington,2,13,8129,5085,2006,1038,12,6173,3973,1367,833,16,1956,1112,639,205
8279,r015,"All institutions<sup>a</sup> -> U. California, Berkeley",All institutions<sup>a</sup>,"U. California, Berkeley",2,14,7906,4819,2379,708,9,6442,3674,2322,446,24,1464,1145,57,262
8279,r016,"All institutions<sup>a</sup> -> U. Texas, Austin",All institutions<sup>a</sup>,"U. Texas, Austin",2,15,7632,5004,2146,482,20,5432,3207,1869,356,13,2200,1797,277,126
8279,r017,All institutions<sup>a</sup> -> U. Colorado,All institutions<sup>a</sup>,U. Colorado,2,16,7556,4253,2537,766,11,6260,3699,1926,635,31,1296,554,611,131
8279,r018,All institutions<sup>a</sup> -> Pennsylvania State U.,All institutions<sup>a</sup>,Pennsylvania State U.,2,17,7244,4554,2475,215,28,4918,3115,1620,183,11,2326,1439,855,32
8279,r019,All institutions<sup>a</sup> -> Northeastern U.,All institutions<sup>a</sup>,Northeastern U.,2,18,6961,3178,3644,139,7,6586,2966,3492,128,153,375,212,152,11
8279,r020,"All institutions<sup>a</sup> -> U. Maryland, College Park",All institutions<sup>a</sup>,"U. Maryland, College Park",2,19,6729,3892,1663,1174,23,5156,3374,1242,540,20,1573,518,421,634
8279,r021,All institutions<sup>a</sup> -> Boston U.,All institutions<sup>a</sup>,Boston U.,2,20,6512,4486,1042,984,26,4959,3336,905,718,21,1553,1150,137,266
