table_id,row_id,_b_federal_agency_b_full_path,_b_federal_agency_b_level_1,_b_federal_agency_b_level_2,_b_federal_agency_b_hierarchy_depth,field_r_d_expenditures
7939,r001,All other federal agencies,All other federal agencies,,1,3547676
7939,r002,All other federal agencies -> Agency for International Development,All other federal agencies,Agency for International Development,2,173984
7939,r003,All other federal agencies -> Appalachian Regional Commission,All other federal agencies,Appalachian Regional Commission,2,989
7939,r004,All other federal agencies -> Central Intelligence Agency,All other federal agencies,Central Intelligence Agency,2,5045
7939,r005,All other federal agencies -> Consumer Financial Protection Bureau,All other federal agencies,Consumer Financial Protection Bureau,2,200
7939,r006,All other federal agencies -> Consumer Product Safety Commission,All other federal agencies,Consumer Product Safety Commission,2,449
7939,r007,All other federal agencies -> Corporation for National and Community Service,All other federal agencies,Corporation for National and Community Service,2,6071
7939,r008,All other federal agencies -> Department of Commerce,All other federal agencies,Department of Commerce,2,719091
7939,r009,All other federal agencies -> Department of Defense<sup>a</sup>,All other federal agencies,Department of Defense<sup>a</sup>,2,459
7939,r010,All other federal agencies -> Department of Education,All other federal agencies,Department of Education,2,648351
7939,r011,All other federal agencies -> Department of Health and Human Services<sup>a</sup>,All other federal agencies,Department of Health and Human Services<sup>a</sup>,2,1319
7939,r012,All other federal agencies -> Department of Homeland Security,All other federal agencies,Department of Homeland Security,2,151581
7939,r013,All other federal agencies -> Department of Housing and Urban Development,All other federal agencies,Department of Housing and Urban Development,2,16644
7939,r014,All other federal agencies -> Department of Justice,All other federal agencies,Department of Justice,2,126554
7939,r015,All other federal agencies -> Department of Labor,All other federal agencies,Department of Labor,2,35254
7939,r016,All other federal agencies -> Department of State,All other federal agencies,Department of State,2,43608
7939,r017,All other federal agencies -> Department of the Interior,All other federal agencies,Department of the Interior,2,284569
7939,r018,All other federal agencies -> Department of the Treasury,All other federal agencies,Department of the Treasury,2,61194
7939,r019,All other federal agencies -> Department of Transportation,All other federal agencies,Department of Transportation,2,438872
7939,r020,All other federal agencies -> Department of Veterans Affairs,All other federal agencies,Department of Veterans Affairs,2,97588
7939,r021,All other federal agencies -> Environmental Protection Agency,All other federal agencies,Environmental Protection Agency,2,80693
7939,r022,All other federal agencies -> Executive Office of the President,All other federal agencies,Executive Office of the President,2,7415
7939,r023,All other federal agencies -> Federal Communications Commission,All other federal agencies,Federal Communications Commission,2,2998
7939,r024,All other federal agencies -> Federal Deposit Insurance Corporation,All other federal agencies,Federal Deposit Insurance Corporation,2,188
7939,r025,All other federal agencies -> General Services Administration,All other federal agencies,General Services Administration,2,65691
7939,r026,All other federal agencies -> Institute of Museum and Library Services,All other federal agencies,Institute of Museum and Library Services,2,8030
7939,r027,All other federal agencies -> Inter-American Foundation,All other federal agencies,Inter-American Foundation,2,78
7939,r028,All other federal agencies -> Medicare Payment Advisory Commission,All other federal agencies,Medicare Payment Advisory Commission,2,38
7939,r029,All other federal agencies -> Millennium Challenge Corporation,All other federal agencies,Millennium Challenge Corporation,2,148
7939,r030,All other federal agencies -> National Archives and Records Administration,All other federal agencies,National Archives and Records Administration,2,1247
7939,r031,All other federal agencies -> National Commission on Military Aviation Safety,All other federal agencies,National Commission on Military Aviation Safety,2,45
7939,r032,All other federal agencies -> National Council on Disability,All other federal agencies,National Council on Disability,2,21
7939,r033,All other federal agencies -> National Endowment for the Arts,All other federal agencies,National Endowment for the Arts,2,2190
7939,r034,All other federal agencies -> National Endowment for the Humanities,All other federal agencies,National Endowment for the Humanities,2,16883
7939,r035,All other federal agencies -> Northern Border Regional Commission,All other federal agencies,Northern Border Regional Commission,2,1072
7939,r036,All other federal agencies -> Nuclear Regulatory Commission,All other federal agencies,Nuclear Regulatory Commission,2,5471
7939,r037,All other federal agencies -> Office of Personnel Management,All other federal agencies,Office of Personnel Management,2,2884
7939,r038,All other federal agencies -> Office of the Director of National Intelligence,All other federal agencies,Office of the Director of National Intelligence,2,29913
7939,r039,All other federal agencies -> Small Business Administration,All other federal agencies,Small Business Administration,2,23011
7939,r040,All other federal agencies -> Smithsonian Institution,All other federal agencies,Smithsonian Institution,2,3397
7939,r041,All other federal agencies -> Social Security Administration,All other federal agencies,Social Security Administration,2,12829
7939,r042,All other federal agencies -> Tennessee Valley Authority,All other federal agencies,Tennessee Valley Authority,2,1462
7939,r043,All other federal agencies -> U.S. Institute of Peace,All other federal agencies,U.S. Institute of Peace,2,18
7939,r044,All other federal agencies -> U.S. Postal Service,All other federal agencies,U.S. Postal Service,2,143
7939,r045,All other federal agencies -> U.S. Securities and Exchange Commission,All other federal agencies,U.S. Securities and Exchange Commission,2,386
7939,r046,All other federal agencies -> U.S. Trade Development Agency,All other federal agencies,U.S. Trade Development Agency,2,199
7939,r047,All other federal agencies -> Other agencies not listed<sup>b</sup>,All other federal agencies,Other agencies not listed<sup>b</sup>,2,469404
