table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_performed_by_the_company,field_performed_by_others
8798,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['6', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']"
8798,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['1,183', '&nbsp;']","['1,173 - 1,184', '&nbsp;']","['0 - 10', '&nbsp;']"
8798,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['4', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']"
8798,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['296', '&nbsp;']","['274 - 287', '&nbsp;']","['9 - 23', '&nbsp;']"
8798,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['231', '&nbsp;']","['221', '&nbsp;']","['10', '&nbsp;']"
8798,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['66', '&nbsp;']","['53 - 66', '&nbsp;']","['0 - 12', '&nbsp;']"
8798,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['40,005', '&nbsp;']","['37,712', '&nbsp;']","['2,293', '&nbsp;']"
8798,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['46 - 53', '&nbsp;']","['46 - 53', 'i']","['0', '&nbsp;']"
8798,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['48', '&nbsp;']","['40', '&nbsp;']","['8', '&nbsp;']"
8798,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['108', '&nbsp;']","['59', '&nbsp;']","['49', '&nbsp;']"
8798,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['2 - 50', '&nbsp;']","['2 - 50', '&nbsp;']","['0', '&nbsp;']"
8798,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['3', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']"
8798,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['1,257', '&nbsp;']","['1,144', '&nbsp;']","['113', '&nbsp;']"
8798,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['592', '&nbsp;']","['539', '&nbsp;']","['54', '&nbsp;']"
