table_id,row_id,opinion,1985_n_1_986_,1988_n_2_041_,1990_n_2_005_,1992_n_1_995_,1995_n_2_006_,1997_n_2_000_,1999_n_1_882_,2001_n_1_574_,2004_n_2_025_,2006_n_1_864_,2008_n_2_021_,2010_n_1_434_,2012_n_2_256_,2014_n_2_130_,2016_n_1_390_,2018_n_1_175_
6670,r001,Strongly agree or agree,79,81,80,76,78,79,82,81,82,87,84,82,83,84,83,84
6670,r002,Strongly disagree or disagree,16,15,16,20,18,18,15,16,16,10,12,13,13,13,15,13
6670,r003,Don't know,5,4,4,3,3,3,3,4,1,3,4,4,4,2,2,3
