table_id,row_id,_b_field_of_doctorate_b_full_path,_b_field_of_doctorate_b_level_1,_b_field_of_doctorate_b_level_2,_b_field_of_doctorate_b_level_3,_b_field_of_doctorate_b_hierarchy_depth,field_1991_number,field_1991_percent,field_1996_number,field_1996_percent,field_2001_number,field_2001_percent,field_2006_number,field_2006_percent,field_2011_number,field_2011_percent,field_2016_number,field_2016_percent,field_2021_number,field_2021_percent
7529,r001,All fields,All fields,,,1,37530,100.0,42437,100.0,40744,100.0,45620,100.0,48909,100.0,54809,100.0,52250,100.0
7529,r002,All fields -> Life sciences,All fields,Life sciences,,2,6967,18.6,8337,19.6,8369,20.5,9703,21.3,11535,23.6,12539,22.9,11814,22.6
7529,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,3,1277,3.4,1289,3.0,1132,2.8,1146,2.5,1206,2.5,1379,2.5,1334,2.6
7529,r004,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,4649,12.4,5724,13.5,5697,14.0,6652,14.6,8152,16.7,8863,16.2,8149,15.6
7529,r005,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,1041,2.8,1324,3.1,1540,3.8,1905,4.2,2177,4.5,2297,4.2,2331,4.5
7529,r006,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,4406,11.7,4550,10.7,4024,9.9,4686,10.3,5271,10.8,6251,11.4,5757,11.0
7529,r007,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,3,2194,5.8,2149,5.1,1981,4.9,2364,5.2,2432,5.0,2703,4.9,2555,4.9
7529,r008,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,801,2.1,724,1.7,660,1.6,757,1.7,852,1.7,1227,2.2,1064,2.0
7529,r009,All fields -> Physical sciences and earth sciences -> Physics and astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy,3,1411,3.8,1677,4.0,1383,3.4,1565,3.4,1987,4.1,2321,4.2,2138,4.1
7529,r010,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1838,4.9,2042,4.8,1840,4.5,2778,6.1,3273,6.7,3954,7.2,4373,8.4
7529,r011,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,3,800,2.1,920,2.2,830,2.0,1453,3.2,1667,3.4,2082,3.8,2361,4.5
7529,r012,All fields -> Mathematics and computer sciences -> Mathematics and statistics,All fields,Mathematics and computer sciences,Mathematics and statistics,3,1038,2.8,1122,2.6,1010,2.5,1325,2.9,1606,3.3,1872,3.4,2012,3.9
7529,r013,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,6470,17.2,7167,16.9,7151,17.6,7231,15.9,8220,16.8,9037,16.5,8675,16.6
7529,r014,All fields -> Psychology and social sciences -> Psychology,All fields,Psychology and social sciences,Psychology,3,3250,8.7,3494,8.2,3400,8.3,3260,7.1,3576,7.3,3910,7.1,3797,7.3
7529,r015,All fields -> Psychology and social sciences -> Anthropology,All fields,Psychology and social sciences,Anthropology,3,341,0.9,397,0.9,411,1.0,472,1.0,553,1.1,460,0.8,400,0.8
7529,r016,All fields -> Psychology and social sciences -> Economics,All fields,Psychology and social sciences,Economics,3,885,2.4,1008,2.4,927,2.3,1029,2.3,1121,2.3,1236,2.3,1230,2.4
7529,r017,All fields -> Psychology and social sciences -> Political science and government,All fields,Psychology and social sciences,Political science and government,3,434,1.2,622,1.5,658,1.6,616,1.4,685,1.4,745,1.4,581,1.1
7529,r018,All fields -> Psychology and social sciences -> Sociology,All fields,Psychology and social sciences,Sociology,3,465,1.2,517,1.2,566,1.4,579,1.3,656,1.3,613,1.1,560,1.1
7529,r019,All fields -> Psychology and social sciences -> Other social sciences,All fields,Psychology and social sciences,Other social sciences,3,1095,2.9,1129,2.7,1189,2.9,1275,2.8,1629,3.3,2073,3.8,2107,4.0
7529,r020,All fields -> Engineering,All fields,Engineering,,2,5213,13.9,6309,14.9,5512,13.5,7186,15.8,8032,16.4,9459,17.3,10240,19.6
7529,r021,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,206,0.5,287,0.7,203,0.5,238,0.5,262,0.5,370,0.7,373,0.7
7529,r022,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,149,0.4,220,0.5,233,0.6,525,1.2,898,1.8,1089,2.0,1064,2.0
