table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
5392,r001,All R&D fields,All R&D fields,,,,1,37477582,40768251,40142223,39445931,37961118,37846802,38788615,40248797,41863137,44482526,46143829
5392,r002,All R&D fields -> Science,All R&D fields,Science,,,2,30791579,33373047,32497010,31764827,30399957,30316863,31093059,32204064,33521628,35571485,36778903
5392,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,1175343,1294280,1360430,1552301,1390715,1419694,1443376,1497681,1630119,1794620,2000937
5392,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2013754,2181206,2203399,2094690,2049405,2065883,1991778,2042291,2048266,2067199,2109065
5392,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,338687,383740,389095,397620,389374,453710,513280,503368,485737,460463,471158
5392,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,735094,799906,818785,767770,740500,698976,604474,685630,697934,676550,696991
5392,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,666930,705852,673888,662219,663079,647119,665139,656802,649212,698401,713086
5392,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,273043,291708,321631,267081,256452,266078,208885,196491,215383,231785,227830
5392,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,21702125,23663408,22753602,22227278,21270307,21163826,21795284,22749759,23867788,25458209,26254002
5392,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,957710,1042740,1137729,1111006,1085147,1096997,977258,978308,950634,989763,1072057
5392,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,7579196,8213534,7741440,7604786,7238421,7103267,7699352,8179596,8572870,9263466,9339917
5392,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,12068659,13184595,12681515,12287408,11742527,11723297,12101391,12688424,13395870,14194037,14733751
5392,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation<sup>a</sup>,All R&D fields,Science,Life sciences,Natural resources and conservation<sup>a</sup>,4,na,na,na,na,na,na,316604,271470,320412,369968,410120
