table_id,row_id,technology,companies_number_,no_use,testing_but_not_using_in_production_or_service,in_use_for_less_than_5_of_production_or_service,in_use_for_between_5_and_25_of_production_or_service,in_use_for_more_than_25_of_production_or_service,don_t_know
2681,r001,Augmented reality,"['    4,603,606 ', '&nbsp;']","['    80.0 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    19.0 ', '&nbsp;']"
2681,r002,Automated guided vehicles (AGVs) or AGV systems,"['    4,603,606 ', '&nbsp;']","['    81.8 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    17.4 ', '&nbsp;']"
2681,r003,Automated storage and retrieval systems,"['    4,603,606 ', '&nbsp;']","['    76.4 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.8 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    2.5 ', '&nbsp;']","['    19.0 ', '&nbsp;']"
2681,r004,Machine learning,"['    4,603,606 ', '&nbsp;']","['    79.3 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    0.8 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    0.8 ', '&nbsp;']","['    17.8 ', '&nbsp;']"
2681,r005,Machine vision software,"['    4,603,606 ', '&nbsp;']","['    80.6 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    17.6 ', '&nbsp;']"
2681,r006,Natural language processing,"['    4,603,606 ', '&nbsp;']","['    81.1 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    17.5 ', '&nbsp;']"
2681,r007,Radio-frequency identification (RFID) inventory system,"['    4,603,606 ', '&nbsp;']","['    81.8 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    17.1 ', '&nbsp;']"
2681,r008,Robotics,"['    4,603,606 ', '&nbsp;']","['    82.1 ', '&nbsp;']","['    0.2 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    16.6 ', '&nbsp;']"
2681,r009,"Touchscreens/ kiosks for customer interface (e.g., self-checkout, self-check-in, touchscreen ordering)","['    4,603,606 ', '&nbsp;']","['    77.8 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    1.2 ', '&nbsp;']","['    2.3 ', '&nbsp;']","['    16.6 ', '&nbsp;']"
2681,r010,Voice recognition software,"['    4,603,606 ', '&nbsp;']","['    80.8 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    1.0 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    16.6 ', '&nbsp;']"
