table_id,row_id,_b_sex_citizenship_ethnicity_and_race_b_full_path,_b_sex_citizenship_ethnicity_and_race_b_level_1,_b_sex_citizenship_ethnicity_and_race_b_level_2,_b_sex_citizenship_ethnicity_and_race_b_level_3,_b_sex_citizenship_ethnicity_and_race_b_level_4,_b_sex_citizenship_ethnicity_and_race_b_level_5,_b_sex_citizenship_ethnicity_and_race_b_hierarchy_depth,field_full_time_all_full_time_total_number,field_full_time_all_full_time_total_percent,field_full_time_all_full_time_master_s_number,field_full_time_all_full_time_master_s_percent,field_full_time_all_full_time_doctoral_number,field_full_time_all_full_time_doctoral_percent,field_full_time_first_time_full_time_all_first_time_full_time_number,field_full_time_first_time_full_time_all_first_time_full_time_percent,field_full_time_first_time_full_time_master_s_number,field_full_time_first_time_full_time_master_s_percent,field_full_time_first_time_full_time_doctoral_number,field_full_time_first_time_full_time_doctoral_percent,field_part_time_all_part_time_number,field_part_time_all_part_time_percent,field_part_time_master_s_number,field_part_time_master_s_percent,field_part_time_doctoral_number,field_part_time_doctoral_percent
6079,r001,All individuals,All individuals,,,,,1,491515,100.0,243859,100.0,247656,100.0,143269,100.0,102096,100.0,41173,100.0,206298,100.0,170619,100.0,35679,100.0
6079,r002,All individuals -> Male,All individuals,Male,,,,2,250749,51.0,112292,46.0,138457,55.9,66686,46.5,45074,44.1,21612,52.5,109164,52.9,89856,52.7,19308,54.1
6079,r003,All individuals -> Female,All individuals,Female,,,,2,240766,49.0,131567,54.0,109199,44.1,76583,53.5,57022,55.9,19561,47.5,97134,47.1,80763,47.3,16371,45.9
6079,r004,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,,2,314694,64.0,167766,68.8,146928,59.3,107459,75.0,79715,78.1,27744,67.4,172357,83.5,146539,85.9,25818,72.4
6079,r005,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,40815,8.3,24436,10.0,16379,6.6,14866,10.4,11483,11.2,3383,8.2,21864,10.6,19314,11.3,2550,7.1
6079,r006,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,,,
6079,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,1322,0.3,722,0.3,600,0.2,402,0.3,306,0.3,96,0.2,720,0.3,562,0.3,158,0.4
6079,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,34502,7.0,18544,7.6,15958,6.4,12838,9.0,9685,9.5,3153,7.7,18592,9.0,16531,9.7,2061,5.8
6079,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,24560,5.0,15989,6.6,8571,3.5,9390,6.6,7664,7.5,1726,4.2,17356,8.4,14853,8.7,2503,7.0
6079,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,454,0.1,294,0.1,160,0.1,162,0.1,135,0.1,27,0.1,324,0.2,284,0.2,40,0.1
6079,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,186375,37.9,93614,38.4,92761,37.5,60893,42.5,44007,43.1,16886,41.0,97680,47.3,81476,47.8,16204,45.4
6079,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,12103,2.5,6377,2.6,5726,2.3,4223,2.9,3063,3.0,1160,2.8,5476,2.7,4692,2.7,784,2.2
6079,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,3,14563,3.0,7790,3.2,6773,2.7,4685,3.3,3372,3.3,1313,3.2,10345,5.0,8827,5.2,1518,4.3
6079,r014,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,,2,176821,36.0,76093,31.2,100728,40.7,35810,25.0,22381,21.9,13429,32.6,33941,16.5,24080,14.1,9861,27.6
6079,r015,All individuals -> Male,All individuals,Male,,,,2,,,,,,,,,,,,,,,,,,
6079,r016,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,,,3,141081,28.7,66803,27.4,74278,30.0,45815,32.0,32396,31.7,13419,32.6,87971,42.6,75037,44.0,12934,36.3
6079,r017,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,16978,3.5,9035,3.7,7943,3.2,5950,4.2,4403,4.3,1547,3.8,10207,4.9,9038,5.3,1169,3.3
6079,r018,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,,,,,,,,,
6079,r019,All individuals -> Male -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,Male,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,519,0.1,270,0.1,249,0.1,146,0.1,105,0.1,41,0.1,296,0.1,242,0.1,54,0.2
