table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2020,field_total_2021,field_total_2022,field_total_2023,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022,field_federally_financed_2023
12694,r001,All institutions,All institutions,,1,-,"['800,583', '']","['772,989', '']","['879,490', '']","['1,060,700', '']","['485,550', '']","['475,732', '']","['537,338', '']","['661,446', '']"
12694,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['105,774', 'i']","['117,429', 'i']","['141,477', 'i']","['230,354', 'i']","['102,890', '']","['113,772', '']","['137,115', '']","['224,276', '']"
12694,r003,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,2,"['17,706', '']","['14,090', '']","['17,140', '']","['24,625', '']","['13,702', '']","['12,668', '']","['15,402', '']","['21,148', '']"
12694,r004,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,3,"['21,622', '']","['18,914', '']","['20,403', '']","['23,423', '']","['8,853', '']","['7,789', '']","['9,497', '']","['11,294', '']"
12694,r005,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,4,"['18,648', '']","['17,937', '']","['20,129', '']","['21,033', '']","['5,771', '']","['5,490', '']","['6,956', '']","['7,505', '']"
12694,r006,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,5,"['17,062', '']","['16,101', '']","['19,927', '']","['19,968', '']","['10,785', '']","['9,537', '']","['12,540', '']","['11,643', '']"
12694,r007,All institutions -> Harvard U.,All institutions,Harvard U.,2,6,"['20,038', '']","['19,503', '']","['22,230', '']","['19,878', '']","['17,747', '']","['16,848', '']","['18,155', '']","['16,858', '']"
12694,r008,All institutions -> New York U.,All institutions,New York U.,2,7,"['13,465', '']","['16,998', '']","['20,916', '']","['19,747', '']","['8,861', '']","['10,981', '']","['12,236', '']","['10,870', '']"
12694,r009,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,8,"['20,290', '']","['17,349', '']","['18,319', '']","['18,889', '']","['8,882', '']","['5,691', '']","['6,055', '']","['7,001', '']"
12694,r010,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,9,"['20,164', '']","['20,392', '']","['17,531', '']","['18,035', '']","['11,947', '']","['11,908', '']","['11,484', '']","['11,113', '']"
12694,r011,All institutions -> Brown U.,All institutions,Brown U.,2,10,"['12,204', '']","['10,903', '']","['14,835', '']","['16,873', '']","['9,117', '']","['8,558', '']","['10,971', '']","['12,161', '']"
12694,r012,All institutions -> Princeton U.,All institutions,Princeton U.,2,11,"['13,550', '']","['11,672', '']","['15,763', '']","['16,810', '']","['5,657', '']","['4,877', '']","['4,759', '']","['6,148', '']"
12694,r013,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,12,"['12,000', '']","['12,464', '']","['14,435', '']","['16,604', '']","['3,183', '']","['3,452', '']","['5,305', '']","['6,431', '']"
