table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_yes,field_no,field_don_t_know
5731,r001,All companies,All companies,,,1,"['    4,805,151 ', '&nbsp;']","['    3.2 ', '&nbsp;']","['    90.3 ', '&nbsp;']","['    6.5 ', '&nbsp;']"
5731,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5731,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,667,724 ', '&nbsp;']","['    2.9 ', '&nbsp;']","['    90.7 ', '&nbsp;']","['    6.4 ', '&nbsp;']"
5731,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    936,576 ', '&nbsp;']","['    3.3 ', '&nbsp;']","['    90.1 ', '&nbsp;']","['    6.6 ', '&nbsp;']"
5731,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5731,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    579,513 ', '&nbsp;']","['    3.4 ', '&nbsp;']","['    90.3 ', '&nbsp;']","['    6.3 ', '&nbsp;']"
5731,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    402,199 ', '&nbsp;']","['    3.6 ', '&nbsp;']","['    90.0 ', '&nbsp;']","['    6.4 ', '&nbsp;']"
5731,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5731,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    119,497 ', '&nbsp;']","['    4.6 ', '&nbsp;']","['    89.5 ', '&nbsp;']","['    5.9 ', '&nbsp;']"
5731,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    65,565 ', '&nbsp;']","['    4.8 ', '&nbsp;']","['    88.2 ', '&nbsp;']","['    7.0 ', '&nbsp;']"
5731,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5731,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['    18,897 ', '&nbsp;']","['    5.0 ', '&nbsp;']","['    85.9 ', '&nbsp;']","['    9.1 ', '&nbsp;']"
5731,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['    7,289 ', '&nbsp;']","['    5.6 ', '&nbsp;']","['    86.4 ', '&nbsp;']","['    8.0 ', '&nbsp;']"
5731,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['    6,199 ', '&nbsp;']","['    7.0 ', 'r']","['    79.2 ', '&nbsp;']","['    13.8 ', 'r']"
5731,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['    823 ', '&nbsp;']","['    8.0 ', '&nbsp;']","['    74.9 ', '&nbsp;']","['    17.1 ', '&nbsp;']"
5731,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['    514 ', '&nbsp;']","['    7.4 ', '&nbsp;']","['    68.1 ', '&nbsp;']","['    24.5 ', '&nbsp;']"
5731,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['    358 ', '&nbsp;']","['    13.3 ', '&nbsp;']","['    51.5 ', '&nbsp;']","['    35.2 ', 'r']"
