table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_designed_goods_that_were_manufactured_for_others_number_yes,field_designed_goods_that_were_manufactured_for_others_number_no,field_designed_goods_that_were_manufactured_for_others_percent_yes,field_designed_goods_that_were_manufactured_for_others_percent_no
11276,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['35,718', '&nbsp;']","['21,193', '&nbsp;']","['14,525', '&nbsp;']","['59.4', '&nbsp;']","['40.6', '&nbsp;']"
11276,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['13,295', '&nbsp;']","['7,199', '&nbsp;']","['6,096', '&nbsp;']","['54.2', '&nbsp;']","['45.8', '&nbsp;']"
11276,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['436', '&nbsp;']","['274', '&nbsp;']","['162', '&nbsp;']","['62.8', '&nbsp;']","['37.2', '&nbsp;']"
11276,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['212', '&nbsp;']","['118', '&nbsp;']","['94', '&nbsp;']","['55.7', '&nbsp;']","['44.3', '&nbsp;']"
11276,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['486', '&nbsp;']","['409', '&nbsp;']","['77', '&nbsp;']","['84.2', '&nbsp;']","['15.8', '&nbsp;']"
11276,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['189', '&nbsp;']","['107', '&nbsp;']","['82', '&nbsp;']","['56.6', '&nbsp;']","['43.4', '&nbsp;']"
11276,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['82', '&nbsp;']","['55', '&nbsp;']","['27', '&nbsp;']","['67.1', '&nbsp;']","['32.9', '&nbsp;']"
11276,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['759', '&nbsp;']","['327', '&nbsp;']","['432', '&nbsp;']","['43.0', '&nbsp;']","['57.0', '&nbsp;']"
11276,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['10', '&nbsp;']","['4', '&nbsp;']","['6', '&nbsp;']","['40.0', '&nbsp;']","['60.0', '&nbsp;']"
11276,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['733', '&nbsp;']","['467', '&nbsp;']","['266', '&nbsp;']","['63.7', '&nbsp;']","['36.3', '&nbsp;']"
11276,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['46', '&nbsp;']","['16', 'r']","['30', 'r']","['34.8', 'r']","['65.2', 'r']"
11276,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['218', '&nbsp;']","['138', '&nbsp;']","['80', '&nbsp;']","['63.3', '&nbsp;']","['36.7', '&nbsp;']"
11276,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['133', '&nbsp;']","['118', '&nbsp;']","['15', '&nbsp;']","['88.7', '&nbsp;']","['11.3', 'r']"
11276,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['335', '&nbsp;']","['193', '&nbsp;']","['142', '&nbsp;']","['57.6', '&nbsp;']","['42.4', '&nbsp;']"
11276,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['739', '&nbsp;']","['354', '&nbsp;']","['385', '&nbsp;']","['47.9', '&nbsp;']","['52.1', '&nbsp;']"
11276,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['261', '&nbsp;']","['136', '&nbsp;']","['125', '&nbsp;']","['52.1', '&nbsp;']","['47.9', '&nbsp;']"
11276,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['273', '&nbsp;']","['117', '&nbsp;']","['156', '&nbsp;']","['42.9', '&nbsp;']","['57.1', '&nbsp;']"
11276,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['3,789', '&nbsp;']","['1,480', '&nbsp;']","['2,309', '&nbsp;']","['39.1', '&nbsp;']","['60.9', '&nbsp;']"
11276,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,955', '&nbsp;']","['1,288', '&nbsp;']","['667', '&nbsp;']","['65.9', '&nbsp;']","['34.1', '&nbsp;']"
11276,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,000', '&nbsp;']","['613', '&nbsp;']","['387', '&nbsp;']","['61.3', '&nbsp;']","['38.7', '&nbsp;']"
11276,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['86', '&nbsp;']","['52', '&nbsp;']","['34', 'r']","['60.5', 'r']","['39.5', 'r']"
11276,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['396', '&nbsp;']","['208', '&nbsp;']","['188', '&nbsp;']","['52.5', '&nbsp;']","['47.5', '&nbsp;']"
11276,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['461', '&nbsp;']","['311', '&nbsp;']","['150', '&nbsp;']","['67.5', '&nbsp;']","['32.5', '&nbsp;']"
11276,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['58', '&nbsp;']","['41', '&nbsp;']","['17', '&nbsp;']","['70.7', 'r']","['29.3', 'r']"
11276,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['460', '&nbsp;']","['321', '&nbsp;']","['139', '&nbsp;']","['69.8', '&nbsp;']","['30.2', '&nbsp;']"
11276,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['723', '&nbsp;']","['443', '&nbsp;']","['280', '&nbsp;']","['61.3', '&nbsp;']","['38.7', '&nbsp;']"
11276,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['456', '&nbsp;']","['324', '&nbsp;']","['132', '&nbsp;']","['71.1', '&nbsp;']","['28.9', '&nbsp;']"
11276,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['183', '&nbsp;']","['75', '&nbsp;']","['108', '&nbsp;']","['41.0', '&nbsp;']","['59.0', '&nbsp;']"
11276,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['84', '&nbsp;']","['45', '&nbsp;']","['39', '&nbsp;']","['53.6', '&nbsp;']","['46.4', '&nbsp;']"
11276,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['355', '&nbsp;']","['263', '&nbsp;']","['92', 'r']","['74.1', '&nbsp;']","['25.9', 'r']"
11276,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['823', '&nbsp;']","['418', '&nbsp;']","['405', '&nbsp;']","['50.8', '&nbsp;']","['49.2', '&nbsp;']"
11276,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['265', '&nbsp;']","['146', '&nbsp;']","['119', 'r']","['55.1', 'r']","['44.9', 'r']"
11276,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['557', '&nbsp;']","['271', '&nbsp;']","['286', '&nbsp;']","['48.7', '&nbsp;']","['51.3', '&nbsp;']"
11276,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['22,424', '&nbsp;']","['13,994', '&nbsp;']","['8,430', '&nbsp;']","['62.4', '&nbsp;']","['37.6', '&nbsp;']"
11276,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
11276,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['82', '&nbsp;']","['64', '&nbsp;']","['18', '&nbsp;']","['78.0', '&nbsp;']","['22.0', 'r']"
