table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2017,field_total_2018,field_total_2019,field_total_2020,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019,field_federally_financed_2020
5428,r001,All institutions,All institutions,,1,-,"['700,275', '']","['750,374', '']","['769,993', '']","['798,975', '']","['437,059', '']","['456,806', '']","['467,039', '']","['486,259', '']"
5428,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['59,511', 'i']","['78,432', 'i']","['85,874', 'i']","['105,774', 'i']","['57,633', '']","['73,899', '']","['83,057', '']","['102,890', '']"
5428,r003,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,2,"['23,331', '']","['22,075', '']","['20,358', '']","['21,622', '']","['7,405', '']","['6,720', '']","['7,403', '']","['8,853', '']"
5428,r004,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,3,"['11,704', '']","['14,581', '']","['17,222', '']","['20,290', '']","['4,402', '']","['6,550', '']","['7,122', '']","['8,882', '']"
5428,r005,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,4,"['21,909', '']","['21,722', '']","['20,296', '']","['20,164', '']","['12,110', '']","['13,083', '']","['12,331', '']","['11,947', '']"
5428,r006,All institutions -> Harvard U.,All institutions,Harvard U.,2,5,"['20,679', '']","['22,908', '']","['22,127', '']","['20,038', '']","['17,272', '']","['19,223', '']","['18,465', '']","['17,747', '']"
5428,r007,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,6,"['20,517', '']","['18,306', '']","['18,478', '']","['18,648', '']","['7,262', '']","['5,839', '']","['5,874', '']","['5,771', '']"
5428,r008,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,7,"['16,451', '']","['19,251', '']","['25,057', '']","['17,706', '']","['12,108', '']","['15,494', '']","['16,418', '']","['13,702', '']"
5428,r009,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,8,"['16,481', '']","['17,694', '']","['16,551', '']","['17,062', '']","['8,461', '']","['9,141', '']","['7,940', '']","['10,785', '']"
5428,r010,All institutions -> Princeton U.,All institutions,Princeton U.,2,9,"['9,915', '']","['11,313', '']","['11,703', '']","['13,550', '']","['5,032', '']","['4,687', '']","['5,639', '']","['5,657', '']"
5428,r011,All institutions -> New York U.,All institutions,New York U.,2,10,"['9,950', '']","['10,475', '']","['12,002', '']","['13,465', '']","['6,833', '']","['6,697', '']","['7,105', '']","['8,861', '']"
5428,r012,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,11,"['10,573', '']","['13,200', '']","['13,118', '']","['13,161', '']","['9,283', '']","['10,906', '']","['10,515', '']","['10,440', '']"
5428,r013,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,12,"['10,342', '']","['12,008', '']","['11,394', '']","['12,494', '']","['5,083', '']","['5,577', '']","['5,481', '']","['5,790', '']"
5428,r014,All institutions -> Brown U.,All institutions,Brown U.,2,13,"['14,427', '']","['12,107', '']","['13,225', '']","['12,204', '']","['11,580', '']","['9,140', '']","['9,615', '']","['9,117', '']"
5428,r015,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,14,"['11,321', '']","['9,308', '']","['12,385', '']","['12,000', '']","['5,466', '']","['3,523', '']","['3,402', '']","['3,183', '']"
5428,r016,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,15,"['7,671', '']","['9,888', '']","['11,774', '']","['10,434', '']","['5,309', '']","['5,840', '']","['6,786', '']","['5,091', '']"
5428,r017,All institutions -> Duke U.,All institutions,Duke U.,2,16,"['9,306', '']","['9,766', '']","['10,319', '']","['9,842', '']","['7,491', '']","['7,684', '']","['7,549', '']","['6,554', '']"
5428,r018,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,17,"['14,386', '']","['14,362', '']","['9,036', '']","['9,493', '']","['11,017', '']","['10,979', '']","['7,363', '']","['6,214', '']"
5428,r019,All institutions -> Rice U.,All institutions,Rice U.,2,18,"['8,903', '']","['9,435', '']","['9,477', '']","['9,363', '']","['4,113', '']","['4,338', '']","['4,099', '']","['3,742', '']"
5428,r020,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,19,"['7,464', '']","['7,847', '']","['9,822', '']","['8,994', '']","['5,412', '']","['5,659', '']","['6,349', '']","['5,141', '']"
5428,r021,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,20,"['7,108', '']","['7,543', '']","['8,058', '']","['8,826', '']","['3,167', '']","['3,375', '']","['4,042', '']","['4,104', '']"
5428,r022,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,21,"['8,882', '']","['9,201', '']","['8,700', '']","['8,768', '']","['5,827', '']","['5,839', '']","['5,726', '']","['5,223', '']"
5428,r023,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,22,"['6,402', '']","['8,376', '']","['8,177', '']","['8,263', '']","['4,826', '']","['5,815', '']","['5,689', '']","['6,251', '']"
5428,r024,"All institutions -> SUNY, Stony Brook U.",All institutions,"SUNY, Stony Brook U.",2,23,"['7,463', '']","['7,467', '']","['6,652', '']","['7,629', '']","['4,547', '']","['4,957', '']","['4,756', '']","['5,006', '']"
5428,r025,All institutions -> Florida State U.,All institutions,Florida State U.,2,24,"['4,685', '']","['5,542', '']","['6,202', '']","['7,128', '']","['1,883', '']","['1,920', '']","['1,515', '']","['2,096', '']"
5428,r026,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,25,"['6,415', '']","['5,678', '']","['6,102', '']","['7,120', '']","['6,007', '']","['5,102', '']","['5,346', '']","['6,115', '']"
5428,r027,"All institutions -> U. California, Irvine",All institutions,"U. California, Irvine",2,26,"['4,273', '']","['5,289', '']","['5,442', '']","['7,106', '']","['2,885', '']","['3,138', '']","['2,698', '']","['4,069', '']"
