table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_da,field_paid_for_by_the_company,field_paid_for_by_others
7365,r001,United States,United States,,1,"['537,619', '&nbsp;']","['466,162', '&nbsp;']","['71,457', '&nbsp;']"
7365,r002,United States -> Alabama,United States,Alabama,2,"['2,937', '&nbsp;']","['1,329', '&nbsp;']","['1,609', '&nbsp;']"
7365,r003,United States -> Alaska,United States,Alaska,2,"['47', 'e']","['43', 'e']","['3', '&nbsp;']"
7365,r004,United States -> Arizona,United States,Arizona,2,"['7,110', '&nbsp;']","['4,899', '&nbsp;']","['2,211', 'i']"
7365,r005,United States -> Arkansas,United States,Arkansas,2,"['414', '&nbsp;']","['360', '&nbsp;']","['54', '&nbsp;']"
7365,r006,United States -> California,United States,California,2,"['193,063', '&nbsp;']","['175,459', '&nbsp;']","['17,604', '&nbsp;']"
7365,r007,United States -> Colorado,United States,Colorado,2,"['7,145', '&nbsp;']","['6,042', '&nbsp;']","['1,103', '&nbsp;']"
7365,r008,United States -> Connecticut,United States,Connecticut,2,"['7,902', '&nbsp;']","['6,487', '&nbsp;']","['1,415', '&nbsp;']"
7365,r009,United States -> Delaware,United States,Delaware,2,"['2,499', '&nbsp;']","['1,688', '&nbsp;']","['811', '&nbsp;']"
7365,r010,United States -> District of Columbia,United States,District of Columbia,2,"['659', '&nbsp;']","['509', '&nbsp;']","['150', '&nbsp;']"
7365,r011,United States -> Florida,United States,Florida,2,"['7,885', '&nbsp;']","['5,762', '&nbsp;']","['2,122', '&nbsp;']"
7365,r012,United States -> Georgia,United States,Georgia,2,"['5,389', '&nbsp;']","['4,426', '&nbsp;']","['963', 'i']"
7365,r013,United States -> Hawaii,United States,Hawaii,2,"['279', '&nbsp;']","['216', '&nbsp;']","['62', '&nbsp;']"
7365,r014,United States -> Idaho,United States,Idaho,2,"['2,210', 'i']","['2,139', 'i']","['71', '&nbsp;']"
7365,r015,United States -> Illinois,United States,Illinois,2,"['14,097', '&nbsp;']","['13,415', '&nbsp;']","['683', '&nbsp;']"
7365,r016,United States -> Indiana,United States,Indiana,2,"['8,305', 'i']","['7,202', 'i']","['1,102', '&nbsp;']"
7365,r017,United States -> Iowa,United States,Iowa,2,"['3,455', '&nbsp;']","['2,664', '&nbsp;']","['791', 'i']"
7365,r018,United States -> Kansas,United States,Kansas,2,"['2,771', '&nbsp;']","['1,956', '&nbsp;']","['814', 'i']"
7365,r019,United States -> Kentucky,United States,Kentucky,2,"['1,259', '&nbsp;']","['852', '&nbsp;']","['407', '&nbsp;']"
7365,r020,United States -> Louisiana,United States,Louisiana,2,"['535', '&nbsp;']","['475', '&nbsp;']","['60', '&nbsp;']"
7365,r021,United States -> Maine,United States,Maine,2,"['434', '&nbsp;']","['385', '&nbsp;']","['49', '&nbsp;']"
7365,r022,United States -> Maryland,United States,Maryland,2,"['5,923', '&nbsp;']","['3,964', '&nbsp;']","['1,959', '&nbsp;']"
7365,r023,United States -> Massachusetts,United States,Massachusetts,2,"['32,737', '&nbsp;']","['27,704', '&nbsp;']","['5,033', '&nbsp;']"
7365,r024,United States -> Michigan,United States,Michigan,2,"['21,589', '&nbsp;']","['18,507', '&nbsp;']","['3,081', 'i']"
7365,r025,United States -> Minnesota,United States,Minnesota,2,"['7,824', '&nbsp;']","['7,421', '&nbsp;']","['403', '&nbsp;']"
7365,r026,United States -> Mississippi,United States,Mississippi,2,"['278', '&nbsp;']","['244', '&nbsp;']","['34', '&nbsp;']"
7365,r027,United States -> Missouri,United States,Missouri,2,"['6,502', '&nbsp;']","['4,581', '&nbsp;']","['1,921', 'i']"
7365,r028,United States -> Montana,United States,Montana,2,"['242', '&nbsp;']","['224', '&nbsp;']","['18', 'i']"
7365,r029,United States -> Nebraska,United States,Nebraska,2,"['838', '&nbsp;']","['769', '&nbsp;']","['68', '&nbsp;']"
7365,r030,United States -> Nevada,United States,Nevada,2,"['931', 'i']","['707', '&nbsp;']","['224', 'i']"
7365,r031,United States -> New Hampshire,United States,New Hampshire,2,"['2,755', '&nbsp;']","['1,093', '&nbsp;']","['1,661', '&nbsp;']"
7365,r032,United States -> New Jersey,United States,New Jersey,2,"['22,009', '&nbsp;']","['18,054', '&nbsp;']","['3,955', '&nbsp;']"
7365,r033,United States -> New Mexico,United States,New Mexico,2,"['1,140', '&nbsp;']","['857', '&nbsp;']","['283', '&nbsp;']"
7365,r034,United States -> New York,United States,New York,2,"['23,414', '&nbsp;']","['21,062', '&nbsp;']","['2,353', '&nbsp;']"
7365,r035,United States -> North Carolina,United States,North Carolina,2,"['13,369', '&nbsp;']","['9,242', '&nbsp;']","['4,127', 'i']"
7365,r036,United States -> North Dakota,United States,North Dakota,2,"['342', '&nbsp;']","['331', '&nbsp;']","['12', '&nbsp;']"
7365,r037,United States -> Ohio,United States,Ohio,2,"['11,005', '&nbsp;']","['7,511', '&nbsp;']","['3,494', 'i']"
7365,r038,United States -> Oklahoma,United States,Oklahoma,2,"['1,012', '&nbsp;']","['945', '&nbsp;']","['67', 'i']"
7365,r039,United States -> Oregon,United States,Oregon,2,"['10,472', '&nbsp;']","['10,190', '&nbsp;']","['283', '&nbsp;']"
