table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_1993_extremely_dangerous_or_very_dangerous,field_1993_somewhat_dangerous,field_1993_not_very_dangerous_or_not_dangerous,field_1993_don_t_know,field_1994_extremely_dangerous_or_very_dangerous,field_1994_somewhat_dangerous,field_1994_not_very_dangerous_or_not_dangerous,field_1994_don_t_know,field_2000_extremely_dangerous_or_very_dangerous,field_2000_somewhat_dangerous,field_2000_not_very_dangerous_or_not_dangerous,field_2000_don_t_know,field_2010_extremely_dangerous_or_very_dangerous,field_2010_somewhat_dangerous,field_2010_not_very_dangerous_or_not_dangerous,field_2010_don_t_know,field_2016_extremely_dangerous_or_very_dangerous,field_2016_somewhat_dangerous,field_2016_not_very_dangerous_or_not_dangerous,field_2016_don_t_know,field_2018_extremely_dangerous_or_very_dangerous,field_2018_somewhat_dangerous,field_2018_not_very_dangerous_or_not_dangerous,field_2018_don_t_know
2274,r001,"All adults (<i>n</i> = 1,557; 1,386; 1,276; 1,430; 911; 785)","All adults (<i>n</i> = 1,557; 1,386; 1,276; 1,430; 911; 785)",,1,37,48,11,4,33,49,13,5,45,39,8,7,52,37,8,3,61,31,6,2,64,30,5,1
2274,r002,Sex,Sex,,1,,,,,,,,,,,,,,,,,,,,,,,,
2274,r003,Sex -> Male (<i>n</i> = 663; 617; 560; 607; 399; 340),Sex,Male (<i>n</i> = 663; 617; 560; 607; 399; 340),2,32,51,14,3,27,51,18,5,42,41,11,6,49,37,12,2,53,37,8,1,58,36,5,1
2274,r004,Sex -> Female (<i>n</i> = 894; 769; 716; 823; 512; 445),Sex,Female (<i>n</i> = 894; 769; 716; 823; 512; 445),2,41,47,8,4,38,47,9,6,48,38,6,8,54,37,5,5,68,25,5,2,68,26,4,2
2274,r005,Formal education<sup>a</sup>,Formal education<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,,,,,
2274,r006,Formal education<sup>a</sup> -> Less than high school diploma (<i>n</i> = 283; 225; 216; 220; 112; 86),Formal education<sup>a</sup>,Less than high school diploma (<i>n</i> = 283; 225; 216; 220; 112; 86),2,44,40,7,9,38,40,12,10,48,29,10,13,56,30,9,5,54,33,12,1,50,38,7,5
2274,r007,Formal education<sup>a</sup> -> High school diploma (<i>n</i> = 496; 466; 397; 412; 260; 253),Formal education<sup>a</sup>,High school diploma (<i>n</i> = 496; 466; 397; 412; 260; 253),2,34,54,10,3,33,49,13,5,44,40,9,6,52,37,8,3,61,32,5,2,65,29,6,1
2274,r008,Formal education<sup>a</sup> -> Some college (<i>n</i> = 410; 346; 354; 390; 258; 211),Formal education<sup>a</sup>,Some college (<i>n</i> = 410; 346; 354; 390; 258; 211),2,39,47,12,3,32,54,10,4,43,40,8,9,51,39,7,3,63,30,6,1,72,24,3,0.05
2274,r009,Formal education<sup>a</sup> -> Bachelor's degree (<i>n</i> = 249; 242; 213; 266; 175; 157),Formal education<sup>a</sup>,Bachelor's degree (<i>n</i> = 249; 242; 213; 266; 175; 157),2,35,49,14,2,30,50,15,5,51,43,5,1,49,37,11,3,61,32,6,1,57,36,4,2
2274,r010,Formal education<sup>a</sup> -> Graduate or professional degree (<i>n</i> = 114; 102; 89; 139; 104; 78),Formal education<sup>a</sup>,Graduate or professional degree (<i>n</i> = 114; 102; 89; 139; 104; 78),2,33,51,13,3,30,50,16,3,36,52,10,2,52,39,6,3,70,23,6,1,65,28,7,0
