table_id,row_id,employment_sector_and_occupation_full_path,employment_sector_and_occupation_level_1,employment_sector_and_occupation_level_2,employment_sector_and_occupation_level_3,employment_sector_and_occupation_level_4,employment_sector_and_occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_hispanic_or_latinoa_median_salary,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_median_salary,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_median_salary,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_median_salary,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_median_salary,field_not_hispanic_or_latinob_other_racec_se
8163,r001,All sectors,All sectors,,,,1,122000,1500,108000,3000,107000,11000,132000,3000,103000,2500,120000,500,119000,2000
8163,r002,All sectors -> Science occupations,All sectors,Science occupations,,,2,110000,1000,100000,500,98000,9000,120000,3000,98000,2500,110000,500,109000,4500
8163,r003,"All sectors -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Science occupations,"Biological, agricultural, and other life scientists",,3,105000,500,95000,4000,89000,20500,105000,4000,97000,4000,106000,2000,113000,8000
8163,r004,All sectors -> Science occupations -> Computer and information scientists,All sectors,Science occupations,Computer and information scientists,,3,150000,500,149000,5500,,,150000,4500,129000,8500,150000,500,159000,12500
8163,r005,All sectors -> Science occupations -> Mathematical scientists,All sectors,Science occupations,Mathematical scientists,,3,120000,1500,119000,9000,0.05,0.05,130000,2500,107000,7000,112000,4500,127000,7000
8163,r006,All sectors -> Science occupations -> Physical scientists,All sectors,Science occupations,Physical scientists,,3,108000,2500,97000,5500,154000,44000,110000,2500,91000,4500,109000,2000,100000,6500
8163,r007,All sectors -> Science occupations -> Psychologists,All sectors,Science occupations,Psychologists,,3,101000,1500,95000,2500,103000,14500,104000,4500,95000,4500,103000,2500,95000,3500
8163,r008,All sectors -> Science occupations -> Social scientists,All sectors,Science occupations,Social scientists,,3,100000,2000,100000,5000,82000,8000,109000,3000,95000,4000,100000,2000,97000,6000
8163,r009,All sectors -> Engineering occupations,All sectors,Engineering occupations,,,2,137000,2500,120000,2500,142000,32000,137000,2500,121000,6000,140000,1500,136000,10500
8163,r010,All sectors -> S&E-related occupations,All sectors,S&E-related occupations,,,2,140000,1000,120000,8000,S,S,157000,7000,109000,7000,137000,4000,130000,9500
8163,r011,All sectors -> Non-S&E occupations,All sectors,Non-S&E occupations,,,2,150000,500,119000,2500,125000,18500,164000,6000,112000,7000,150000,500,131000,15000
8163,r012,All sectors -> 4-year educational institution<sup>d</sup>,All sectors,4-year educational institution<sup>d</sup>,,,2,99000,1000,91000,1500,92000,6000,100000,2000,91000,2000,100000,1000,95000,4500
8163,r013,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations,All sectors,4-year educational institution<sup>d</sup>,Science occupations,,3,90000,500,87000,2500,88000,6500,90000,2000,85000,2000,91000,1500,89000,2000
8163,r014,"All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,4-year educational institution<sup>d</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,85000,1000,80000,4500,87000,11500,75000,4000,82000,4000,89000,2500,81000,5000
8163,r015,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Computer and information scientists,All sectors,4-year educational institution<sup>d</sup>,Science occupations,Computer and information scientists,4,104000,4500,99000,2000,,,102000,8000,98000,3500,105000,5000,198000,55500
8163,r016,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Mathematical scientists,All sectors,4-year educational institution<sup>d</sup>,Science occupations,Mathematical scientists,4,92000,1500,87000,4000,,,92000,4500,84000,9000,93000,2500,87000,18500
8163,r017,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Physical scientists,All sectors,4-year educational institution<sup>d</sup>,Science occupations,Physical scientists,4,87000,2000,81000,7500,S,S,88000,4500,67000,4000,89000,2500,90000,8500
8163,r018,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Psychologists,All sectors,4-year educational institution<sup>d</sup>,Science occupations,Psychologists,4,90000,1500,88000,3000,,,95000,5500,82000,3000,90000,2000,89000,3000
8163,r019,All sectors -> 4-year educational institution<sup>d</sup> -> Science occupations -> Social scientists,All sectors,4-year educational institution<sup>d</sup>,Science occupations,Social scientists,4,95000,1500,95000,2000,81000,5500,100000,3000,90000,2500,94000,1500,89000,4500
8163,r020,All sectors -> 4-year educational institution<sup>d</sup> -> Engineering occupations,All sectors,4-year educational institution<sup>d</sup>,Engineering occupations,,3,109000,1500,101000,2500,,,104000,4000,105000,6500,112000,3500,110000,19500
8163,r021,All sectors -> 4-year educational institution<sup>d</sup> -> S&E-related occupations,All sectors,4-year educational institution<sup>d</sup>,S&E-related occupations,,3,113000,2000,95000,5000,127000,51000,119000,4500,97000,6000,114000,2000,108000,10000
8163,r022,All sectors -> 4-year educational institution<sup>d</sup> -> Non-S&E occupations,All sectors,4-year educational institution<sup>d</sup>,Non-S&E occupations,,3,125000,3500,100000,7000,110000,32500,138000,7500,114000,9000,128000,3500,117000,17500
8163,r023,All sectors -> Other educational institution<sup>e</sup>,All sectors,Other educational institution<sup>e</sup>,,,2,79000,500,77000,5500,65000,26000,79000,6000,88000,5500,79000,1000,75000,7500
8163,r024,All sectors -> Other educational institution<sup>e</sup> -> Science occupations,All sectors,Other educational institution<sup>e</sup>,Science occupations,,3,80000,2000,79000,4500,S,S,84000,9000,80000,5500,79000,1500,75000,8000
8163,r025,"All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,Other educational institution<sup>e</sup>,Science occupations,"Biological, agricultural, and other life scientists",4,78000,5000,67000,10500,,,81000,17500,70000,5500,77000,5000,,
8163,r026,All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Computer and information scientists,All sectors,Other educational institution<sup>e</sup>,Science occupations,Computer and information scientists,4,91000,29000,,,,,S,S,,,81000,4500,,
8163,r027,All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Mathematical scientists,All sectors,Other educational institution<sup>e</sup>,Science occupations,Mathematical scientists,4,75000,6000,84000,13500,,,,,,,74000,6500,,
8163,r028,All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Physical scientists,All sectors,Other educational institution<sup>e</sup>,Science occupations,Physical scientists,4,72000,4500,71000,13000,,,70000,8000,68000,4000,74000,5000,,
8163,r029,All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Psychologists,All sectors,Other educational institution<sup>e</sup>,Science occupations,Psychologists,4,89000,1000,90000,9500,,,,,89000,4000,89000,2000,,
8163,r030,All sectors -> Other educational institution<sup>e</sup> -> Science occupations -> Social scientists,All sectors,Other educational institution<sup>e</sup>,Science occupations,Social scientists,4,80000,3500,79000,5500,,,,,86000,7000,80000,3000,S,S
8163,r031,All sectors -> Other educational institution<sup>e</sup> -> Engineering occupations,All sectors,Other educational institution<sup>e</sup>,Engineering occupations,,3,59000,3500,0.05,0.05,,,S,S,,,60000,10000,,
8163,r032,All sectors -> Other educational institution<sup>e</sup> -> S&E-related occupations,All sectors,Other educational institution<sup>e</sup>,S&E-related occupations,,3,70000,1500,62000,6000,,,65000,7500,78000,12500,70000,2000,72000,18500
8163,r033,All sectors -> Other educational institution<sup>e</sup> -> Non-S&E occupations,All sectors,Other educational institution<sup>e</sup>,Non-S&E occupations,,3,98000,4000,96000,7000,,,80000,15000,115000,8500,98000,6500,76000,13500
8163,r034,"All sectors -> Private, for profit<sup>f</sup>",All sectors,"Private, for profit<sup>f</sup>",,,2,156000,1500,142000,5000,122000,29000,155000,2000,129000,4000,160000,1000,150000,3500
8163,r035,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations",All sectors,"Private, for profit<sup>f</sup>",Science occupations,,3,150000,500,134000,6500,120000,30500,150000,1000,128000,4000,150000,500,140000,11000
8163,r036,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,"Biological, agricultural, and other life scientists",4,136000,3500,124000,6000,,,134000,3000,124000,6500,140000,1500,146000,9000
8163,r037,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Computer and information scientists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,Computer and information scientists,4,165000,5000,164000,3500,,,170000,6000,161000,10000,165000,4500,159000,13500
8163,r038,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Mathematical scientists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,Mathematical scientists,4,164000,5500,159000,12000,,,165000,6000,126000,8500,162000,6000,158000,24000
8163,r039,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Physical scientists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,Physical scientists,4,135000,2000,125000,6500,,,130000,5000,125000,2500,139000,3500,106000,17500
8163,r040,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Psychologists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,Psychologists,4,119000,5000,100000,12500,,,127000,7500,101000,12500,119000,3500,90000,5500
8163,r041,"All sectors -> Private, for profit<sup>f</sup> -> Science occupations -> Social scientists",All sectors,"Private, for profit<sup>f</sup>",Science occupations,Social scientists,4,150000,9500,160000,24000,,,144000,13500,160000,27500,157000,11500,164000,34500
8163,r042,"All sectors -> Private, for profit<sup>f</sup> -> Engineering occupations",All sectors,"Private, for profit<sup>f</sup>",Engineering occupations,,3,150000,500,141000,4500,0.05,0.05,149000,2500,135000,7500,154000,4500,150000,13500
8163,r043,"All sectors -> Private, for profit<sup>f</sup> -> S&E-related occupations",All sectors,"Private, for profit<sup>f</sup>",S&E-related occupations,,3,179000,5000,163000,17000,S,S,179000,6500,137000,24000,180000,5000,167000,17500
8163,r044,"All sectors -> Private, for profit<sup>f</sup> -> Non-S&E occupations",All sectors,"Private, for profit<sup>f</sup>",Non-S&E occupations,,3,185000,5000,170000,16500,,,187000,7500,119000,7000,187000,5000,160000,27500
8163,r045,"All sectors -> Private, nonprofit",All sectors,"Private, nonprofit",,,2,125000,2000,100000,5000,127000,20000,120000,3500,122000,9500,129000,3000,118000,17000
8163,r046,"All sectors -> Private, nonprofit -> Science occupations",All sectors,"Private, nonprofit",Science occupations,,3,117000,3000,96000,2500,S,S,106000,6000,114000,13000,120000,4500,117000,15500
8163,r047,"All sectors -> Private, nonprofit -> Science occupations -> Biological, agricultural, and other life scientists",All sectors,"Private, nonprofit",Science occupations,"Biological, agricultural, and other life scientists",4,99000,5000,68000,6500,,,77000,6500,113000,22500,111000,5500,134000,45000
