table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_4_employees,field_5_9_employees
9056,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['1,616,389', '&nbsp;']","['764,223', '&nbsp;']","['852,167', '&nbsp;']"
9056,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['481,029', '&nbsp;']","['181,921', '&nbsp;']","['299,108', '&nbsp;']"
9056,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['63,032', '&nbsp;']","['19,925', '&nbsp;']","['43,108', '&nbsp;']"
9056,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['23,527', '&nbsp;']","['10,968', '&nbsp;']","['12,560', '&nbsp;']"
9056,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['21,413', '&nbsp;']","['7,482', '&nbsp;']","['13,931', '&nbsp;']"
9056,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['3,199', '&nbsp;']","['958', '&nbsp;']","['2,242', '&nbsp;']"
9056,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['54,938', '&nbsp;']","['23,908', '&nbsp;']","['31,030', '&nbsp;']"
9056,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['397', '&nbsp;']","['250', '&nbsp;']","['147', '&nbsp;']"
9056,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['16,168', '&nbsp;']","['6,114', '&nbsp;']","['10,054', '&nbsp;']"
9056,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['2,776', '&nbsp;']","['1,123', '&nbsp;']","['1,653', '&nbsp;']"
