table_id,row_id,_b_country_or_economy_of_citizenship_b_full_path,_b_country_or_economy_of_citizenship_b_level_1,_b_country_or_economy_of_citizenship_b_level_2,_b_country_or_economy_of_citizenship_b_level_3,_b_country_or_economy_of_citizenship_b_hierarchy_depth,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying,field_2019_number,field_2019_staying,field_2020_number,field_2020_staying,field_2021_number,field_2021_staying,field_2022_number,field_2022_staying
9582,r001,All temporary visa holders reporting intention to stay,All temporary visa holders reporting intention to stay,,,1,16477,72.5,16288,74.3,17582,72.0,18324,71.2,18473,73.0,17771,70.8,19633,74.3
9582,r002,All temporary visa holders reporting intention to stay -> Africa,All temporary visa holders reporting intention to stay,Africa,,2,653,70.8,700,70.9,745,70.6,743,72.0,788,72.6,763,73.7,911,78.4
9582,r003,All temporary visa holders reporting intention to stay -> Africa -> Nigeria,All temporary visa holders reporting intention to stay,Africa,Nigeria,3,112,83.9,113,77.9,147,75.5,145,81.4,161,79.5,193,78.2,295,83.1
9582,r004,All temporary visa holders reporting intention to stay -> Africa -> Egypt,All temporary visa holders reporting intention to stay,Africa,Egypt,3,117,66.7,156,69.9,156,73.7,163,74.8,127,81.1,134,79.9,143,81.8
9582,r005,All temporary visa holders reporting intention to stay -> Africa -> Ghana,All temporary visa holders reporting intention to stay,Africa,Ghana,3,87,70.1,85,71.8,103,66.0,88,72.7,106,73.6,88,79.5,125,78.4
9582,r006,All temporary visa holders reporting intention to stay -> Africa -> Libya,All temporary visa holders reporting intention to stay,Africa,Libya,3,67,65.7,48,75.0,56,76.8,61,68.9,61,77.0,57,78.9,40,77.5
9582,r007,All temporary visa holders reporting intention to stay -> Africa -> Kenya,All temporary visa holders reporting intention to stay,Africa,Kenya,3,60,66.7,57,63.2,50,68.0,38,78.9,57,70.2,53,58.5,43,79.1
9582,r008,All temporary visa holders reporting intention to stay -> Africa -> Ethiopia,All temporary visa holders reporting intention to stay,Africa,Ethiopia,3,42,85.7,31,83.9,31,,35,71.4,28,82.1,30,76.7,43,
9582,r009,All temporary visa holders reporting intention to stay -> Africa -> South Africa,All temporary visa holders reporting intention to stay,Africa,South Africa,3,20,60.0,20,45.0,26,53.8,29,51.7,24,54.2,23,60.9,26,38.5
9582,r010,All temporary visa holders reporting intention to stay -> Africa -> Uganda,All temporary visa holders reporting intention to stay,Africa,Uganda,3,16,56.3,19,47.4,20,50.0,20,45.0,30,53.3,28,42.9,29,72.4
9582,r011,All temporary visa holders reporting intention to stay -> Africa -> Zimbabwe,All temporary visa holders reporting intention to stay,Africa,Zimbabwe,3,15,,24,,18,66.7,16,,22,,18,,23,73.9
9582,r012,All temporary visa holders reporting intention to stay -> Africa -> Cameroon,All temporary visa holders reporting intention to stay,Africa,Cameroon,3,17,,23,,17,70.6,18,,14,,11,,11,90.9
9582,r013,All temporary visa holders reporting intention to stay -> Africa -> Tunisia,All temporary visa holders reporting intention to stay,Africa,Tunisia,3,11,72.7,14,,8,,14,,15,,14,,17,94.1
9582,r014,All temporary visa holders reporting intention to stay -> Africa -> Tanzania,All temporary visa holders reporting intention to stay,Africa,Tanzania,3,6,,17,29.4,9,,7,,10,,12,,8,
