table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_intramural_r_d_expenditures,field_type_of_r_d_basic_research,field_type_of_r_d_applied_research,field_type_of_r_d_experimental_development
2455,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,676171326,128918619,524336386,22916321
2455,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,7412961,19672,7393289,0
2455,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,8920501,0,8537868,382633
2455,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,761096,0,761096,0
2455,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,66099,0,66099,0
2455,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,73081146,6128768,63507985,3444393
2455,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,11900858,214365,11291869,394624
2455,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,24679641,2613994,21930545,135102
2455,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,2558634,0,2558634,0
2455,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,1888642,796043,1046300,46299
2455,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,50604692,110432,48946582,1547678
2455,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,3539835,0,3539835,0
2455,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,257625,0,160217,97408
2455,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,6709727,0,6709727,0
2455,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,1171225,0,234245,936980
2455,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,167703,0,167703,0
2455,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,3279267,0,3279267,0
2455,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,998463,3200,995263,0
2455,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,2038186,0,2038186,0
2455,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,10974134,5652835,5321299,0
2455,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,3051263,274630,2316633,460000
2455,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,989368,0,989368,0
2455,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,8798238,7830000,968238,0
2455,r024,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,336227,336227,0,0
2455,r025,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,2027757,0,2027757,0
2455,r026,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,1755759,0,1531554,224205
2455,r027,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,8242424,0,8242424,0
2455,r028,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,2993604,15000,2839662,138942
2455,r029,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,2,770104,752988,17116,0
