table_id,row_id,institution_full_path,institution_level_1,institution_level_2,institution_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
4355,r001,All HBCUs,All HBCUs,,1,341369,232795,640,0,70762,109,37064
4355,r002,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,22704,16659,0,0,4238,0,1806
4355,r003,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,16849,7757,0,0,2732,0,6360
4355,r004,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,16670,10877,200,0,4237,0,1357
4355,r005,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,16016,13082,0,0,2297,0,637
4355,r006,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,15851,11741,0,0,2812,0,1299
4355,r007,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,15092,14758,0,0,184,0,149
4355,r008,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,14976,10737,0,0,2012,0,2227
4355,r009,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,14256,9502,0,0,4504,0,250
4355,r010,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,13506,11965,41,0,1251,0,250
4355,r011,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,10492,8503,0,0,975,0,1015
4355,r012,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,10359,6685,0,0,2737,0,937
4355,r013,"All HBCUs -> Xavier U., Louisiana",All HBCUs,"Xavier U., Louisiana",2,10206,8144,0,0,2062,0,0
4355,r014,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,10189,8411,0,0,564,0,1213
4355,r015,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,9976,6667,0,0,1636,10,1663
4355,r016,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,8383,6385,0,0,1877,0,121
4355,r017,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,8024,5413,0,0,752,0,1860
4355,r018,All HBCUs -> South Carolina State U.,All HBCUs,South Carolina State U.,2,7411,4985,0,0,1137,0,1289
4355,r019,All HBCUs -> U. of the District of Columbia,All HBCUs,U. of the District of Columbia,2,7315,3058,199,0,3827,0,231
4355,r020,"All HBCUs -> Southern U. and A&M C., Baton Rouge",All HBCUs,"Southern U. and A&M C., Baton Rouge",2,6994,5010,0,0,957,0,1028
4355,r021,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,6873,4771,0,0,1140,0,961
4355,r022,All HBCUs -> All other HBCUs,All HBCUs,All other HBCUs,2,99226,57684,201,0,28833,99,12411
