table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_all_othersa
9945,r001,United States<sup>b</sup>,United States<sup>b</sup>,,,1,2643991142,691149390,1952841752
9945,r002,United States<sup>b</sup> -> Alabama,United States<sup>b</sup>,Alabama,,2,88219991,10458091,77761900
9945,r003,"United States<sup>b</sup> -> Alabama -> Commerce, Department of",United States<sup>b</sup>,Alabama,"Commerce, Department of",3,63419633,0,63419633
9945,r004,"United States<sup>b</sup> -> Alabama -> Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",United States<sup>b</sup>,Alabama,"Conservation and Natural Resources, Department of; Wildlife and Freshwater Fisheries Division",3,1219039,877523,341516
9945,r005,"United States<sup>b</sup> -> Alabama -> Economic and Community Affairs, Department of",United States<sup>b</sup>,Alabama,"Economic and Community Affairs, Department of",3,1693012,0,1693012
9945,r006,"United States<sup>b</sup> -> Alabama -> Education, Department of",United States<sup>b</sup>,Alabama,"Education, Department of",3,6214729,1447475,4767254
9945,r007,"United States<sup>b</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>b</sup>,Alabama,"Forensic Sciences, Department of",3,208094,0,208094
9945,r008,United States<sup>b</sup> -> Alabama -> Geological Survey,United States<sup>b</sup>,Alabama,Geological Survey,3,3563032,1673936,1889096
9945,r009,"United States<sup>b</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>b</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,3684864,3155227,529637
9945,r010,United States<sup>b</sup> -> Alabama -> Supercomputer Authority,United States<sup>b</sup>,Alabama,Supercomputer Authority,3,4553801,0,4553801
9945,r011,"United States<sup>b</sup> -> Alabama -> Transportation, Department of",United States<sup>b</sup>,Alabama,"Transportation, Department of",3,3663787,3303930,359857
9945,r012,United States<sup>b</sup> -> Alaska,United States<sup>b</sup>,Alaska,,2,17157228,8260099,8897129
9945,r013,United States<sup>b</sup> -> Alaska -> Energy Authority,United States<sup>b</sup>,Alaska,Energy Authority,3,231152,11754,219398
9945,r014,"United States<sup>b</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>b</sup>,Alaska,"Environmental Conservation, Department of ",3,534187,358991,175196
9945,r015,United States<sup>b</sup> -> Alaska -> Housing Finance Corporation,United States<sup>b</sup>,Alaska,Housing Finance Corporation,3,500000,0,500000
9945,r016,"United States<sup>b</sup> -> Alaska -> Natural Resources, Department of; Division of Geological and Geophysical Surveys",United States<sup>b</sup>,Alaska,"Natural Resources, Department of; Division of Geological and Geophysical Surveys",3,9216400,1741400,7475000
9945,r017,United States<sup>b</sup> -> Alaska -> Railroad Corporation,United States<sup>b</sup>,Alaska,Railroad Corporation,3,3636619,3503272,133347
9945,r018,"United States<sup>b</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>b</sup>,Alaska,"Transportation and Public Facilities, Department of",3,3038870,2644682,394188
9945,r019,United States<sup>b</sup> -> Arizona,United States<sup>b</sup>,Arizona,,2,7946421,3330756,4615665
9945,r020,"United States<sup>b</sup> -> Arizona -> Agriculture, Department of",United States<sup>b</sup>,Arizona,"Agriculture, Department of",3,1412034,1237833,174201
9945,r021,United States<sup>b</sup> -> Arizona -> Game and Fish Department,United States<sup>b</sup>,Arizona,Game and Fish Department,3,1039447,960977,78470
9945,r022,"United States<sup>b</sup> -> Arizona -> Health Services, Department of",United States<sup>b</sup>,Arizona,"Health Services, Department of",3,3518749,0,3518749
9945,r023,"United States<sup>b</sup> -> Arizona -> Juvenile Corrections, Department of ",United States<sup>b</sup>,Arizona,"Juvenile Corrections, Department of ",3,561258,0,561258
9945,r024,"United States<sup>b</sup> -> Arizona -> Transportation, Department of",United States<sup>b</sup>,Arizona,"Transportation, Department of",3,1414933,1131946,282987
9945,r025,United States<sup>b</sup> -> Arkansas,United States<sup>b</sup>,Arkansas,,2,9759708,1840818,7918890
9945,r026,United States<sup>b</sup> -> Arkansas -> Beef Council,United States<sup>b</sup>,Arkansas,Beef Council,3,50605,0,50605
9945,r027,United States<sup>b</sup> -> Arkansas -> Corn and Grain Sorghum Promotion Board,United States<sup>b</sup>,Arkansas,Corn and Grain Sorghum Promotion Board,3,984233,0,984233
9945,r028,United States<sup>b</sup> -> Arkansas -> Economic Development Commission,United States<sup>b</sup>,Arkansas,Economic Development Commission,3,1675000,0,1675000
9945,r029,United States<sup>b</sup> -> Arkansas -> Game and Fish Commission,United States<sup>b</sup>,Arkansas,Game and Fish Commission,3,1159178,958691,200487
9945,r030,"United States<sup>b</sup> -> Arkansas -> Midwest Dairy Association, Arkansas Division",United States<sup>b</sup>,Arkansas,"Midwest Dairy Association, Arkansas Division",3,10386,0,10386
9945,r031,United States<sup>b</sup> -> Arkansas -> Natural Heritage Commission,United States<sup>b</sup>,Arkansas,Natural Heritage Commission,3,160921,18735,142186
9945,r032,United States<sup>b</sup> -> Arkansas -> Rice Research and Promotion Board,United States<sup>b</sup>,Arkansas,Rice Research and Promotion Board,3,2396257,0,2396257
9945,r033,United States<sup>b</sup> -> Arkansas -> Soybean Promotion Board,United States<sup>b</sup>,Arkansas,Soybean Promotion Board,3,2207956,0,2207956
9945,r034,"United States<sup>b</sup> -> Arkansas -> Transportation, Department of",United States<sup>b</sup>,Arkansas,"Transportation, Department of",3,1079240,863392,215848
9945,r035,United States<sup>b</sup> -> Arkansas -> Wheat Promotion Board,United States<sup>b</sup>,Arkansas,Wheat Promotion Board,3,35932,0,35932
9945,r036,United States<sup>b</sup> -> California,United States<sup>b</sup>,California,,2,490081806,20301828,469779978
9945,r037,United States<sup>b</sup> -> California -> Air Resources Board,United States<sup>b</sup>,California,Air Resources Board,3,17251207,74677,17176530
9945,r038,United States<sup>b</sup> -> California -> Children and Families Commission (First 5 California),United States<sup>b</sup>,California,Children and Families Commission (First 5 California),3,7739521,0,7739521
9945,r039,"United States<sup>b</sup> -> California -> Conservation, Department of",United States<sup>b</sup>,California,"Conservation, Department of",3,1259204,402213,856991
9945,r040,"United States<sup>b</sup> -> California -> Corrections and Rehabilitation, Department of",United States<sup>b</sup>,California,"Corrections and Rehabilitation, Department of",3,2301034,0,2301034
9945,r041,United States<sup>b</sup> -> California -> Covered California,United States<sup>b</sup>,California,Covered California,3,3799165,0,3799165
9945,r042,United States<sup>b</sup> -> California -> Dairy Council,United States<sup>b</sup>,California,Dairy Council,3,50373,0,50373
9945,r043,United States<sup>b</sup> -> California -> Delta Stewardship Council,United States<sup>b</sup>,California,Delta Stewardship Council,3,5201966,955128,4246838
9945,r044,United States<sup>b</sup> -> California -> Earthquake Authority,United States<sup>b</sup>,California,Earthquake Authority,3,539832,0,539832
9945,r045,United States<sup>b</sup> -> California -> Energy Commission,United States<sup>b</sup>,California,Energy Commission,3,130400000,0,130400000
9945,r046,"United States<sup>b</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>b</sup>,California,"Environmental Health Hazard Assessment, Office of",3,19844985,0,19844985
9945,r047,"United States<sup>b</sup> -> California -> Food and Agriculture, Department of",United States<sup>b</sup>,California,"Food and Agriculture, Department of",3,5012081,54256,4957825
9945,r048,"United States<sup>b</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>b</sup>,California,"Forestry and Fire Protection, Department of",3,21200000,0,21200000
9945,r049,United States<sup>b</sup> -> California -> Horse Racing Board,United States<sup>b</sup>,California,Horse Racing Board,3,710513,0,710513
9945,r050,"United States<sup>b</sup> -> California -> Housing and Community Development, Department of",United States<sup>b</sup>,California,"Housing and Community Development, Department of",3,500000,0,500000
9945,r051,United States<sup>b</sup> -> California -> Institute for Regenerative Medicine,United States<sup>b</sup>,California,Institute for Regenerative Medicine,3,122808196,0,122808196
9945,r052,United States<sup>b</sup> -> California -> Mental Health Services Oversight and Accountability Commission,United States<sup>b</sup>,California,Mental Health Services Oversight and Accountability Commission,3,2500000,0,2500000
9945,r053,"United States<sup>b</sup> -> California -> Motor Vehicles, Department of",United States<sup>b</sup>,California,"Motor Vehicles, Department of",3,1776392,0,1776392
9945,r054,"United States<sup>b</sup> -> California -> Parks And Recreation, Department of",United States<sup>b</sup>,California,"Parks And Recreation, Department of",3,1515260,0,1515260
9945,r055,"United States<sup>b</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>b</sup>,California,"Pesticide Regulation, Department of ",3,14058135,109485,13948650
9945,r056,"United States<sup>b</sup> -> California -> Public Health, Department of",United States<sup>b</sup>,California,"Public Health, Department of",3,6155476,46500,6108976
9945,r057,"United States<sup>b</sup> -> California -> Public Utilities Commission, Executive Division",United States<sup>b</sup>,California,"Public Utilities Commission, Executive Division",3,61374566,0,61374566
9945,r058,"United States<sup>b</sup> -> California -> Rehabilitation, Department of ",United States<sup>b</sup>,California,"Rehabilitation, Department of ",3,1619410,1619410,0
9945,r059,United States<sup>b</sup> -> California -> State Coastal Conservancy,United States<sup>b</sup>,California,State Coastal Conservancy,3,942260,173892,768368
9945,r060,United States<sup>b</sup> -> California -> State Water Resources Control Board,United States<sup>b</sup>,California,State Water Resources Control Board,3,8564983,806267,7758716
9945,r061,"United States<sup>b</sup> -> California -> Toxic Substances Control, Department of",United States<sup>b</sup>,California,"Toxic Substances Control, Department of",3,645987,0,645987
9945,r062,"United States<sup>b</sup> -> California -> Transportation, Department of",United States<sup>b</sup>,California,"Transportation, Department of",3,39260000,16060000,23200000
9945,r063,"United States<sup>b</sup> -> California -> Water Resources, Department of",United States<sup>b</sup>,California,"Water Resources, Department of",3,13051260,0,13051260
9945,r064,United States<sup>b</sup> -> Colorado,United States<sup>b</sup>,Colorado,,2,38058349,5096962,32961387
9945,r065,"United States<sup>b</sup> -> Colorado -> Agriculture, Department of",United States<sup>b</sup>,Colorado,"Agriculture, Department of",3,581906,576906,5000
9945,r066,"United States<sup>b</sup> -> Colorado -> Economic Development and International Trade, Office of",United States<sup>b</sup>,Colorado,"Economic Development and International Trade, Office of",3,20576916,0,20576916
9945,r067,"United States<sup>b</sup> -> Colorado -> Higher Education Competitive, Research Authority",United States<sup>b</sup>,Colorado,"Higher Education Competitive, Research Authority",3,1443141,0,1443141
9945,r068,"United States<sup>b</sup> -> Colorado -> Higher Education, Department of ",United States<sup>b</sup>,Colorado,"Higher Education, Department of ",3,2425000,0,2425000
9945,r069,"United States<sup>b</sup> -> Colorado -> Natural Resources, Department of",United States<sup>b</sup>,Colorado,"Natural Resources, Department of",3,5062623,998132,4064491
9945,r070,"United States<sup>b</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>b</sup>,Colorado,"Public Health and Environment, Department of",3,3363873,6494,3357379
9945,r071,"United States<sup>b</sup> -> Colorado -> Public Safety, Department of; Division of Criminal Justice",United States<sup>b</sup>,Colorado,"Public Safety, Department of; Division of Criminal Justice",3,985007,124589,860418
9945,r072,"United States<sup>b</sup> -> Colorado -> Transportation, Department of",United States<sup>b</sup>,Colorado,"Transportation, Department of",3,3390841,3390841,0
9945,r073,United States<sup>b</sup> -> Colorado -> Wine Industry Development Board,United States<sup>b</sup>,Colorado,Wine Industry Development Board,3,229042,0,229042
9945,r074,United States<sup>b</sup> -> Connecticut,United States<sup>b</sup>,Connecticut,,2,60578799,14622416,45956383
9945,r075,United States<sup>b</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>b</sup>,Connecticut,Agricultural Experiment Station,3,13756272,5475135,8281137
9945,r076,"United States<sup>b</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>b</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,7320822,5622094,1698728
9945,r077,United States<sup>b</sup> -> Connecticut -> Innovation Inc.,United States<sup>b</sup>,Connecticut,Innovation Inc.,3,28919435,0,28919435
9945,r078,"United States<sup>b</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>b</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,7217443,910960,6306483
9945,r079,"United States<sup>b</sup> -> Connecticut -> Public Health, Department of",United States<sup>b</sup>,Connecticut,"Public Health, Department of",3,1780,1780,0
9945,r080,"United States<sup>b</sup> -> Connecticut -> Social Services, Department of",United States<sup>b</sup>,Connecticut,"Social Services, Department of",3,391305,0,391305
9945,r081,"United States<sup>b</sup> -> Connecticut -> Transportation, Department of",United States<sup>b</sup>,Connecticut,"Transportation, Department of",3,2971742,2612447,359295
9945,r082,United States<sup>b</sup> -> Delaware,United States<sup>b</sup>,Delaware,,2,3446375,1533976,1912399
9945,r083,United States<sup>b</sup> -> Delaware -> Geological Survey,United States<sup>b</sup>,Delaware,Geological Survey,3,1618967,456801,1162166
9945,r084,"United States<sup>b</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>b</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,646147,169828,476319
9945,r085,United States<sup>b</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>b</sup>,Delaware,Sustainable Energy Utility,3,10495,0,10495
9945,r086,"United States<sup>b</sup> -> Delaware -> Transportation, Department of",United States<sup>b</sup>,Delaware,"Transportation, Department of",3,1170766,907347,263419
9945,r087,United States<sup>b</sup> -> District of Columbia,United States<sup>b</sup>,District of Columbia,,2,10560754,8368175,2192579
9945,r088,"United States<sup>b</sup> -> District of Columbia -> Energy and Environment, Department of",United States<sup>b</sup>,District of Columbia,"Energy and Environment, Department of",3,476600,30000,446600
9945,r089,"United States<sup>b</sup> -> District of Columbia -> Health, Department of",United States<sup>b</sup>,District of Columbia,"Health, Department of",3,8244141,8066164,177977
9945,r090,"United States<sup>b</sup> -> District of Columbia -> Transportation, Department of",United States<sup>b</sup>,District of Columbia,"Transportation, Department of",3,340013,272011,68002
9945,r091,United States<sup>b</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>b</sup>,District of Columbia,Water and Sewer Authority,3,1500000,0,1500000
9945,r092,United States<sup>b</sup> -> Florida,United States<sup>b</sup>,Florida,,2,180145644,27469288,152676356
9945,r093,"United States<sup>b</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>b</sup>,Florida,"Agriculture and Consumer Services, Department of",3,18305424,5135974,13169450
9945,r094,"United States<sup>b</sup> -> Florida -> Citrus, Department of",United States<sup>b</sup>,Florida,"Citrus, Department of",3,850364,0,850364
9945,r095,"United States<sup>b</sup> -> Florida -> Environmental Protection, Department of",United States<sup>b</sup>,Florida,"Environmental Protection, Department of",3,68838,62212,6626
9945,r096,United States<sup>b</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>b</sup>,Florida,Fish and Wildlife Conservation Commission,3,55428229,15951168,39477061
9945,r097,United States<sup>b</sup> -> Florida -> Gaming Control Commission,United States<sup>b</sup>,Florida,Gaming Control Commission,3,100000,0,100000
