table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total,field_dod,field_doe,field_nasa
3854,r001,All FFRDCs,All FFRDCs,,,1,2234544.6,80391.3,2144453.3,9700.0
3854,r002,All FFRDCs -> Administered by industrial firms,All FFRDCs,Administered by industrial firms,,2,428268.6,77223.3,351045.3,0.0
3854,r003,All FFRDCs -> Administered by industrial firms -> Idaho National Laboratory,All FFRDCs,Administered by industrial firms,Idaho National Laboratory,3,2990.0,2590.0,400.0,0.0
3854,r004,All FFRDCs -> Administered by industrial firms -> Lawrence Livermore National Laboratory,All FFRDCs,Administered by industrial firms,Lawrence Livermore National Laboratory,3,178303.3,6212.8,172090.6,0.0
3854,r005,All FFRDCs -> Administered by industrial firms -> Los Alamos National Laboratory,All FFRDCs,Administered by industrial firms,Los Alamos National Laboratory,3,130811.4,410.0,130401.4,0.0
3854,r006,All FFRDCs -> Administered by industrial firms -> Sandia National Laboratories,All FFRDCs,Administered by industrial firms,Sandia National Laboratories,3,116163.9,68010.6,48153.3,0.0
3854,r007,All FFRDCs -> Administered by universities and colleges<sup>a</sup>,All FFRDCs,Administered by universities and colleges<sup>a</sup>,,2,850027.0,2968.0,837359.0,9700.0
3854,r008,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Ames Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Ames Laboratory,3,1000.0,0.0,1000.0,0.0
3854,r009,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Argonne National Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Argonne National Laboratory,3,184669.3,0.0,184669.3,0.0
3854,r010,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Fermi National Accelerator Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Fermi National Accelerator Laboratory,3,260202.3,0.0,260202.3,0.0
3854,r011,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Jet Propulsion Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Jet Propulsion Laboratory,3,9700.0,0.0,0.0,9700.0
3854,r012,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Lawrence Berkeley National Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Lawrence Berkeley National Laboratory,3,127703.7,0.0,127703.7,0.0
3854,r013,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Lincoln Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Lincoln Laboratory,3,700.0,700.0,0.0,0.0
3854,r014,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Princeton Plasma Physics Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Princeton Plasma Physics Laboratory,3,11526.0,0.0,11526.0,0.0
3854,r015,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> SLAC National Accelerator Laboratory,All FFRDCs,Administered by universities and colleges<sup>a</sup>,SLAC National Accelerator Laboratory,3,244678.9,0.0,244678.9,0.0
3854,r016,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Software Engineering Institute,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Software Engineering Institute,3,2268.0,2268.0,0.0,0.0
3854,r017,All FFRDCs -> Administered by universities and colleges<sup>a</sup> -> Thomas Jefferson National Accelerator Facility,All FFRDCs,Administered by universities and colleges<sup>a</sup>,Thomas Jefferson National Accelerator Facility,3,7578.9,0.0,7578.9,0.0
3854,r018,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup>,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,,2,956249.0,200.0,956049.0,0.0
3854,r019,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Brookhaven National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Brookhaven National Laboratory,3,103792.5,0.0,103792.5,0.0
3854,r020,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Center for Communications and Computing,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Center for Communications and Computing,3,200.0,200.0,0.0,0.0
3854,r021,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> National Renewable Energy Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,National Renewable Energy Laboratory,3,305460.0,0.0,305460.0,0.0
3854,r022,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Oak Ridge National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Oak Ridge National Laboratory,3,496128.3,0.0,496128.3,0.0
3854,r023,All FFRDCs -> Administered by nonprofit institutions<sup>b</sup> -> Pacific Northwest National Laboratory,All FFRDCs,Administered by nonprofit institutions<sup>b</sup>,Pacific Northwest National Laboratory,3,50668.2,0.0,50668.2,0.0
