table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_basic_research,field_applied_research,field_development
9859,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['6,124,669', '&nbsp;']","['715,225', '&nbsp;']","['2,221,924', '&nbsp;']","['3,187,520', '&nbsp;']"
9859,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['747,124', '&nbsp;']","['59,635', '&nbsp;']","['275,850', '&nbsp;']","['411,640', '&nbsp;']"
9859,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['18,270', 'r']","['704', '&nbsp;']","['3,942', '&nbsp;']","['13,624', 'r']"
9859,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['7,096', 'r']","['1,425', 'r']","['1,980', 'r']","['3,691', 'r']"
9859,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['134', '&nbsp;']","['14', '&nbsp;']","['21', '&nbsp;']","['99', '&nbsp;']"
9859,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9859,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9859,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['739', '&nbsp;']","['0', '&nbsp;']","['148', '&nbsp;']","['592', '&nbsp;']"
9859,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['132,255', '&nbsp;']","['14,608', '&nbsp;']","['52,897', '&nbsp;']","['64,750', '&nbsp;']"
9859,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['96,666', '&nbsp;']","['11,004', '&nbsp;']","['38,762', '&nbsp;']","['46,899', '&nbsp;']"
9859,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['35,589', '&nbsp;']","['3,604', '&nbsp;']","['14,135', '&nbsp;']","['17,850', '&nbsp;']"
9859,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['6,427', '&nbsp;']","['204', '&nbsp;']","['3,787', '&nbsp;']","['2,436', 'r']"
9859,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['3,638', 'r']","['2,236', 'r']","['811', 'r']","['590', '&nbsp;']"
9859,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['2,117', '&nbsp;']","['295', '&nbsp;']","['806', 'r']","['1,016', 'r']"
9859,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['11,983', 'r']","['3,864', 'r']","['3,509', 'r']","['4,609', 'r']"
9859,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['64,109', '&nbsp;']","['4,914', '&nbsp;']","['18,164', '&nbsp;']","['41,031', '&nbsp;']"
9859,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['279,203', '&nbsp;']","['21,513', '&nbsp;']","['87,924', '&nbsp;']","['169,765', '&nbsp;']"
9859,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['71,280', '&nbsp;']","['8,498', '&nbsp;']","['29,458', '&nbsp;']","['33,324', '&nbsp;']"
9859,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['164,799', '&nbsp;']","['10,675', '&nbsp;']","['46,797', '&nbsp;']","['107,327', '&nbsp;']"
9859,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['43,124', '&nbsp;']","['2,340', '&nbsp;']","['11,670', '&nbsp;']","['29,114', '&nbsp;']"
9859,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['40,032', '&nbsp;']","['1,809', 'r']","['16,157', '&nbsp;']","['22,065', '&nbsp;']"
9859,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['33,911', '&nbsp;']","['1,208', 'r']","['6,696', '&nbsp;']","['26,007', '&nbsp;']"
9859,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['13,003', '&nbsp;']","['266', '&nbsp;']","['4,607', '&nbsp;']","['8,130', '&nbsp;']"
9859,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['20,908', '&nbsp;']","['942', 'r']","['2,090', 'r']","['17,876', '&nbsp;']"
9859,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['1,471', 'r']","['0', '&nbsp;']","['559', '&nbsp;']","['912', 'r']"
9859,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['145,741', '&nbsp;']","['6,841', '&nbsp;']","['78,446', 'r']","['60,454', '&nbsp;']"
9859,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['5,377,544', '&nbsp;']","['655,590', '&nbsp;']","['1,946,074', '&nbsp;']","['2,775,881', '&nbsp;']"
