table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_agencies,field_doc,field_dod,field_doe,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
11222,r067,"All states and outlying areas -> California -> California State U., Monterey Bay",All states and outlying areas,California,"California State U., Monterey Bay",3,2751,0,0,0,0,0,1273,0,1021,364,92
11222,r068,"All states and outlying areas -> California -> California State U., Northridge",All states and outlying areas,California,"California State U., Northridge",3,19020,391,1526,420,0,0,7934,65,8683,0,0
11222,r069,"All states and outlying areas -> California -> California State U., Sacramento",All states and outlying areas,California,"California State U., Sacramento",3,3533,0,0,0,0,0,107,0,2009,0,1418
11222,r070,"All states and outlying areas -> California -> California State U., San Bernardino",All states and outlying areas,California,"California State U., San Bernardino",3,6179,0,0,0,0,0,1408,72,4699,0,0
11222,r071,"All states and outlying areas -> California -> California State U., San Marcos",All states and outlying areas,California,"California State U., San Marcos",3,5117,0,1500,0,0,0,2180,200,1236,0,0
11222,r072,"All states and outlying areas -> California -> California State U., Stanislaus",All states and outlying areas,California,"California State U., Stanislaus",3,520,0,0,0,0,0,102,113,279,0,26
11222,r073,"All states and outlying areas -> California -> California State U., system office",All states and outlying areas,California,"California State U., system office",3,97,0,0,0,0,0,0,0,97,0,0
11222,r074,All states and outlying areas -> California -> Cerritos C.,All states and outlying areas,California,Cerritos C.,3,429,0,0,79,0,0,0,0,350,0,0
11222,r075,All states and outlying areas -> California -> Chapman U.,All states and outlying areas,California,Chapman U.,3,8432,0,1231,0,0,0,4736,430,1962,74,0
11222,r076,All states and outlying areas -> California -> Charles R. Drew U. Medicine and Science,All states and outlying areas,California,Charles R. Drew U. Medicine and Science,3,7859,0,0,0,0,0,7859,0,0,0,0
11222,r077,All states and outlying areas -> California -> Citrus C.,All states and outlying areas,California,Citrus C.,3,187,0,0,0,0,0,0,0,187,0,0
11222,r078,All states and outlying areas -> California -> Claremont Graduate U.,All states and outlying areas,California,Claremont Graduate U.,3,157,0,0,0,0,0,0,0,157,0,0
11222,r079,All states and outlying areas -> California -> Claremont McKenna C.,All states and outlying areas,California,Claremont McKenna C.,3,566,0,0,0,0,0,0,0,566,0,0
11222,r080,"All states and outlying areas -> California -> Coast Community C., district office",All states and outlying areas,California,"Coast Community C., district office",3,1486,0,0,0,0,0,0,0,1486,0,0
11222,r081,All states and outlying areas -> California -> Feather River Community C. District,All states and outlying areas,California,Feather River Community C. District,3,750,0,0,0,0,0,0,0,750,0,0
11222,r082,All states and outlying areas -> California -> Fielding Graduate U.,All states and outlying areas,California,Fielding Graduate U.,3,1362,0,0,0,0,0,0,0,1362,0,0
11222,r083,"All states and outlying areas -> California -> Foothill-De Anza Community C. District, Foothill C.",All states and outlying areas,California,"Foothill-De Anza Community C. District, Foothill C.",3,526,0,0,0,0,0,0,0,526,0,0
11222,r084,All states and outlying areas -> California -> Harvey Mudd C.,All states and outlying areas,California,Harvey Mudd C.,3,1481,0,50,0,0,0,0,0,1431,0,0
11222,r085,All states and outlying areas -> California -> Humboldt State U.,All states and outlying areas,California,Humboldt State U.,3,953,0,0,0,0,0,281,0,140,382,149
11222,r086,All states and outlying areas -> California -> Keck Graduate Institute,All states and outlying areas,California,Keck Graduate Institute,3,1048,0,0,0,0,0,965,0,83,0,0
11222,r087,All states and outlying areas -> California -> Loma Linda U.,All states and outlying areas,California,Loma Linda U.,3,9451,0,0,0,0,0,8840,175,0,436,0
11222,r088,"All states and outlying areas -> California -> Los Angeles Community C. District, Los Angeles Harbor C.",All states and outlying areas,California,"Los Angeles Community C. District, Los Angeles Harbor C.",3,350,0,0,0,0,0,0,0,350,0,0
11222,r089,"All states and outlying areas -> California -> Los Angeles Community C. District, Pierce C.",All states and outlying areas,California,"Los Angeles Community C. District, Pierce C.",3,400,0,0,0,0,0,0,0,400,0,0
11222,r090,All states and outlying areas -> California -> Loyola Marymount U.,All states and outlying areas,California,Loyola Marymount U.,3,763,0,0,0,0,0,688,0,75,0,0
11222,r091,All states and outlying areas -> California -> Menlo C.,All states and outlying areas,California,Menlo C.,3,200,0,0,0,0,0,0,0,200,0,0
11222,r092,All states and outlying areas -> California -> Merced Community C. District,All states and outlying areas,California,Merced Community C. District,3,750,0,0,0,0,0,0,0,750,0,0
11222,r093,All states and outlying areas -> California -> Monterey Peninsula C.,All states and outlying areas,California,Monterey Peninsula C.,3,437,0,0,0,0,0,0,0,437,0,0
11222,r094,All states and outlying areas -> California -> Mount Saint Mary's U.,All states and outlying areas,California,Mount Saint Mary's U.,3,1496,0,0,0,0,0,0,0,1496,0,0
11222,r095,All states and outlying areas -> California -> National Physical Science Consortium,All states and outlying areas,California,National Physical Science Consortium,3,668,668,0,0,0,0,0,0,0,0,0
11222,r096,All states and outlying areas -> California -> Naval Postgraduate School,All states and outlying areas,California,Naval Postgraduate School,3,35126,0,33501,25,0,0,0,1600,0,0,0
11222,r097,All states and outlying areas -> California -> North Orange County Community C. District,All states and outlying areas,California,North Orange County Community C. District,3,40,0,0,0,0,0,0,0,40,0,0
11222,r098,All states and outlying areas -> California -> Occidental C.,All states and outlying areas,California,Occidental C.,3,514,0,0,0,0,0,0,0,514,0,0
11222,r099,All states and outlying areas -> California -> Palo Alto U.,All states and outlying areas,California,Palo Alto U.,3,185,0,0,0,0,0,185,0,0,0,0
11222,r100,"All states and outlying areas -> California -> Pepperdine U., Malibu",All states and outlying areas,California,"Pepperdine U., Malibu",3,2441,0,0,0,0,0,428,0,2013,0,0
11222,r101,All states and outlying areas -> California -> Pomona C.,All states and outlying areas,California,Pomona C.,3,750,0,0,0,0,0,0,0,750,0,0
11222,r102,"All states and outlying areas -> California -> Rancho Santiago Community C. District, Santa Ana",All states and outlying areas,California,"Rancho Santiago Community C. District, Santa Ana",3,350,0,0,0,0,0,0,0,350,0,0
11222,r103,All states and outlying areas -> California -> Rio Hondo C.,All states and outlying areas,California,Rio Hondo C.,3,1504,0,0,0,0,0,0,0,1504,0,0
11222,r104,All states and outlying areas -> California -> Riverside Community C. District,All states and outlying areas,California,Riverside Community C. District,3,1538,0,0,0,0,0,0,0,1538,0,0
11222,r105,All states and outlying areas -> California -> Saddleback C.,All states and outlying areas,California,Saddleback C.,3,2584,0,0,0,0,0,0,0,2584,0,0
11222,r106,All states and outlying areas -> California -> Saint Mary's C. California,All states and outlying areas,California,Saint Mary's C. California,3,636,0,0,0,0,0,0,0,636,0,0
11222,r107,All states and outlying areas -> California -> Samuel Merritt U.,All states and outlying areas,California,Samuel Merritt U.,3,1364,0,0,0,0,0,1364,0,0,0,0
11222,r108,"All states and outlying areas -> California -> San Diego Community C., district office",All states and outlying areas,California,"San Diego Community C., district office",3,183,0,0,0,0,0,0,0,183,0,0
11222,r109,"All states and outlying areas -> California -> San Diego State U., San Diego",All states and outlying areas,California,"San Diego State U., San Diego",3,58746,209,6642,290,448,0,35444,1121,11076,1138,2378
11222,r110,All states and outlying areas -> California -> San Francisco State U.,All states and outlying areas,California,San Francisco State U.,3,13031,0,0,524,0,0,5441,245,6821,0,0
11222,r111,All states and outlying areas -> California -> San Jose State U.,All states and outlying areas,California,San Jose State U.,3,19833,1390,90,150,0,0,2206,8949,6657,0,391
11222,r112,"All states and outlying areas -> California -> San Jose-Evergreen Community C. District, Evergreen Valley C.",All states and outlying areas,California,"San Jose-Evergreen Community C. District, Evergreen Valley C.",3,750,0,0,0,0,0,0,0,750,0,0
11222,r113,All states and outlying areas -> California -> San Mateo County Community C. District,All states and outlying areas,California,San Mateo County Community C. District,3,1499,0,0,0,0,0,0,0,1499,0,0
11222,r114,All states and outlying areas -> California -> Santa Clara U.,All states and outlying areas,California,Santa Clara U.,3,1310,150,0,0,0,0,68,0,1092,0,0
11222,r115,All states and outlying areas -> California -> Santa Monica C.,All states and outlying areas,California,Santa Monica C.,3,434,0,0,0,0,0,0,0,434,0,0
11222,r116,All states and outlying areas -> California -> Scripps C.,All states and outlying areas,California,Scripps C.,3,403,0,0,0,0,0,0,0,403,0,0
11222,r117,"All states and outlying areas -> California -> Scripps Research Institute, The",All states and outlying areas,California,"Scripps Research Institute, The",3,281562,0,169,550,0,0,279182,586,1075,0,0
11222,r118,All states and outlying areas -> California -> Sonoma State U.,All states and outlying areas,California,Sonoma State U.,3,1126,0,0,0,0,0,0,203,923,0,0
11222,r119,All states and outlying areas -> California -> Southern California U. Health Sciences,All states and outlying areas,California,Southern California U. Health Sciences,3,460,0,0,0,0,0,460,0,0,0,0
11222,r120,"All states and outlying areas -> California -> Southwestern C., Chula Vista",All states and outlying areas,California,"Southwestern C., Chula Vista",3,650,0,0,0,0,0,0,0,650,0,0
11222,r121,All states and outlying areas -> California -> Stanford U.,All states and outlying areas,California,Stanford U.,3,796224,181,83832,24230,1143,1350,617876,17387,46382,875,2969
11222,r122,All states and outlying areas -> California -> State Center Community C. District,All states and outlying areas,California,State Center Community C. District,3,500,0,0,0,0,0,0,0,0,500,0
11222,r123,"All states and outlying areas -> California -> U. California, Berkeley",All states and outlying areas,California,"U. California, Berkeley",3,273226,575,27880,30719,620,2799,121615,0,86885,1952,181
11222,r124,"All states and outlying areas -> California -> U. California, Cooperative Extension",All states and outlying areas,California,"U. California, Cooperative Extension",3,2397,0,1755,0,0,550,0,0,0,92,0
11222,r125,"All states and outlying areas -> California -> U. California, Davis",All states and outlying areas,California,"U. California, Davis",3,399989,360,15385,10678,2290,2150,265675,5835,50167,40316,7134
11222,r126,"All states and outlying areas -> California -> U. California, Irvine",All states and outlying areas,California,"U. California, Irvine",3,283095,1842,14520,12275,3940,0,196447,4338,49277,0,454
11222,r127,"All states and outlying areas -> California -> U. California, Los Angeles",All states and outlying areas,California,"U. California, Los Angeles",3,756368,336,50439,25223,532,0,586606,17925,72364,2943,0
11222,r128,"All states and outlying areas -> California -> U. California, Merced",All states and outlying areas,California,"U. California, Merced",3,22829,0,1967,1145,0,0,3938,268,13789,1724,0
11222,r129,"All states and outlying areas -> California -> U. California, Office of the President",All states and outlying areas,California,"U. California, Office of the President",3,149362,0,720,0,0,0,2598,121371,0,24377,295
11222,r130,"All states and outlying areas -> California -> U. California, Riverside",All states and outlying areas,California,"U. California, Riverside",3,100105,0,11964,5133,884,0,35822,0,40040,6205,57
11222,r131,"All states and outlying areas -> California -> U. California, San Diego",All states and outlying areas,California,"U. California, San Diego",3,879536,19280,93797,20322,0,399,568326,12279,164348,507,278
11222,r132,"All states and outlying areas -> California -> U. California, San Francisco",All states and outlying areas,California,"U. California, San Francisco",3,876442,21,43985,0,0,0,823485,0,8950,0,0
11222,r133,"All states and outlying areas -> California -> U. California, Santa Barbara",All states and outlying areas,California,"U. California, Santa Barbara",3,169727,543,68379,10751,0,0,17540,6003,64568,1650,293
11222,r134,"All states and outlying areas -> California -> U. California, Santa Cruz",All states and outlying areas,California,"U. California, Santa Cruz",3,83506,945,9976,6663,0,0,39289,2046,23046,750,789
11222,r135,All states and outlying areas -> California -> U. La Verne,All states and outlying areas,California,U. La Verne,3,235,0,0,0,0,0,0,235,0,0,0
11222,r136,All states and outlying areas -> California -> U. Pacific,All states and outlying areas,California,U. Pacific,3,1396,0,0,0,0,0,587,0,810,0,0
11222,r137,All states and outlying areas -> California -> U. Redlands,All states and outlying areas,California,U. Redlands,3,249,0,0,0,0,0,0,0,249,0,0
11222,r138,All states and outlying areas -> California -> U. San Diego,All states and outlying areas,California,U. San Diego,3,4598,0,1689,0,0,0,161,0,2748,0,0
11222,r139,All states and outlying areas -> California -> U. San Francisco,All states and outlying areas,California,U. San Francisco,3,3232,0,752,0,0,0,2480,0,0,0,0
11222,r140,All states and outlying areas -> California -> U. Southern California,All states and outlying areas,California,U. Southern California,3,470720,2462,96950,3998,515,0,318085,1467,46537,15,691
11222,r141,All states and outlying areas -> California -> Western U. Health Sciences,All states and outlying areas,California,Western U. Health Sciences,3,3666,0,1073,0,0,0,2586,0,0,6,0
11222,r142,All states and outlying areas -> California -> Westmont C.,All states and outlying areas,California,Westmont C.,3,200,0,0,0,0,0,0,0,200,0,0
11222,r143,All states and outlying areas -> California -> Whittier C.,All states and outlying areas,California,Whittier C.,3,43,0,0,0,0,0,0,43,0,0,0
11222,r144,All states and outlying areas -> Colorado,All states and outlying areas,Colorado,,2,1203788,91209,68229,45836,969,992,419499,197339,342825,26959,9931
11222,r145,All states and outlying areas -> Colorado -> Colorado C.,All states and outlying areas,Colorado,Colorado C.,3,532,0,0,0,0,0,0,0,532,0,0
11222,r146,All states and outlying areas -> Colorado -> Colorado Christian U.,All states and outlying areas,Colorado,Colorado Christian U.,3,55,0,0,0,0,0,0,0,55,0,0
11222,r147,All states and outlying areas -> Colorado -> Colorado Mesa U.,All states and outlying areas,Colorado,Colorado Mesa U.,3,704,0,0,0,0,0,704,0,0,0,0
11222,r148,All states and outlying areas -> Colorado -> Colorado School of Mines,All states and outlying areas,Colorado,Colorado School of Mines,3,37184,1183,5172,4693,0,0,2102,2874,20562,0,597
11222,r149,"All states and outlying areas -> Colorado -> Colorado State U., Fort Collins",All states and outlying areas,Colorado,"Colorado State U., Fort Collins",3,127973,5050,8614,8711,0,0,44505,7282,36078,17036,696
11222,r150,"All states and outlying areas -> Colorado -> Colorado State U., Pueblo",All states and outlying areas,Colorado,"Colorado State U., Pueblo",3,6120,0,650,3695,0,0,0,0,1396,269,111
11222,r151,"All states and outlying areas -> Colorado -> Colorado State U., system office",All states and outlying areas,Colorado,"Colorado State U., system office",3,26400,8410,0,5444,0,0,227,0,0,8403,3916
11222,r152,All states and outlying areas -> Colorado -> Colorado Theological Seminary,All states and outlying areas,Colorado,Colorado Theological Seminary,3,720,0,720,0,0,0,0,0,0,0,0
11222,r153,All states and outlying areas -> Colorado -> Fort Lewis C.,All states and outlying areas,Colorado,Fort Lewis C.,3,1387,0,0,0,0,0,520,0,867,0,0
11222,r154,All states and outlying areas -> Colorado -> Front Range Community C.,All states and outlying areas,Colorado,Front Range Community C.,3,474,0,0,0,0,0,0,0,474,0,0
11222,r155,All states and outlying areas -> Colorado -> Metropolitan State U. Denver,All states and outlying areas,Colorado,Metropolitan State U. Denver,3,1765,0,0,0,0,0,0,0,1765,0,0
11222,r156,All states and outlying areas -> Colorado -> Regis U.,All states and outlying areas,Colorado,Regis U.,3,749,0,0,0,0,0,499,0,250,0,0
11222,r157,All states and outlying areas -> Colorado -> U. Colorado Boulder,All states and outlying areas,Colorado,U. Colorado Boulder,3,798189,59472,52687,19821,294,992,365169,166896,130446,1250,1163
11222,r158,All states and outlying areas -> Colorado -> U. Corp. for Atmospheric Research,All states and outlying areas,Colorado,U. Corp. for Atmospheric Research,3,176701,17094,385,3473,0,0,0,19951,132768,0,3028
11222,r159,All states and outlying areas -> Colorado -> U. Denver,All states and outlying areas,Colorado,U. Denver,3,8790,0,0,0,675,0,5772,0,2302,0,40
11222,r160,All states and outlying areas -> Colorado -> U. Northern Colorado,All states and outlying areas,Colorado,U. Northern Colorado,3,748,0,0,0,0,0,0,0,469,0,279
11222,r161,All states and outlying areas -> Colorado -> UNAVCO Inc.,All states and outlying areas,Colorado,UNAVCO Inc.,3,15197,0,0,0,0,0,0,337,14860,0,0
11222,r162,All states and outlying areas -> Colorado -> Western Colorado U.,All states and outlying areas,Colorado,Western Colorado U.,3,100,0,0,0,0,0,0,0,0,0,100
11222,r163,All states and outlying areas -> Connecticut,All states and outlying areas,Connecticut,,2,850709,2985,43373,11250,7229,0,682676,3791,81201,16498,1706
11222,r164,All states and outlying areas -> Connecticut -> Central Connecticut State U.,All states and outlying areas,Connecticut,Central Connecticut State U.,3,75,0,0,0,0,0,0,0,0,0,75
11222,r165,All states and outlying areas -> Connecticut -> Connecticut Board of Regents for Higher Education,All states and outlying areas,Connecticut,Connecticut Board of Regents for Higher Education,3,4910,0,0,3366,0,0,500,0,1044,0,0
11222,r166,All states and outlying areas -> Connecticut -> Connecticut C.,All states and outlying areas,Connecticut,Connecticut C.,3,223,0,0,0,0,0,0,0,223,0,0
11222,r167,All states and outlying areas -> Connecticut -> Eastern Connecticut State U.,All states and outlying areas,Connecticut,Eastern Connecticut State U.,3,5,0,0,0,0,0,0,0,0,5,0
11222,r168,All states and outlying areas -> Connecticut -> Fairfield U.,All states and outlying areas,Connecticut,Fairfield U.,3,1095,0,0,0,0,0,1095,0,0,0,0
11222,r169,All states and outlying areas -> Connecticut -> Goodwin U.,All states and outlying areas,Connecticut,Goodwin U.,3,1588,0,0,0,0,0,1500,0,0,0,88
