table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_nebraska,field_nevada,field_new_hampshire,field_new_jersey,field_new_mexico,field_new_york,field_north_carolina,field_north_dakota,field_ohio,field_oklahoma,field_oregon,field_pennsylvania,field_rhode_island,field_south_carolina,field_south_dakota,field_tennessee,field_texas,field_utah,field_vermont,field_virginia,field_washington,field_west_virginia,field_wisconsin,field_wyoming,field_undistributedc
1397,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['29,999', '  ']","['317,731', '  ']","['491', '  ']","['412', '  ']","['767', '  ']","['12,902', '  ']","['323', '  ']","['13,454', ' ']","['7,226', '  ']","['237', '  ']","['6,366', '  ']","['642', '  ']","['6,316', '  ']","['11,161', '  ']","['822', 'i']","['1,146', '  ']","['135', '  ']","['1,383', '  ']","['14,913', '  ']","['2,876', '  ']","['230', '  ']","['2,240', ' ']","['19,001', '  ']","['157', '  ']","['4,387', '  ']","['164', '  ']","['5,664', ' ']"
1397,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['18,634', '  ']","['211,660', '  ']","['188', '  ']","['304', '  ']","['491', '  ']","['9,432', '  ']","['266', '  ']","['7,732', ' ']","['4,206', '  ']","['128', '  ']","['5,622', '  ']","['428', '  ']","['5,465', '  ']","['9,696', '  ']","['775', 'i']","['812', '  ']","['109', '  ']","['1,131', '  ']","['8,829', '  ']","['1,187', '  ']","['154', '  ']","['1,196', ' ']","['6,526', '  ']","['142', '  ']","['3,198', '  ']","['148', '  ']","['3,639', ' ']"
1397,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,153', '  ']","['4,611', '  ']","['62', '  ']","['1', 'e ']","['9', 'i ']","['379', '  ']","['2', 'i ']","['36', ' ']","['14', '  ']","['2', 'e ']","['136', '  ']","['13', '  ']","['16', 'i ']","['48', '  ']","['2', 'i']","['5', '  ']","['5', '  ']","['44', '  ']","['31', 'i ']","['9', 'i ']","['4', '  ']","['11', ' ']","['64', '  ']","['*', 'e ']","['84', '  ']","['*', 'e ']","['71', ' ']"
1397,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['88', '  ']","['987', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['269', ' ']","['49', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['2', 'e ']","['1', 'e ']","['*', 'e']","['*', 'e ']","['*', 'e ']","['4', '  ']","['168', '  ']","['*', 'i ']","['*', 'e ']","['93', ' ']","['D', '&nbsp;']","['*', 'e ']","['1', 'e ']","['*', 'e ']","['D', ' ']"
1397,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['419', '  ']","['1,156', 'i ']","['1', 'e ']","['1', 'e ']","['2', 'e ']","['15', 'e ']","['*', 'e ']","['68', 'i']","['203', '  ']","['*', 'e ']","['87', '  ']","['2', 'e ']","['27', '  ']","['15', 'e ']","['6', 'e']","['75', '  ']","['*', 'e ']","['11', 'e ']","['22', 'e ']","['4', 'i ']","['*', 'e ']","['7', 'e']","['D', '  ']","['*', 'e ']","['12', 'i ']","['*', 'e ']","['D', '&nbsp;']"
1397,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['153', '  ']","['181', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['2', '  ']","['*', 'e ']","['1', 'i']","['7', 'i ']","['9', '  ']","['1', 'i ']","['1', '  ']","['14', '  ']","['2', 'i ']","['2', ' ']","['8', '  ']","['*', 'e ']","['3', '  ']","['1', 'e ']","['1', 'i ']","['*', 'i ']","['5', ' ']","['D', '  ']","['*', '  ']","['5', '  ']","['*', 'e ']","['D', ' ']"
1397,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['242', '  ']","['851', '  ']","['1', '  ']","['*', 'e ']","['2', '  ']","['14', '  ']","['*', 'e ']","['9', 'i']","['20', '  ']","['*', 'e ']","['24', '  ']","['*', 'e ']","['1', 'i ']","['46', '  ']","['2', ' ']","['41', '  ']","['*', 'e ']","['24', '  ']","['5', '  ']","['1', 'i ']","['1', '  ']","['7', ' ']","['D', '&nbsp;']","['*', 'e ']","['412', '  ']","['*', 'e ']","['D', ' ']"
1397,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['309', '  ']","['219', 'i ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['2', 'e ']","['*', 'e ']","['7', 'i']","['16', '  ']","['*', 'e ']","['8', '  ']","['*', 'e ']","['2', '  ']","['6', '  ']","['*', 'e']","['*', 'e ']","['*', 'e ']","['5', '  ']","['2', 'e ']","['1', 'i ']","['*', 'e ']","['6', ' ']","['*', 'e ']","['*', 'e ']","['19', '  ']","['*', 'e ']","['24', ' ']"
1397,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['126', '  ']","['367', '  ']","['*', 'e ']","['1', 'e ']","['1', 'e ']","['53', '  ']","['*', 'e ']","['10', 'e']","['6', 'e ']","['*', 'e ']","['15', 'e ']","['67', '  ']","['2', '  ']","['12', 'e ']","['*', 'e']","['2', 'e ']","['1', 'e ']","['1', 'e ']","['25', '  ']","['1', 'e ']","['0', '  ']","['3', 'e']","['D', '&nbsp;']","['*', 'e ']","['3', '  ']","['*', 'e ']","['D', ' ']"
1397,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,640', '  ']","['64,165', '  ']","['35', '  ']","['23', 'i ']","['72', '  ']","['7,552', '  ']","['21', 'i ']","['2,979', ' ']","['1,727', '  ']","['4', '  ']","['2,455', '  ']","['52', '  ']","['98', '  ']","['6,740', 'i ']","['61', ' ']","['143', '  ']","['7', 'e ']","['342', '  ']","['957', '  ']","['279', '  ']","['37', '  ']","['403', ' ']","['1,073', '  ']","['104', '  ']","['427', '  ']","['95', '  ']","['574', ' ']"
1397,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['284', '  ']","['2,284', '  ']","['1', 'e ']","['1', '  ']","['27', '  ']","['170', 'i ']","['3', 'e ']","['247', ' ']","['125', '  ']","['*', 'e ']","['268', '  ']","['10', '  ']","['6', '  ']","['95', '  ']","['12', ' ']","['8', '  ']","['1', 'e ']","['266', '  ']","['134', '  ']","['8', '  ']","['*', 'e ']","['112', ' ']","['58', '  ']","['D', '  ']","['9', '  ']","['87', '  ']","['D', ' ']"
1397,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['213', '  ']","['693', '  ']","['*', 'e ']","['*', 'e ']","['13', '  ']","['D', '  ']","['0', '  ']","['58', 'i']","['6', 'i ']","['*', 'e ']","['326', '  ']","['*', 'e ']","['12', '  ']","['34', '  ']","['4', ' ']","['13', '  ']","['0', '  ']","['11', '  ']","['85', '  ']","['2', '  ']","['*', 'e ']","['2', 'i']","['2', '  ']","['*', 'e ']","['19', '  ']","['0', '  ']","['D', ' ']"
1397,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['57', '  ']","['1,061', 'i ']","['1', '  ']","['D', '&nbsp;']","['*', '  ']","['D', '  ']","['*', 'e ']","['1', ' ']","['30', 'i ']","['1', 'i ']","['5', 'i ']","['2', 'e ']","['*', 'e ']","['1', 'e ']","['0', ' ']","['2', 'i ']","['3', 'i ']","['2', 'i ']","['7', 'i ']","['1', 'i ']","['*', 'e ']","['9', ' ']","['3', 'i ']","['*', 'e ']","['54', '  ']","['0', '  ']","['D', ' ']"
1397,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['960', '  ']","['55,983', '  ']","['33', '  ']","['D', '&nbsp;']","['27', 'i ']","['6,954', '  ']","['18', '  ']","['2,435', ' ']","['1,496', '  ']","['3', '  ']","['435', '  ']","['35', '  ']","['67', '  ']","['6,448', 'i ']","['43', ' ']","['39', '  ']","['3', 'e ']","['51', '  ']","['639', '  ']","['266', '  ']","['33', '  ']","['273', ' ']","['1,006', '  ']","['D', '  ']","['182', '  ']","['8', '  ']","['359', ' ']"
1397,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['432', '  ']","['2,660', '  ']","['*', 'e ']","['*', 'e ']","['1', 'e ']","['272', 'i ']","['*', 'e ']","['198', 'i']","['22', '  ']","['*', 'e ']","['1,225', '  ']","['*', 'e ']","['1', 'e ']","['10', 'e ']","['1', 'e']","['3', 'e ']","['*', 'e ']","['7', 'i ']","['49', '  ']","['*', 'e ']","['4', '  ']","['3', ' ']","['2', 'i ']","['1', 'e ']","['128', '  ']","['*', '  ']","['17', ' ']"
1397,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['696', '  ']","['1,484', '  ']","['*', 'e ']","['2', 'i ']","['4', '  ']","['68', '  ']","['*', 'e ']","['40', ' ']","['49', '  ']","['0', '  ']","['196', '  ']","['4', 'i ']","['11', '  ']","['152', '  ']","['2', ' ']","['77', '  ']","['*', 'e ']","['5', 'e ']","['44', 'i ']","['2', 'e ']","['*', 'e ']","['4', 'e']","['2', 'e ']","['5', '  ']","['34', '  ']","['*', 'e ']","['99', ' ']"
1397,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['1,201', '  ']","['3,584', '  ']","['6', '  ']","['3', 'e ']","['6', 'i ']","['25', '  ']","['*', 'e ']","['77', ' ']","['82', '  ']","['D', '  ']","['291', '  ']","['36', '  ']","['7', '  ']","['183', '  ']","['13', ' ']","['18', '  ']","['9', '  ']","['22', '  ']","['336', '  ']","['5', 'i ']","['*', 'e ']","['30', ' ']","['D', '  ']","['10', '  ']","['104', '  ']","['*', 'e ']","['D', ' ']"
1397,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['409', '  ']","['1,274', '  ']","['1', 'e ']","['*', 'e ']","['5', '  ']","['33', '  ']","['*', 'e ']","['687', ' ']","['42', '  ']","['*', 'e ']","['63', '  ']","['1', 'e ']","['D', '  ']","['74', '  ']","['*', 'e']","['7', '  ']","['*', 'e ']","['3', 'i ']","['13', '  ']","['2', '  ']","['4', '  ']","['2', 'e']","['D', '  ']","['3', '  ']","['8', '  ']","['*', 'e ']","['D', ' ']"
1397,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['337', '  ']","['583', '  ']","['*', 'e ']","['1', 'i ']","['6', '  ']","['6', '  ']","['*', 'e ']","['12', ' ']","['10', '  ']","['*', 'e ']","['66', '  ']","['1', 'e ']","['13', '  ']","['144', '  ']","['1', 'e']","['11', '  ']","['*', 'e ']","['25', 'i ']","['38', 'i ']","['3', '  ']","['1', 'i ']","['2', 'e']","['D', '&nbsp;']","['2', '  ']","['18', '  ']","['*', 'e ']","['D', ' ']"
1397,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['2,229', '  ']","['2,127', '  ']","['7', '  ']","['5', '  ']","['11', '  ']","['41', '  ']","['1', 'e ']","['42', 'i']","['45', '  ']","['3', 'i ']","['155', '  ']","['17', 'i ']","['26', '  ']","['74', 'i ']","['3', 'e']","['30', '  ']","['4', '  ']","['17', 'i ']","['170', '  ']","['15', '  ']","['1', 'e ']","['13', ' ']","['42', '  ']","['2', 'e ']","['256', '  ']","['1', '  ']","['175', ' ']"
1397,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['2,648', '  ']","['11,699', '  ']","['32', '  ']","['11', '  ']","['39', '  ']","['61', '  ']","['7', '  ']","['233', ' ']","['203', '  ']","['75', '  ']","['298', '  ']","['153', '  ']","['D', '  ']","['329', '  ']","['15', ' ']","['67', '  ']","['12', '  ']","['76', '  ']","['726', '  ']","['21', '  ']","['17', '  ']","['27', ' ']","['143', '  ']","['5', 'e ']","['301', '  ']","['5', '  ']","['D', ' ']"
1397,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['190', '  ']","['1,552', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['*', 'e ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '  ']","['26', '  ']","['4', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['1', 'e ']","['0', ' ']","['4', '  ']","['1', '  ']","['7', '  ']","['D', '  ']","['*', 'i ']","['*', 'e ']","['*', 'e']","['7', '  ']","['1', '  ']","['D', '  ']","['*', 'e ']","['D', ' ']"
1397,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['48', '  ']","['3,028', '  ']","['0', '  ']","['0', '  ']","['D', '&nbsp;']","['24', '  ']","['0', '  ']","['D', ' ']","['0', '  ']","['0', '  ']","['6', '  ']","['0', '  ']","['D', '  ']","['10', '  ']","['0', ' ']","['0', '  ']","['0', '  ']","['*', '  ']","['D', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', ' ']"
1397,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['125', '  ']","['1,901', '  ']","['D', '&nbsp;']","['2', '  ']","['D', '&nbsp;']","['1', 'e ']","['D', '  ']","['26', ' ']","['D', '  ']","['1', '  ']","['8', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['8', '  ']","['*', 'e']","['22', '  ']","['*', 'e ']","['14', 'i ']","['68', '  ']","['*', 'e ']","['1', 'i ']","['7', ' ']","['3', '  ']","['*', 'e ']","['D', '  ']","['*', 'e ']","['13', ' ']"
1397,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['2,285', '  ']","['5,218', '  ']","['9', '  ']","['9', '  ']","['39', '  ']","['36', '  ']","['7', '  ']","['186', ' ']","['99', '  ']","['48', '  ']","['281', '  ']","['152', '  ']","['85', '  ']","['311', '  ']","['15', ' ']","['41', '  ']","['11', '  ']","['54', '  ']","['396', '  ']","['20', '  ']","['16', '  ']","['19', ' ']","['133', '  ']","['4', 'e ']","['218', '  ']","['5', '  ']","['D', ' ']"
1397,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,980', '  ']","['68,515', '  ']","['26', '  ']","['29', '  ']","['267', '  ']","['685', '  ']","['224', '  ']","['1,208', ' ']","['1,093', '  ']","['D', '  ']","['532', 'i ']","['40', '  ']","['4,547', '  ']","['857', '  ']","['65', ' ']","['148', '  ']","['61', '  ']","['64', '  ']","['5,610', 'i ']","['243', '  ']","['41', '  ']","['234', ' ']","['771', '  ']","['3', 'e ']","['224', '  ']","['2', 'e ']","['D', ' ']"
1397,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['502', '  ']","['11,293', '  ']","['D', '  ']","['6', '  ']","['66', '  ']","['396', '  ']","['14', '  ']","['200', 'i']","['414', '  ']","['*', 'e ']","['83', '  ']","['4', '  ']","['55', '  ']","['330', '  ']","['1', 'e']","['9', '  ']","['*', '  ']","['5', '  ']","['504', '  ']","['71', '  ']","['2', '  ']","['124', 'i']","['149', '  ']","['*', 'e ']","['7', '  ']","['0', '  ']","['D', '&nbsp;']"
1397,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['822', '  ']","['29,176', '  ']","['7', '  ']","['2', 'e ']","['129', '  ']","['116', '  ']","['164', '  ']","['481', ' ']","['356', 'i ']","['0', '  ']","['79', 'i ']","['7', '  ']","['4,267', '  ']","['213', '  ']","['20', 'i']","['83', '  ']","['29', '  ']","['20', '  ']","['1,750', '  ']","['83', '  ']","['8', '  ']","['24', ' ']","['169', '  ']","['*', 'e ']","['77', '  ']","['1', 'i ']","['326', ' ']"
1397,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['1,258', '  ']","['10,131', '  ']","['D', '  ']","['16', '  ']","['49', '  ']","['157', '  ']","['39', '  ']","['256', ' ']","['157', '  ']","['D', '  ']","['310', 'i ']","['27', '  ']","['137', '  ']","['209', '  ']","['37', ' ']","['53', '  ']","['24', '  ']","['36', '  ']","['378', '  ']","['87', '  ']","['31', '  ']","['68', ' ']","['259', '  ']","['1', 'i ']","['117', '  ']","['1', 'e ']","['D', ' ']"
1397,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517","['250', '  ']","['2,466', '  ']","['*', '  ']","['D', '&nbsp;']","['6', 'i ']","['29', 'i ']","['0', '  ']","['83', 'i']","['22', 'i ']","['0', '  ']","['59', 'i ']","['1', '  ']","['13', 'i ']","['115', '  ']","['1', 'e']","['12', 'i ']","['*', '  ']","['27', '  ']","['44', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['22', 'i']","['46', 'i ']","['1', '  ']","['47', 'i ']","['*', '  ']","['D', ' ']"
