table_id,row_id,highest_degree_field_and_degree_level_full_path,highest_degree_field_and_degree_level_level_1,highest_degree_field_and_degree_level_level_2,highest_degree_field_and_degree_level_hierarchy_depth,field_total_number_,field_education_4_year_institutions,field_education_2_year_and_precollege_institutions,field_business_or_industry_for_profit_businesses,field_business_or_industry_self_employed_unincorporated_businesses,field_business_or_industry_nonprofit_businesses,field_government_federal_government,field_government_state_or_local_government
4384,r001,All S&E highest degree holders,All S&E highest degree holders,,1,15362000,8.6,6.7,60.3,5.7,8.2,4.9,6.0
4384,r002,All S&E highest degree holders -> Computer and mathematical sciences,All S&E highest degree holders,Computer and mathematical sciences,2,2837000,6.0,5.9,72.1,3.5,4.7,4.1,3.7
4384,r003,"All S&E highest degree holders -> Biological, agricultural, and environmental life sciences",All S&E highest degree holders,"Biological, agricultural, and environmental life sciences",2,2437000,15.6,8.6,44.6,7.0,10.8,5.4,8.1
4384,r004,All S&E highest degree holders -> Physical and related sciences,All S&E highest degree holders,Physical and related sciences,2,889000,150.0,6.2,57.7,3.1,6.7,5.6,5.9
4384,r005,All S&E highest degree holders -> Social and related sciences,All S&E highest degree holders,Social and related sciences,2,5474000,8.4,10.0,49.2,8.1,12.2,4.7,7.4
4384,r006,All S&E highest degree holders -> Engineering,All S&E highest degree holders,Engineering,2,3725000,4.6,1.3,78.4,3.5,2.6,5.4,4.2
4384,r007,Highest degree: bachelor's,Highest degree: bachelor's,,1,10731000,5.0,6.2,63.7,6.1,8.1,4.3,6.5
4384,r008,Highest degree: bachelor's -> Computer and mathematical sciences,Highest degree: bachelor's,Computer and mathematical sciences,2,1896000,3.7,6.2,72.9,4.1,4.6,4.7,3.9
4384,r009,"Highest degree: bachelor's -> Biological, agricultural, and environmental life sciences",Highest degree: bachelor's,"Biological, agricultural, and environmental life sciences",2,1688000,9.3,7.5,49.5,8.5,11.4,4.8,9.0
4384,r010,Highest degree: bachelor's -> Physical and related sciences,Highest degree: bachelor's,Physical and related sciences,2,520000,8.5,6.0,62.2,3.3,7.8,3.9,8.3
4384,r011,Highest degree: bachelor's -> Social and related sciences,Highest degree: bachelor's,Social and related sciences,2,4097000,5.0,8.8,55.2,7.8,11.7,3.9,7.6
4384,r012,Highest degree: bachelor's -> Engineering,Highest degree: bachelor's,Engineering,2,2530000,2.6,1.2,80.4,4.1,2.5,4.6,4.5
4384,r013,Highest degree: master's,Highest degree: master's,,1,3350000,8.8,9.0,58.3,4.3,8.0,6.0,5.6
4384,r014,Highest degree: master's -> Computer and mathematical sciences,Highest degree: master's,Computer and mathematical sciences,2,829000,6.2,5.6,73.9,2.5,5.4,2.7,3.8
4384,r015,"Highest degree: master's -> Biological, agricultural, and environmental life sciences",Highest degree: master's,"Biological, agricultural, and environmental life sciences",2,388000,17.0,17.1,35.4,3.4,10.9,6.6,9.6
4384,r016,Highest degree: master's -> Physical and related sciences,Highest degree: master's,Physical and related sciences,2,170000,15.4,9.5,56.4,3.9,s,6.9,4.3
4384,r017,Highest degree: master's -> Social and related sciences,Highest degree: master's,Social and related sciences,2,1001000,10.2,15.7,35.4,8.3,15.2,7.6,7.5
4384,r018,Highest degree: master's -> Engineering,Highest degree: master's,Engineering,2,961000,5.0,1.7,78.2,2.1,2.5,6.7,3.8
4384,r019,Highest degree: doctorate,Highest degree: doctorate,,1,1239000,38.1,4.3,36.9,4.9,6.9,6.6,2.2
4384,r020,Highest degree: doctorate -> Computer and mathematical sciences,Highest degree: doctorate,Computer and mathematical sciences,2,112000,42.4,2.7,46.9,s,3.3,3.5,s
4384,r021,"Highest degree: doctorate -> Biological, agricultural, and environmental life sciences",Highest degree: doctorate,"Biological, agricultural, and environmental life sciences",2,360000,43.3,4.7,31.5,3.6,8.0,6.9,2.1
4384,r022,Highest degree: doctorate -> Physical and related sciences,Highest degree: doctorate,Physical and related sciences,2,199000,31.5,30.0,46.9,2.2,6.7,8.9,0.8
4384,r023,Highest degree: doctorate -> Social and related sciences,Highest degree: doctorate,Social and related sciences,2,335000,43.5,7.7,19.4,10.5,9.8,5.3,3.7
4384,r024,Highest degree: doctorate -> Engineering,Highest degree: doctorate,Engineering,2,233000,26.0,0.9,56.9,2.9,3.2,7.6,2.4
