table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
7574,r001_1,California,Rank,,1,1
7574,r001_2,California,Totala,,1,5892
7574,r001_3,California,Male,,1,3267
7574,r001_4,California,Female,,1,2623
7574,r001_5,California,Science and engineering,Total,2,4959
7574,r001_6,California,Science and engineering,Male,2,2848
7574,r001_7,California,Science and engineering,Female,2,2109
7574,r001_8,California,Non-science and engineering,Total,2,933
7574,r001_9,California,Non-science and engineering,Male,2,419
7574,r001_10,California,Non-science and engineering,Female,2,514
7574,r002_1,Texas,Rank,,1,2
7574,r002_2,Texas,Totala,,1,4118
7574,r002_3,Texas,Male,,1,2213
7574,r002_4,Texas,Female,,1,1904
7574,r002_5,Texas,Science and engineering,Total,2,3155
7574,r002_6,Texas,Science and engineering,Male,2,1803
7574,r002_7,Texas,Science and engineering,Female,2,1352
7574,r002_8,Texas,Non-science and engineering,Total,2,963
7574,r002_9,Texas,Non-science and engineering,Male,2,410
7574,r002_10,Texas,Non-science and engineering,Female,2,552
7574,r003_1,New York,Rank,,1,3
7574,r003_2,New York,Totala,,1,3871
7574,r003_3,New York,Male,,1,2030
7574,r003_4,New York,Female,,1,1840
7574,r003_5,New York,Science and engineering,Total,2,2975
7574,r003_6,New York,Science and engineering,Male,2,1653
7574,r003_7,New York,Science and engineering,Female,2,1321
7574,r003_8,New York,Non-science and engineering,Total,2,896
7574,r003_9,New York,Non-science and engineering,Male,2,377
7574,r003_10,New York,Non-science and engineering,Female,2,519
7574,r004_1,Massachusetts,Rank,,1,4
7574,r004_2,Massachusetts,Totala,,1,2652
7574,r004_3,Massachusetts,Male,,1,1501
7574,r004_4,Massachusetts,Female,,1,1151
7574,r004_5,Massachusetts,Science and engineering,Total,2,2180
7574,r004_6,Massachusetts,Science and engineering,Male,2,1273
7574,r004_7,Massachusetts,Science and engineering,Female,2,907
7574,r004_8,Massachusetts,Non-science and engineering,Total,2,472
7574,r004_9,Massachusetts,Non-science and engineering,Male,2,228
7574,r004_10,Massachusetts,Non-science and engineering,Female,2,244
7574,r005_1,Pennsylvania,Rank,,1,5
7574,r005_2,Pennsylvania,Totala,,1,2434
7574,r005_3,Pennsylvania,Male,,1,1288
7574,r005_4,Pennsylvania,Female,,1,1145
7574,r005_5,Pennsylvania,Science and engineering,Total,2,1897
7574,r005_6,Pennsylvania,Science and engineering,Male,2,1062
7574,r005_7,Pennsylvania,Science and engineering,Female,2,834
7574,r005_8,Pennsylvania,Non-science and engineering,Total,2,537
7574,r005_9,Pennsylvania,Non-science and engineering,Male,2,226
7574,r005_10,Pennsylvania,Non-science and engineering,Female,2,311
7574,r006_1,Florida,Rank,,1,6
7574,r006_2,Florida,Totala,,1,2339
7574,r006_3,Florida,Male,,1,1219
7574,r006_4,Florida,Female,,1,1120
7574,r006_5,Florida,Science and engineering,Total,2,1784
7574,r006_6,Florida,Science and engineering,Male,2,1008
7574,r006_7,Florida,Science and engineering,Female,2,776
7574,r006_8,Florida,Non-science and engineering,Total,2,555
7574,r006_9,Florida,Non-science and engineering,Male,2,211
7574,r006_10,Florida,Non-science and engineering,Female,2,344
7574,r007_1,Illinois,Rank,,1,7
7574,r007_2,Illinois,Totala,,1,2310
7574,r007_3,Illinois,Male,,1,1304
7574,r007_4,Illinois,Female,,1,1005
7574,r007_5,Illinois,Science and engineering,Total,2,1847
7574,r007_6,Illinois,Science and engineering,Male,2,1056
7574,r007_7,Illinois,Science and engineering,Female,2,790
7574,r007_8,Illinois,Non-science and engineering,Total,2,463
7574,r007_9,Illinois,Non-science and engineering,Male,2,248
7574,r007_10,Illinois,Non-science and engineering,Female,2,215
7574,r008_1,Ohio,Rank,,1,8
7574,r008_2,Ohio,Totala,,1,1878
7574,r008_3,Ohio,Male,,1,963
7574,r008_4,Ohio,Female,,1,914
7574,r008_5,Ohio,Science and engineering,Total,2,1428
7574,r008_6,Ohio,Science and engineering,Male,2,783
7574,r008_7,Ohio,Science and engineering,Female,2,644
7574,r008_8,Ohio,Non-science and engineering,Total,2,450
7574,r008_9,Ohio,Non-science and engineering,Male,2,180
7574,r008_10,Ohio,Non-science and engineering,Female,2,270
7574,r009_1,Michigan,Rank,,1,9
7574,r009_2,Michigan,Totala,,1,1790
7574,r009_3,Michigan,Male,,1,971
7574,r009_4,Michigan,Female,,1,819
7574,r009_5,Michigan,Science and engineering,Total,2,1446
7574,r009_6,Michigan,Science and engineering,Male,2,838
7574,r009_7,Michigan,Science and engineering,Female,2,608
7574,r009_8,Michigan,Non-science and engineering,Total,2,344
7574,r009_9,Michigan,Non-science and engineering,Male,2,133
7574,r009_10,Michigan,Non-science and engineering,Female,2,211
7574,r010_1,North Carolina,Rank,,1,10
7574,r010_2,North Carolina,Totala,,1,1724
7574,r010_3,North Carolina,Male,,1,917
7574,r010_4,North Carolina,Female,,1,807
7574,r010_5,North Carolina,Science and engineering,Total,2,1407
7574,r010_6,North Carolina,Science and engineering,Male,2,784
7574,r010_7,North Carolina,Science and engineering,Female,2,623
