table_id,row_id,core_based_statistical_area_full_path,core_based_statistical_area_level_1,core_based_statistical_area_level_2,core_based_statistical_area_hierarchy_depth,field_cbsa_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others
2043,r001,All locations,All locations,,1,"['&nbsp;', '&nbsp;']","['400,100', '&nbsp;']","['339,036', '&nbsp;']","['61,065', '&nbsp;']"
2043,r002,"All locations -> San Jose-Sunnyvale-Santa Clara, CA",All locations,"San Jose-Sunnyvale-Santa Clara, CA",2,"['41940', '&nbsp;']","['56,898', '&nbsp;']","['54,078', '&nbsp;']","['2,820', '&nbsp;']"
2043,r003,"All locations -> San Francisco-Oakland-Berkeley, CA",All locations,"San Francisco-Oakland-Berkeley, CA",2,"['41860', '&nbsp;']","['33,156', '&nbsp;']","['31,289', '&nbsp;']","['1,867', '&nbsp;']"
2043,r004,"All locations -> Seattle-Tacoma-Bellevue, WA",All locations,"Seattle-Tacoma-Bellevue, WA",2,"['42660', '&nbsp;']","['28,912', 'i']","['28,387', 'i']","['525', '&nbsp;']"
2043,r005,"All locations -> New York-Newark-Jersey City, NY-NJ-PA",All locations,"New York-Newark-Jersey City, NY-NJ-PA",2,"['35620', '&nbsp;']","['24,461', '&nbsp;']","['20,652', '&nbsp;']","['3,809', '&nbsp;']"
2043,r006,"All locations -> Boston-Cambridge-Newton, MA-NH",All locations,"Boston-Cambridge-Newton, MA-NH",2,"['14460', '&nbsp;']","['21,949', '&nbsp;']","['17,380', '&nbsp;']","['4,569', '&nbsp;']"
2043,r007,"All locations -> Detroit-Warren-Dearborn, MI",All locations,"Detroit-Warren-Dearborn, MI",2,"['19820', '&nbsp;']","['15,402', '&nbsp;']","['14,355', '&nbsp;']","['1,047', '&nbsp;']"
2043,r008,"All locations -> San Diego-Chula Vista-Carlsbad, CA",All locations,"San Diego-Chula Vista-Carlsbad, CA",2,"['41740', '&nbsp;']","['13,423', 'i']","['11,343', 'i']","['2,080', 'i']"
2043,r009,"All locations -> Los Angeles-Long Beach-Anaheim, CA",All locations,"Los Angeles-Long Beach-Anaheim, CA",2,"['31080', '&nbsp;']","['12,938', 'i']","['9,154', '&nbsp;']","['3,783', 'i']"
2043,r010,"All locations -> Chicago-Naperville-Elgin, IL-IN-WI",All locations,"Chicago-Naperville-Elgin, IL-IN-WI",2,"['16980', '&nbsp;']","['11,612', '&nbsp;']","['10,140', '&nbsp;']","['1,472', 'i']"
2043,r011,"All locations -> Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",All locations,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,"['37980', '&nbsp;']","['10,051', '&nbsp;']","['8,233', '&nbsp;']","['1,819', '&nbsp;']"
2043,r012,"All locations -> Austin-Round Rock-Georgetown, TX",All locations,"Austin-Round Rock-Georgetown, TX",2,"['12420', '&nbsp;']","['7,926', 'i']","['7,304', 'i']","['622', '&nbsp;']"
2043,r013,"All locations -> Portland-Vancouver-Hillsboro, OR-WA",All locations,"Portland-Vancouver-Hillsboro, OR-WA",2,"['38900', '&nbsp;']","['7,369', '&nbsp;']","['7,197', '&nbsp;']","['172', '&nbsp;']"
2043,r014,"All locations -> Dallas-Fort Worth-Arlington, TX",All locations,"Dallas-Fort Worth-Arlington, TX",2,"['19100', '&nbsp;']","['7,007', 'i']","['5,146', 'i']","['1,861', 'i']"
2043,r015,"All locations -> Minneapolis-St. Paul-Bloomington, MN-WI",All locations,"Minneapolis-St. Paul-Bloomington, MN-WI",2,"['33460', '&nbsp;']","['6,434', '&nbsp;']","['6,030', '&nbsp;']","['403', '&nbsp;']"
2043,r016,"All locations -> Atlanta-Sandy Springs-Alpharetta, GA",All locations,"Atlanta-Sandy Springs-Alpharetta, GA",2,"['12060', '&nbsp;']","['5,455', 'i']","['4,173', '&nbsp;']","['1,282', 'i']"
2043,r017,"All locations -> Washington-Arlington-Alexandria, DC-VA-MD-WV",All locations,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2,"['47900', '&nbsp;']","['4,921', '&nbsp;']","['2,781', '&nbsp;']","['2,141', '&nbsp;']"
2043,r018,"All locations -> Phoenix-Mesa-Chandler, AZ",All locations,"Phoenix-Mesa-Chandler, AZ",2,"['38060', '&nbsp;']","['4,786', 'i']","['3,483', 'i']","['1,302', 'i']"
2043,r019,"All locations -> Houston-The Woodlands-Sugar Land, TX",All locations,"Houston-The Woodlands-Sugar Land, TX",2,"['26420', '&nbsp;']","['4,313', 'i']","['3,794', 'i']","['519', '&nbsp;']"
2043,r020,"All locations -> St. Louis, MO-IL",All locations,"St. Louis, MO-IL",2,"['41180', '&nbsp;']","['4,170', 'i']","['276 - 4,171', '&nbsp;']","['0 - 3,894', 'i']"
2043,r021,"All locations -> Indianapolis-Carmel-Anderson, IN",All locations,"Indianapolis-Carmel-Anderson, IN",2,"['26900', '&nbsp;']","['4,167', '&nbsp;']","['3,399', '&nbsp;']","['768', '&nbsp;']"
2043,r022,"All locations -> Norwich-New London, CT",All locations,"Norwich-New London, CT",2,"['35980', '&nbsp;']","['4,069', 'i']","['175 - 4,070', 'i']","['0 - 3,894', '&nbsp;']"
2043,r023,"All locations -> Durham-Chapel Hill, NC",All locations,"Durham-Chapel Hill, NC",2,"['20500', '&nbsp;']","['4,036', '&nbsp;']","['2,403', '&nbsp;']","['1,633', '&nbsp;']"
2043,r024,"All locations -> Cincinnati, OH-KY-IN",All locations,"Cincinnati, OH-KY-IN",2,"['17140', '&nbsp;']","['3,574', '&nbsp;']","['2,650', '&nbsp;']","['923', '&nbsp;']"
2043,r025,"All locations -> Baltimore-Columbia-Towson, MD",All locations,"Baltimore-Columbia-Towson, MD",2,"['12580', '&nbsp;']","['3,042', 'i']","['1,496', '&nbsp;']","['1,545', 'i']"
2043,r026,"All locations -> Raleigh-Cary, NC",All locations,"Raleigh-Cary, NC",2,"['39580', '&nbsp;']","['2,664', '&nbsp;']","['1,877', '&nbsp;']","['787', '&nbsp;']"
2043,r027,"All locations -> Sacramento-Roseville-Folsom, CA",All locations,"Sacramento-Roseville-Folsom, CA",2,"['40900', '&nbsp;']","['2,440', 'i']","['1,748', 'i']","['692', '&nbsp;']"
2043,r028,"All locations -> Kansas City, MO-KS",All locations,"Kansas City, MO-KS",2,"['28140', '&nbsp;']","['2,288', '&nbsp;']","['1,571', '&nbsp;']","['717', '&nbsp;']"
2043,r029,"All locations -> Columbus, OH",All locations,"Columbus, OH",2,"['18140', '&nbsp;']","['2,167', '&nbsp;']","['865', '&nbsp;']","['1,303', '&nbsp;']"
2043,r030,"All locations -> Denver-Aurora-Lakewood, CO",All locations,"Denver-Aurora-Lakewood, CO",2,"['19740', '&nbsp;']","['2,134', '&nbsp;']","['1,827', '&nbsp;']","['308', 'i']"
2043,r031,"All locations -> Miami-Fort Lauderdale-Pompano Beach, FL",All locations,"Miami-Fort Lauderdale-Pompano Beach, FL",2,"['33100', '&nbsp;']","['2,092', '&nbsp;']","['1,776', '&nbsp;']","['316', '&nbsp;']"
2043,r032,"All locations -> Oxnard-Thousand Oaks-Ventura, CA",All locations,"Oxnard-Thousand Oaks-Ventura, CA",2,"['37100', '&nbsp;']","['2,032', '&nbsp;']","['1,671', '&nbsp;']","['361', '&nbsp;']"
2043,r033,"All locations -> Trenton-Princeton, NJ",All locations,"Trenton-Princeton, NJ",2,"['45940', '&nbsp;']","['1,939', '&nbsp;']","['1,291', '&nbsp;']","['647', '&nbsp;']"
2043,r034,"All locations -> Hartford-East Hartford-Middletown, CT",All locations,"Hartford-East Hartford-Middletown, CT",2,"['25540', '&nbsp;']","['1,875', '&nbsp;']","['1,279', '&nbsp;']","['597', '&nbsp;']"
2043,r035,"All locations -> Milwaukee-Waukesha, WI",All locations,"Milwaukee-Waukesha, WI",2,"['33340', '&nbsp;']","['1,706', '&nbsp;']","['1,583', '&nbsp;']","['123', '&nbsp;']"
2043,r036,"All locations -> Madison, WI",All locations,"Madison, WI",2,"['31540', '&nbsp;']","['1,642', '&nbsp;']","['1,254', '&nbsp;']","['388', 'i']"
2043,r037,"All locations -> Charlotte-Concord-Gastonia, NC-SC",All locations,"Charlotte-Concord-Gastonia, NC-SC",2,"['16740', '&nbsp;']","['1,641', 'i']","['1,585', 'i']","['56', 'i']"
2043,r038,"All locations -> Boise City, ID",All locations,"Boise City, ID",2,"['14260', '&nbsp;']","['1,597', '&nbsp;']","['1,404', '&nbsp;']","['193', '&nbsp;']"
2043,r039,"All locations -> Bridgeport-Stamford-Norwalk, CT",All locations,"Bridgeport-Stamford-Norwalk, CT",2,"['14860', '&nbsp;']","['1,590', '&nbsp;']","['1,303', '&nbsp;']","['286', '&nbsp;']"
2043,r040,"All locations -> Pittsburgh, PA",All locations,"Pittsburgh, PA",2,"['38300', '&nbsp;']","['1,538', '&nbsp;']","['1,421', '&nbsp;']","['117', 'i']"
2043,r041,"All locations -> Providence-Warwick, RI-MA",All locations,"Providence-Warwick, RI-MA",2,"['39300', '&nbsp;']","['1,451', '&nbsp;']","['1,376', '&nbsp;']","['75', '&nbsp;']"
2043,r042,"All locations -> Cleveland-Elyria, OH",All locations,"Cleveland-Elyria, OH",2,"['17460', '&nbsp;']","['1,380', '&nbsp;']","['1,209', '&nbsp;']","['171', '&nbsp;']"
2043,r043,"All locations -> Tampa-St. Petersburg-Clearwater, FL",All locations,"Tampa-St. Petersburg-Clearwater, FL",2,"['45300', '&nbsp;']","['1,281', '&nbsp;']","['871', '&nbsp;']","['410', 'i']"
2043,r044,"All locations -> Boulder, CO",All locations,"Boulder, CO",2,"['14500', '&nbsp;']","['1,272', '&nbsp;']","['1,140', '&nbsp;']","['131', '&nbsp;']"
2043,r045,"All locations -> Tucson, AZ",All locations,"Tucson, AZ",2,"['46060', '&nbsp;']","['1,267', 'i']","['757', 'i']","['511', 'i']"
2043,r046,"All locations -> Huntsville, AL",All locations,"Huntsville, AL",2,"['26620', '&nbsp;']","['1,252', '&nbsp;']","['411', '&nbsp;']","['842', '&nbsp;']"
2043,r047,"All locations -> Albany-Schenectady-Troy, NY",All locations,"Albany-Schenectady-Troy, NY",2,"['10580', '&nbsp;']","['1,146', 'i']","['1,057', 'i']","['89', 'i']"
2043,r048,"All locations -> Salt Lake City, UT",All locations,"Salt Lake City, UT",2,"['41620', '&nbsp;']","['1,106', '&nbsp;']","['976', '&nbsp;']","['130', 'i']"
2043,r049,"All locations -> Rochester, NY",All locations,"Rochester, NY",2,"['40380', '&nbsp;']","['1,042', '&nbsp;']","['943', '&nbsp;']","['99', 'i']"
2043,r050,"All locations -> New Haven-Milford, CT",All locations,"New Haven-Milford, CT",2,"['35300', '&nbsp;']","['1,019', '&nbsp;']","['0 - 1,020', '&nbsp;']","['0 - 1,020', '&nbsp;']"
2043,r051,"All locations -> Palm Bay-Melbourne-Titusville, FL",All locations,"Palm Bay-Melbourne-Titusville, FL",2,"['37340', '&nbsp;']","['989', 'i']","['199', 'i']","['790', 'i']"
2043,r052,"All locations -> Worcester, MA-CT",All locations,"Worcester, MA-CT",2,"['49340', '&nbsp;']","['940', '&nbsp;']","['833', '&nbsp;']","['107', 'i']"
2043,r053,"All locations -> Ogden-Clearfield, UT",All locations,"Ogden-Clearfield, UT",2,"['36260', '&nbsp;']","['917', '&nbsp;']","['443', '&nbsp;']","['475', '&nbsp;']"
2043,r054,"All locations -> Orlando-Kissimmee-Sanford, FL",All locations,"Orlando-Kissimmee-Sanford, FL",2,"['36740', '&nbsp;']","['908', '&nbsp;']","['708', '&nbsp;']","['201', 'i']"
2043,r055,"All locations -> Cedar Rapids, IA",All locations,"Cedar Rapids, IA",2,"['16300', '&nbsp;']","['903', '&nbsp;']","['0 - 904', 'i']","['0 - 904', '&nbsp;']"
2043,r056,"All locations -> Des Moines-West Des Moines, IA",All locations,"Des Moines-West Des Moines, IA",2,"['19780', '&nbsp;']","['862', 'i']","['0 - 863', 'i']","['0 - 863', '&nbsp;']"
2043,r057,"All locations -> Manchester-Nashua, NH",All locations,"Manchester-Nashua, NH",2,"['31700', '&nbsp;']","['858', 'i']","['372', '&nbsp;']","['486', 'i']"
2043,r058,"All locations -> Kalamazoo-Portage, MI",All locations,"Kalamazoo-Portage, MI",2,"['28020', '&nbsp;']","['857', '&nbsp;']","['573', '&nbsp;']","['285', '&nbsp;']"
2043,r059,"All locations -> Riverside-San Bernardino-Ontario, CA",All locations,"Riverside-San Bernardino-Ontario, CA",2,"['40140', '&nbsp;']","['820', '&nbsp;']","['721', '&nbsp;']","['99', 'i']"
2043,r060,"All locations -> Buffalo-Cheektowaga, NY",All locations,"Buffalo-Cheektowaga, NY",2,"['15380', '&nbsp;']","['790', '&nbsp;']","['593', '&nbsp;']","['197', 'i']"
2043,r061,"All locations -> Santa Maria-Santa Barbara, CA",All locations,"Santa Maria-Santa Barbara, CA",2,"['42200', '&nbsp;']","['748', 'i']","['576', '&nbsp;']","['172', 'i']"
