table_id,row_id,academic_institution_full_path,academic_institution_level_1,academic_institution_level_2,academic_institution_level_3,academic_institution_hierarchy_depth,field_doctorate_recipients,field_high_hispanic_enrollment_institution
3277,r001,All institutions,All institutions,,,1,13172,-
3277,r002,All institutions -> Foreign or unknown institutions,All institutions,Foreign or unknown institutions,,2,4533,-
3277,r003,All institutions -> Top 50 U.S. institutions,All institutions,Top 50 U.S. institutions,,2,4327,-
3277,r004,"All institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Mayaguez",All institutions,Top 50 U.S. institutions,"U. Puerto Rico, Mayaguez",3,342,Yes
3277,r005,"All institutions -> Top 50 U.S. institutions -> U. Puerto Rico, Rio Piedras",All institutions,Top 50 U.S. institutions,"U. Puerto Rico, Rio Piedras",3,288,Yes
3277,r006,"All institutions -> Top 50 U.S. institutions -> U. Texas, El Paso",All institutions,Top 50 U.S. institutions,"U. Texas, El Paso",3,190,Yes
3277,r007,All institutions -> Top 50 U.S. institutions -> U. Florida,All institutions,Top 50 U.S. institutions,U. Florida,3,188,No
3277,r008,All institutions -> Top 50 U.S. institutions -> Florida International U.,All institutions,Top 50 U.S. institutions,Florida International U.,3,159,Yes
3277,r009,"All institutions -> Top 50 U.S. institutions -> U. California, Los Angeles",All institutions,Top 50 U.S. institutions,"U. California, Los Angeles",3,157,No
3277,r010,"All institutions -> Top 50 U.S. institutions -> U. Texas, Austin",All institutions,Top 50 U.S. institutions,"U. Texas, Austin",3,149,No
3277,r011,"All institutions -> Top 50 U.S. institutions -> U. California, Berkeley",All institutions,Top 50 U.S. institutions,"U. California, Berkeley",3,138,No
3277,r012,"All institutions -> Top 50 U.S. institutions -> U. California, Davis",All institutions,Top 50 U.S. institutions,"U. California, Davis",3,124,No
3277,r013,"All institutions -> Top 50 U.S. institutions -> U. California, Irvine",All institutions,Top 50 U.S. institutions,"U. California, Irvine",3,116,Yes
3277,r014,"All institutions -> Top 50 U.S. institutions -> U. California, San Diego",All institutions,Top 50 U.S. institutions,"U. California, San Diego",3,112,No
3277,r015,All institutions -> Top 50 U.S. institutions -> Massachusetts Institute of Technology,All institutions,Top 50 U.S. institutions,Massachusetts Institute of Technology,3,109,No
3277,r016,"All institutions -> Top 50 U.S. institutions -> Texas A&M U., College Station and Health Science Center",All institutions,Top 50 U.S. institutions,"Texas A&M U., College Station and Health Science Center",3,106,No
3277,r017,All institutions -> Top 50 U.S. institutions -> U. Arizona,All institutions,Top 50 U.S. institutions,U. Arizona,3,106,Yes
