table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_employees_total,field_employees_r_d
12307,r001,All states,All states,,1,"['24,092', '<b>  </b>']","['2,110', '  ']"
12307,r002,All states -> Alabama,All states,Alabama,2,"['279', '  ']","['14', '  ']"
12307,r003,All states -> Alaska,All states,Alaska,2,"['25', '  ']","['1', '  ']"
12307,r004,All states -> Arizona,All states,Arizona,2,"['478', '  ']","['28', '  ']"
12307,r005,All states -> Arkansas,All states,Arkansas,2,"['176', '  ']","['4', '  ']"
12307,r006,All states -> California,All states,California,2,"['3,023', '  ']","['510', '  ']"
12307,r007,All states -> Colorado,All states,Colorado,2,"['468', '  ']","['43', '  ']"
12307,r008,All states -> Connecticut,All states,Connecticut,2,"['266', '  ']","['22', '  ']"
12307,r009,All states -> Delaware,All states,Delaware,2,"['92', '  ']","['6', '  ']"
12307,r010,All states -> District of Columbia,All states,District of Columbia,2,"['52', '  ']","['4', '  ']"
12307,r011,All states -> Florida,All states,Florida,2,"['1,121', '  ']","['51', '  ']"
12307,r012,All states -> Georgia,All states,Georgia,2,"['809', '  ']","['39', '  ']"
12307,r013,All states -> Hawaii,All states,Hawaii,2,"['39', '  ']","['2', '  ']"
12307,r014,All states -> Idaho,All states,Idaho,2,"['103', '  ']","['11', '  ']"
12307,r015,All states -> Illinois,All states,Illinois,2,"['1,138', '  ']","['64', '  ']"
12307,r016,All states -> Indiana,All states,Indiana,2,"['553', '  ']","['32', '  ']"
12307,r017,All states -> Iowa,All states,Iowa,2,"['288', '  ']","['15', '  ']"
12307,r018,All states -> Kansas,All states,Kansas,2,"['245', '  ']","['15', '  ']"
12307,r019,All states -> Kentucky,All states,Kentucky,2,"['355', '  ']","['7', '  ']"
12307,r020,All states -> Louisiana,All states,Louisiana,2,"['161', '  ']","['5', '  ']"
12307,r021,All states -> Maine,All states,Maine,2,"['60', '  ']","['3', '  ']"
12307,r022,All states -> Maryland,All states,Maryland,2,"['365', '  ']","['36', '  ']"
12307,r023,All states -> Massachusetts,All states,Massachusetts,2,"['548', '  ']","['106', '  ']"
12307,r024,All states -> Michigan,All states,Michigan,2,"['852', '  ']","['102', '  ']"
12307,r025,All states -> Minnesota,All states,Minnesota,2,"['490', '  ']","['43', '  ']"
12307,r026,All states -> Mississippi,All states,Mississippi,2,"['146', '  ']","['3', '  ']"
12307,r027,All states -> Missouri,All states,Missouri,2,"['414', '  ']","['21', '  ']"
12307,r028,All states -> Montana,All states,Montana,2,"['37', '  ']","['3', '  ']"
12307,r029,All states -> Nebraska,All states,Nebraska,2,"['173', '  ']","['9', '  ']"
12307,r030,All states -> Nevada,All states,Nevada,2,"['166', '  ']","['7', '  ']"
12307,r031,All states -> New Hampshire,All states,New Hampshire,2,"['96', '  ']","['13', '  ']"
12307,r032,All states -> New Jersey,All states,New Jersey,2,"['652', '  ']","['67', '  ']"
12307,r033,All states -> New Mexico,All states,New Mexico,2,"['69', '  ']","['4', '  ']"
12307,r034,All states -> New York,All states,New York,2,"['877', '  ']","['91', '  ']"
12307,r035,All states -> North Carolina,All states,North Carolina,2,"['785', '  ']","['66', '  ']"
12307,r036,All states -> North Dakota,All states,North Dakota,2,"['53', '  ']","['3', '  ']"
12307,r037,All states -> Ohio,All states,Ohio,2,"['917', '  ']","['58', '  ']"
12307,r038,All states -> Oklahoma,All states,Oklahoma,2,"['177', '  ']","['9', '  ']"
12307,r039,All states -> Oregon,All states,Oregon,2,"['293', '  ']","['30', '  ']"
12307,r040,All states -> Pennsylvania,All states,Pennsylvania,2,"['828', '  ']","['68', '  ']"
12307,r041,All states -> Rhode Island,All states,Rhode Island,2,"['62', '  ']","['4', '  ']"
12307,r042,All states -> South Carolina,All states,South Carolina,2,"['283', '  ']","['10', '  ']"
12307,r043,All states -> South Dakota,All states,South Dakota,2,"['51', '  ']","['2', '  ']"
12307,r044,All states -> Tennessee,All states,Tennessee,2,"['546', '  ']","['18', '  ']"
12307,r045,All states -> Texas,All states,Texas,2,"['2,112', '  ']","['125', '  ']"
12307,r046,All states -> Utah,All states,Utah,2,"['257', '  ']","['20', '  ']"
12307,r047,All states -> Vermont,All states,Vermont,2,"['32', '  ']","['2', '  ']"
12307,r048,All states -> Virginia,All states,Virginia,2,"['587', '  ']","['41', '  ']"
12307,r049,All states -> Washington,All states,Washington,2,"['771', '  ']","['149', '  ']"
12307,r050,All states -> West Virginia,All states,West Virginia,2,"['71', '  ']","['3', '  ']"
12307,r051,All states -> Wisconsin,All states,Wisconsin,2,"['516', '  ']","['43', '  ']"
12307,r052,All states -> Wyoming,All states,Wyoming,2,"['17', '  ']","['1', '  ']"
12307,r053,All states -> Undistributed<sup>a</sup>,All states,Undistributed<sup>a</sup>,2,"['1,122', '  ']","['79', '  ']"
