table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
12681,r001,All HBCUs,All HBCUs,,1,-,"['769,508', '']","['25,282', '']","['32,719', '']","['436,147', '']","['8,143', '']","['69,138', '']","['6,793', '']","['17,546', '']","['8,078', '']","['90,620', '']","['75,042', '']"
12681,r002,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,1,"['84,756', '']","['7,235', '']","['0', '']","['48,554', '']","['369', '']","['7,016', '']","['1,976', '']","['1,671', '']","['0', '']","['11,221', '']","['6,714', '']"
12681,r003,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,2,"['65,159', '']","['220', '']","['5,377', '']","['31,768', '']","['33', '']","['2,201', '']","['120', '']","['467', '']","['0', '']","['9,530', '']","['15,443', '']"
12681,r004,All HBCUs -> North Carolina A&T State U.,All HBCUs,North Carolina A&T State U.,2,3,"['62,307', '']","['1,884', '']","['0', '']","['22,995', '']","['1,149', '']","['3,306', '']","['95', '']","['111', '']","['2,056', '']","['20,925', '']","['9,786', '']"
12681,r005,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,4,"['57,125', '']","['0', '']","['0', '']","['57,125', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12681,r006,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,5,"['43,868', '']","['1,109', '']","['8,663', '']","['10,795', '']","['356', '']","['3,287', '']","['286', '']","['1,864', '']","['0', '']","['10,725', '']","['6,783', '']"
12681,r007,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,6,"['33,499', '']","['1,071', '']","['1,451', '']","['20,808', '']","['803', '']","['5,666', '']","['473', '']","['787', '']","['1,296', '']","['419', '']","['725', '']"
12681,r008,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,7,"['28,246', '']","['1,412', '']","['0', '']","['16,921', '']","['0', '']","['369', '']","['152', '']","['0', '']","['0', '']","['3,026', '']","['6,366', '']"
12681,r009,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,8,"['25,625', '']","['923', '']","['0', '']","['18,189', '']","['616', '']","['2,141', '']","['0', '']","['5', '']","['472', '']","['3,262', '']","['17', '']"
12681,r010,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,9,"['22,002', '']","['508', '']","['0', '']","['21,494', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12681,r011,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,10,"['21,791', '']","['671', '']","['2', '']","['10,328', '']","['40', '']","['1,545', '']","['5', '']","['431', '']","['4', '']","['5,101', '']","['3,664', '']"
12681,r012,All HBCUs -> U. of the Virgin Islands,All HBCUs,U. of the Virgin Islands,2,11,"['20,259', '']","['267', '']","['8,729', '']","['8,130', '']","['679', '']","['1,130', '']","['0', '']","['534', '']","['0', '']","['790', '']","['0', '']"
12681,r013,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,12,"['19,457', '']","['383', '']","['0', '']","['6,183', '']","['128', '']","['7,333', '']","['167', '']","['559', '']","['618', '']","['3,214', '']","['872', '']"
12681,r014,All HBCUs -> Alcorn State U.,All HBCUs,Alcorn State U.,2,13,"['19,141', '']","['0', '']","['0', '']","['11,432', '']","['0', '']","['0', '']","['0', '']","['6,360', '']","['0', '']","['1,349', '']","['0', '']"
12681,r015,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,14,"['18,477', 'i']","['157', 'i']","['261', 'i']","['7,115', 'i']","['0', 'i']","['5,524', 'i']","['0', 'i']","['357', 'i']","['293', 'i']","['2,317', 'i']","['2,453', 'i']"
12681,r016,All HBCUs -> Texas Southern U.,All HBCUs,Texas Southern U.,2,15,"['16,287', '']","['100', '']","['0', '']","['11,092', '']","['125', '']","['1,823', '']","['661', '']","['1,096', '']","['0', '']","['75', '']","['1,315', '']"
12681,r017,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,16,"['15,588', '']","['557', 'i']","['0', 'i']","['9,197', 'i']","['118', 'i']","['1,143', 'i']","['310', 'i']","['447', 'i']","['0', 'i']","['3,018', 'i']","['798', 'i']"
12681,r018,All HBCUs -> Fort Valley State U.,All HBCUs,Fort Valley State U.,2,17,"['15,536', '']","['0', '']","['70', '']","['15,331', '']","['17', '']","['118', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12681,r019,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,18,"['15,519', '']","['540', '']","['0', '']","['7,030', '']","['0', '']","['7,701', '']","['0', '']","['91', '']","['0', '']","['135', '']","['22', '']"
12681,r020,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,19,"['13,504', '']","['102', '']","['45', '']","['8,961', '']","['36', '']","['144', '']","['323', '']","['16', '']","['1', '']","['2,110', '']","['1,766', '']"
12681,r021,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,20,"['11,591', '']","['13', '']","['0', '']","['11,578', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12681,r022,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,21,"['11,123', '']","['0', '']","['163', '']","['10,270', '']","['59', '']","['352', '']","['0', '']","['0', '']","['124', '']","['155', '']","['0', '']"
12681,r023,"All HBCUs -> U. Maryland, Eastern Shore",All HBCUs,"U. Maryland, Eastern Shore",2,22,"['10,730', '']","['0', '']","['3,388', '']","['7,264', '']","['0', '']","['15', '']","['0', '']","['0', '']","['0', '']","['63', '']","['0', '']"
12681,r024,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,23,"['10,505', '']","['0', '']","['0', '']","['9,676', '']","['27', '']","['110', '']","['518', '']","['0', '']","['0', '']","['0', '']","['174', '']"
12681,r025,All HBCUs -> Clark Atlanta U.,All HBCUs,Clark Atlanta U.,2,24,"['10,320', '']","['113', '']","['0', '']","['5,873', '']","['845', '']","['3,168', '']","['0', '']","['0', '']","['0', '']","['114', '']","['207', '']"
12681,r026,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,25,"['9,769', '']","['409', '']","['1,880', '']","['1,745', '']","['490', '']","['3,898', '']","['0', '']","['139', '']","['0', '']","['837', '']","['371', '']"
12681,r027,All HBCUs -> Winston-Salem State U.,All HBCUs,Winston-Salem State U.,2,26,"['8,668', '']","['746', '']","['0', '']","['2,928', '']","['43', '']","['551', '']","['195', '']","['264', '']","['0', '']","['0', '']","['3,941', '']"
12681,r028,"All HBCUs -> Lincoln U., Jefferson City",All HBCUs,"Lincoln U., Jefferson City",2,27,"['8,196', '']","['0', 'i']","['996', 'i']","['6,626', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['237', 'i']","['336', 'i']","['0', 'i']","['1', 'i']"
12681,r029,All HBCUs -> U. of the District of Columbia,All HBCUs,U. of the District of Columbia,2,28,"['7,945', '']","['351', '']","['146', '']","['107', '']","['227', '']","['7', '']","['284', '']","['50', '']","['145', '']","['3,342', '']","['3,286', '']"
12681,r030,All HBCUs -> South Carolina State U.,All HBCUs,South Carolina State U.,2,29,"['7,814', '']","['1,025', '']","['278', '']","['3,360', '']","['0', '']","['541', '']","['0', '']","['619', '']","['0', '']","['924', '']","['1,067', '']"
12681,r031,"All HBCUs -> U. Arkansas, Pine Bluff",All HBCUs,"U. Arkansas, Pine Bluff",2,30,"['7,766', '']","['0', '']","['0', '']","['6,081', '']","['0', '']","['726', '']","['0', '']","['0', '']","['477', '']","['0', '']","['482', '']"
12681,r032,"All HBCUs -> Southern U. and A&M C., Agricultural Research and Extension Center",All HBCUs,"Southern U. and A&M C., Agricultural Research and Extension Center",2,31,"['7,764', '']","['0', '']","['0', '']","['7,764', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12681,r033,All HBCUs -> Norfolk State U.,All HBCUs,Norfolk State U.,2,32,"['6,194', '']","['444', '']","['0', '']","['326', '']","['123', '']","['1,074', '']","['0', '']","['323', '']","['0', '']","['2,218', '']","['1,686', '']"
12681,r034,All HBCUs -> Morehouse C.,All HBCUs,Morehouse C.,2,33,"['5,750', '']","['641', '']","['0', '']","['400', '']","['0', '']","['2,813', '']","['46', '']","['0', '']","['1,471', '']","['0', '']","['379', '']"
12681,r035,All HBCUs -> West Virginia State U.,All HBCUs,West Virginia State U.,2,34,"['5,226', '']","['0', '']","['0', '']","['5,203', '']","['23', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12681,r036,"All HBCUs -> Southern U. and A&M C., Baton Rouge",All HBCUs,"Southern U. and A&M C., Baton Rouge",2,35,"['5,201', '']","['417', '']","['0', '']","['1,211', '']","['100', '']","['433', '']","['0', '']","['40', '']","['0', '']","['2,338', '']","['662', '']"
12681,r037,All HBCUs -> Spelman C.,All HBCUs,Spelman C.,2,36,"['4,877', '']","['69', '']","['336', '']","['869', '']","['1,112', '']","['774', '']","['941', '']","['312', '']","['145', '']","['0', '']","['319', '']"
12681,r038,All HBCUs -> Fisk U.,All HBCUs,Fisk U.,2,37,"['4,867', '']","['949', '']","['0', '']","['1,228', '']","['104', '']","['2,574', '']","['10', '']","['0', '']","['0', '']","['0', '']","['2', '']"
12681,r039,All HBCUs -> Fayetteville State U.,All HBCUs,Fayetteville State U.,2,38,"['3,569', 'i']","['524', 'i']","['0', 'i']","['872', 'i']","['0', 'i']","['183', 'i']","['0', 'i']","['173', 'i']","['47', 'i']","['141', 'i']","['1,629', 'i']"
12681,r040,All HBCUs -> Alabama State U.,All HBCUs,Alabama State U.,2,39,"['3,229', '']","['255', '']","['0', '']","['2,579', '']","['141', '']","['0', '']","['0', '']","['0', '']","['0', '']","['14', '']","['240', '']"
12681,r041,All HBCUs -> Tougaloo C.,All HBCUs,Tougaloo C.,2,40,"['2,663', 'i']","['106', 'i']","['2', 'i']","['1,368', 'i']","['105', 'i']","['610', 'i']","['127', 'i']","['70', 'i']","['2', 'i']","['2', 'i']","['271', 'i']"
12681,r042,All HBCUs -> Bowie State U.,All HBCUs,Bowie State U.,2,41,"['2,612', '']","['892', '']","['0', '']","['1,002', '']","['14', '']","['0', '']","['0', '']","['69', '']","['0', '']","['0', '']","['635', '']"
12681,r043,All HBCUs -> Benedict C.,All HBCUs,Benedict C.,2,42,"['2,307', '']","['189', '']","['0', '']","['354', '']","['187', '']","['149', '']","['0', '']","['0', '']","['0', '']","['1,428', '']","['0', '']"
12681,r044,All HBCUs -> Dillard U.,All HBCUs,Dillard U.,2,43,"['2,296', '']","['0', '']","['33', '']","['1,498', '']","['14', '']","['163', '']","['0', '']","['1', '']","['198', '']","['85', '']","['304', '']"
12681,r045,All HBCUs -> Albany State U.,All HBCUs,Albany State U.,2,44,"['1,932', '']","['57', '']","['0', '']","['158', '']","['60', '']","['111', '']","['0', '']","['169', '']","['188', '']","['1,177', '']","['12', '']"
12681,r046,All HBCUs -> Savannah State U.,All HBCUs,Savannah State U.,2,45,"['1,706', '']","['0', '']","['522', '']","['318', '']","['0', '']","['85', '']","['0', '']","['74', '']","['205', '']","['502', '']","['0', '']"
12681,r047,All HBCUs -> Elizabeth City State U.,All HBCUs,Elizabeth City State U.,2,46,"['1,641', '']","['386', '']","['0', '']","['495', '']","['0', '']","['0', '']","['3', '']","['116', '']","['0', '']","['0', '']","['641', '']"
12681,r048,All HBCUs -> Johnson C. Smith U.,All HBCUs,Johnson C. Smith U.,2,47,"['1,602', '']","['43', '']","['308', '']","['98', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1,153', '']"
12681,r049,All HBCUs -> Claflin U.,All HBCUs,Claflin U.,2,48,"['1,418', '']","['306', '']","['53', '']","['562', '']","['0', '']","['340', '']","['0', '']","['94', '']","['0', '']","['63', '']","['0', '']"
12681,r050,"All HBCUs -> Southern U., New Orleans",All HBCUs,"Southern U., New Orleans",2,49,"['1,004', '']","['0', '']","['0', '']","['536', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['468', '']"
12681,r051,All HBCUs -> Lincoln U.,All HBCUs,Lincoln U.,2,50,"['628', '']","['96', '']","['0', '']","['232', '']","['0', '']","['14', '']","['0', '']","['0', '']","['0', '']","['0', '']","['286', '']"
12681,r052,All HBCUs -> Grambling State U.,All HBCUs,Grambling State U.,2,51,"['449', '']","['112', '']","['16', '']","['118', '']","['0', '']","['0', '']","['101', '']","['0', '']","['0', '']","['0', '']","['102', '']"
