table_id,row_id,assessment,1979_n_1_635_,1981_n_1_235_,1983_n_1_615_,1985_n_1_986_,1988_n_2_041_,1990_n_2_005_,1992_n_1_995_,1995_n_2_006_,1997_n_2_000_,1999_n_1_882_,2001_n_1_574_,2004_n_2_025_,2006_n_1_864_,2008_n_2_021_,2010_n_1_454_,2012_n_2_256_,2014_n_2_130_,2016_n_1_390_,2018_n_1_175_
2286,r001,Clear understanding,22,34,18,29,31,33,31,34,37,37,35,33,30,29,26,24,28,31,27
2286,r002,General sense,61,51,49,50,49,47,50,46,46,47,49,51,52,50,52,54,51,48,51
2286,r003,Little understanding,17,14,32,20,19,19,18,18,16,17,14,16,17,20,21,20,20,19,20
2286,r004,Don't know,1,1,0.05,0.05,0.05,0.05,0.05,2,1,0,1,1,1,1,2,2,1,2,1
