table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_hierarchy_depth,field_all_r_d_expenditures_,field_sciences_agricultural_sciences_and_natural_resources_and_conservation_,field_sciences_biological_biomedical_and_health_sciences_,field_sciences_geosciences_atmospheric_sciences_and_ocean_sciences_,field_sciences_mathematics_statistics_and_computer_and_information_sciences_,field_sciences_physical_sciences_,field_sciences_psychology_and_social_sciences_,field_engineering_,field_humanities,field_other_fields
8047,r001,All organizations ,All organizations ,,1,"['27,973,176', '  ']","['672,721', '  ']","['20,991,207', '  ']","['989,598', '  ']","['516,293', '  ']","['505,572', '  ']","['1,868,733', '  ']","['1,563,651', '  ']","['145,282', '  ']","['720,119', '  ']"
8047,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['15,197,222', '  ']","['0', '  ']","['15,035,347', '  ']","['123', '  ']","['40,427', '  ']","['0', '  ']","['95,375', '  ']","['20,296', '  ']","['0', '  ']","['5,654', '  ']"
8047,r003,All organizations  -> Science and technology ,All organizations ,Science and technology ,2,"['10,400,065', '  ']","['336,846', '  ']","['5,457,102', '  ']","['813,058', '  ']","['399,213', '  ']","['447,756', '  ']","['1,132,320', '  ']","['1,450,706', '  ']","['10,142', '  ']","['352,921', '  ']"
8047,r004,All organizations  -> Other nonprofit organizations ,All organizations ,Other nonprofit organizations ,2,"['2,375,889', '  ']","['335,875', '  ']","['498,759', '  ']","['176,418', '  ']","['76,653', '  ']","['57,816', '  ']","['641,037', '  ']","['92,649', '  ']","['135,140', '  ']","['361,543', '  ']"
