table_id,row_id,occupation_and_employment_status_full_path,occupation_and_employment_status_level_1,occupation_and_employment_status_level_2,occupation_and_employment_status_level_3,occupation_and_employment_status_level_4,occupation_and_employment_status_hierarchy_depth,field_total_number,field_total_se,field_hispanic_or_latinoa_number,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_number,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_number,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_number,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_number,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_number,field_not_hispanic_or_latinob_other_racec_se
8213,r001,All occupations,All occupations,,,,1,1021950,1950,44700,475,1700,125,241200,1400,36150,400,680150,1575,18100,625
8213,r002,All occupations -> Full time,All occupations,Full time,,,2,779600,2425,36200,450,1250,125,208250,1600,28250,475,491300,2050,14350,550
8213,r003,All occupations -> Part time,All occupations,Part time,,,2,92500,1375,3900,275,150,50,11550,700,3550,275,71700,1300,1650,225
8213,r004,All occupations -> Unemployed<sup>d</sup>,All occupations,Unemployed<sup>d</sup>,,,2,16600,750,1000,125,,,3900,425,1250,200,10150,625,300,75
8213,r005,All occupations -> Retired,All occupations,Retired,,,2,114750,1525,2800,225,200,100,12950,650,2500,225,94950,1375,1350,200
8213,r006,All occupations -> Not employed or not seeking work<sup>e</sup>,All occupations,Not employed or not seeking work<sup>e</sup>,,,2,18500,700,800,100,50,50,4500,425,600,125,12100,600,400,100
8213,r007,All occupations -> Science occupations,All occupations,Science occupations,,,2,585800,2750,26900,500,800,100,129500,1475,18750,475,399450,2500,10400,525
8213,r008,All occupations -> Science occupations -> Full time,All occupations,Science occupations,Full time,,3,447950,2700,21650,475,650,100,113000,1475,14650,450,289500,2225,8500,475
8213,r009,All occupations -> Science occupations -> Part time,All occupations,Science occupations,Part time,,3,54300,1025,2600,225,0.05,0.05,5200,500,2000,200,43650,950,750,125
8213,r010,All occupations -> Science occupations -> Unemployed<sup>d</sup>,All occupations,Science occupations,Unemployed<sup>d</sup>,,3,8150,550,650,125,,,2100,325,550,125,4650,400,150,75
