table_id,row_id,academic_position_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,academic_position_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,academic_position_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,academic_position_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_sex_female,field_sex_male,field_race_and_ethnicity_white,field_race_and_ethnicity_asian,field_race_and_ethnicity_black_or_african_american,field_race_and_ethnicity_hispanic_or_latinoa,field_race_and_ethnicity_american_indian_or_alaska_native,field_race_and_ethnicity_native_hawaiian_or_other_pacific_islander,field_race_and_ethnicity_more_than_one_raceb,field_disability_status_without_disability,field_disability_status_with_disability
1204,r001,All academic positions,All academic positions,,1,319400,120650,198750,225800,60150,12600,15450,600,350,4450,289300,30100
1204,r002,"All academic positions -> President, provost, chancellor",All academic positions,"President, provost, chancellor",2,3850,1350,2500,3100,250,250,250,,,50,3450,400
1204,r003,"All academic positions -> Dean, department head, chair",All academic positions,"Dean, department head, chair",2,33350,11750,21650,26250,3250,1950,1400,100,S,400,30150,3200
1204,r004,All academic positions -> Research faculty,All academic positions,Research faculty,2,158650,56700,101950,109700,33700,5100,7700,300,200,1950,144450,14200
1204,r005,All academic positions -> Teaching faculty,All academic positions,Teaching faculty,2,192900,69800,123100,143300,29000,7950,9550,450,150,2500,173300,19600
1204,r006,All academic positions -> Adjunct faculty,All academic positions,Adjunct faculty,2,19800,8150,11650,14950,2600,900,950,,,350,17900,1900
1204,r007,All academic positions -> Postdoc,All academic positions,Postdoc,2,19500,7900,11550,9800,7500,550,1150,,,450,18200,1300
1204,r008,All academic positions -> Research assistant,All academic positions,Research assistant,2,2100,700,1400,900,900,100,200,,,,1950,150
1204,r009,All academic positions -> Teaching assistant,All academic positions,Teaching assistant,2,550,200,400,250,200,0.05,50,,,,450,100
1204,r010,All academic positions -> Other,All academic positions,Other,2,24000,12100,11900,17900,3200,1000,1300,50,,500,22050,1950
