table_id,row_id,nice_class_full_path,nice_class_level_1,nice_class_level_2,nice_class_hierarchy_depth,field_1998,field_1999,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10584,r001,All classes,All classes,,1,76785,76283,95690,92553,124247,106931,92434,99572,124840,139091,158303,143193,133561,146870,153101,157425,166183,170643,177280,184363,186733,211508,184446,178273,172015
10584,r002,All classes -> 1,All classes,1,2,1193,1146,1285,1267,1714,1541,1297,1338,1503,1602,1748,1556,1525,1742,1669,1711,1782,1917,1728,1775,1816,1839,1700,1564,1630
10584,r003,All classes -> 2,All classes,2,2,337,350,400,428,524,489,398,522,594,571,549,514,453,522,482,480,490,586,521,504,470,550,464,444,424
10584,r004,All classes -> 3,All classes,3,2,2184,2213,2453,2454,3128,3039,2694,2910,3976,4109,4552,4294,3675,4352,4277,4578,4808,5080,5259,5562,6247,7324,6872,7220,6631
10584,r005,All classes -> 4,All classes,4,2,311,366,383,375,506,456,329,468,465,528,487,514,501,605,572,538,562,566,618,662,653,728,765,947,1022
10584,r006,All classes -> 5,All classes,5,2,2550,2875,2873,3147,3606,3430,3087,3156,4002,4260,4804,4221,4195,4427,4689,4603,5014,4937,5083,5288,6018,6969,6385,6386,5483
10584,r007,All classes -> 6,All classes,6,2,814,877,1024,913,1245,1046,967,938,1114,1314,1376,1164,1183,1211,1174,1084,1229,1214,1207,1262,1248,1441,1237,1130,1052
10584,r008,All classes -> 7,All classes,7,2,1426,1464,1902,1751,2241,1765,1536,1609,1810,2044,2244,2109,1753,1840,1757,1854,1929,1840,1992,2080,2056,2282,1894,1766,1637
10584,r009,All classes -> 8,All classes,8,2,478,463,517,551,630,600,498,630,708,808,780,699,599,719,732,699,829,799,920,1058,1119,1231,1034,1082,966
10584,r010,All classes -> 9,All classes,9,2,10793,10498,12566,11857,15841,13786,11130,11565,13301,13951,15597,13526,12680,13913,14617,14847,15833,15939,16076,15895,15334,16496,13876,13081,11863
10584,r011,All classes -> 10,All classes,10,2,1352,1281,1327,1646,2057,1911,1646,1775,1969,2162,2403,2233,2159,2334,2468,2393,2515,2449,2443,2697,2849,3236,3025,3358,2718
10584,r012,All classes -> 11,All classes,11,2,1126,1193,1487,1448,2014,1778,1495,1621,1979,2238,2368,2171,1976,2067,2155,2095,2245,2450,2553,2742,2865,3255,2579,2690,2375
10584,r013,All classes -> 12,All classes,12,2,934,1061,1194,1232,1570,1293,1237,1328,1635,1701,1782,1554,1426,1556,1420,1517,1585,1623,1858,1897,1973,1998,1789,1651,1577
10584,r014,All classes -> 13,All classes,13,2,165,147,163,210,224,183,192,229,336,337,407,385,417,398,426,427,513,579,644,623,765,674,597,494,444
10584,r015,All classes -> 14,All classes,14,2,712,637,930,822,1072,979,918,1073,1397,1571,1720,1586,1547,1791,1908,1966,2081,2014,2079,2091,2037,2361,1918,1739,1690
10584,r016,All classes -> 15,All classes,15,2,125,140,215,182,261,212,162,206,271,303,292,257,286,308,269,319,366,315,293,319,284,310,271,235,251
10584,r017,All classes -> 16,All classes,16,2,5990,5653,6424,5668,6956,6083,5225,5628,6676,6975,7642,6306,5232,5629,5260,5121,4803,4672,4738,4678,4772,5558,4637,4449,4114
10584,r018,All classes -> 17,All classes,17,2,450,396,579,487,668,668,538,530,592,648,741,678,630,657,603,611,632,633,650,685,689,764,546,603,467
10584,r019,All classes -> 18,All classes,18,2,538,497,628,558,823,749,706,830,1057,1173,1485,1378,1265,1353,1432,1456,1415,1588,1597,1763,1950,2226,1821,1704,1522
10584,r020,All classes -> 19,All classes,19,2,649,672,829,857,1172,1026,926,994,1297,1385,1539,1294,1122,1102,1109,1081,1026,1078,1130,1140,1126,1309,1097,1031,905
10584,r021,All classes -> 20,All classes,20,2,1208,1366,1643,1393,1842,1764,1585,1634,1795,1993,2293,1855,1752,1970,1999,2068,1991,2130,2125,2480,2831,3256,2717,2650,2337
10584,r022,All classes -> 21,All classes,21,2,931,992,1262,1028,1454,1342,1220,1393,1436,1587,1772,1699,1591,1882,1849,2100,2159,2413,2620,3045,3455,3900,3357,3555,3497
10584,r023,All classes -> 22,All classes,22,2,111,118,147,159,175,205,177,209,220,236,250,227,216,229,262,248,239,263,301,376,382,383,399,377,337
10584,r024,All classes -> 23,All classes,23,2,37,47,33,29,32,37,45,36,112,66,55,53,45,54,64,76,75,75,79,85,84,98,45,52,46
10584,r025,All classes -> 24,All classes,24,2,424,372,519,425,636,613,554,593,668,731,921,771,725,767,784,836,918,932,952,1118,1381,1441,1267,1232,1195
