table_id,row_id,_b_debt_level_b_full_path,_b_debt_level_b_level_1,_b_debt_level_b_level_2,_b_debt_level_b_hierarchy_depth,field_all_fields,field_science_and_engineering_total,field_science_and_engineering_agricultural_sciences_and_natural_resources,field_science_and_engineering_biological_and_biomedical_sciences,field_science_and_engineering_computer_and_information_sciences,field_science_and_engineering_engineering,field_science_and_engineering_geosciences_atmospheric_and_ocean_sciences,field_science_and_engineering_health_sciences,field_science_and_engineering_mathematics_and_statistics,field_science_and_engineering_multidisciplinary_interdisciplinary_sciences,field_science_and_engineering_physical_sciences,field_science_and_engineering_psychology,field_science_and_engineering_social_sciences,field_non_science_and_engineering_total,field_non_science_and_engineering_business,field_non_science_and_engineering_education,field_non_science_and_engineering_humanities,field_non_science_and_engineering_visual_and_performing_arts,field_non_science_and_engineering_other_non_science_and_engineering
11685,r001,Cumulative debt,Cumulative debt,,1,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
11685,r002,Cumulative debt -> All reporting education-related debt (number),Cumulative debt,All reporting education-related debt (number),2,"['52,034', '']","['41,631', '']","['1,133', '']","['9,022', '']","['2,030', '']","['9,657', '']","['1,118', '']","['2,408', '']","['1,879', '']","['1,554', '']","['4,981', '']","['3,251', '']","['4,598', '']","['10,403', '']","['1,305', '']","['3,504', '']","['2,939', '']","['724', '']","['1,931', '']"
11685,r003,Cumulative debt -> Median debt (dollars),Cumulative debt,Median debt (dollars),2,"['35,000', '']","['35,000', '']","['35,000', '']","['30,000', '']","['25,000', '']","['25,000', '']","['25,000', '']","['70,000', '']","['25,000', '']","['30,000', '']","['25,000', '']","['70,000', '']","['45,000', '']","['60,000', '']","['45,000', '']","['75,000', '']","['45,000', '']","['45,000', '']","['65,000', '']"
11685,r004,Cumulative debt -> ,Cumulative debt,,2,"['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']","['Number', 'Percent']"
11685,r005,Cumulative debt -> No debt,Cumulative debt,No debt,2,"['32,224', '61.9']","['26,777', '64.3']","['697', '61.5']","['5,527', '61.3']","['1,621', '79.9']","['7,148', '74.0']","['726', '64.9']","['1,150', '47.8']","['1,464', '77.9']","['1,117', '71.9']","['3,331', '66.9']","['1,296', '39.9']","['2,700', '58.7']","['5,447', '52.4']","['930', '71.3']","['1,598', '45.6']","['1,568', '53.4']","['381', '52.6']","['970', '50.2']"
11685,r006,"Cumulative debt -> $10,000 or less",Cumulative debt,"$10,000 or less",2,"['3,664', '7.0']","['2,983', '7.2']","['D', 'D']","['649', '7.2']","['134', '6.6']","['719', '7.4']","['81', '7.2']","['159', '6.6']","['D', 'D']","['103', '6.6']","['368', '7.4']","['209', '6.4']","['345', '7.5']","['681', '6.5']","['64', '4.9']","['215', '6.1']","['207', '7.0']","['58', '8.0']","['137', '7.1']"
11685,r007,"Cumulative debt -> $10,001&#8211;$20,000",Cumulative debt,"$10,001&#8211;$20,000",2,"['2,726', '5.2']","['2,245', '5.4']","['61', '5.4']","['613', '6.8']","['65', '3.2']","['431', '4.5']","['70', '6.3']","['99', '4.1']","['88', '4.7']","['77', '5.0']","['314', '6.3']","['189', '5.8']","['238', '5.2']","['481', '4.6']","['52', '4.0']","['152', '4.3']","['163', '5.5']","['38', '5.2']","['76', '3.9']"
11685,r008,"Cumulative debt -> $20,001&#8211;$30,000",Cumulative debt,"$20,001&#8211;$30,000",2,"['2,389', '4.6']","['1,932', '4.6']","['47', '4.1']","['557', '6.2']","['50', '2.5']","['342', '3.5']","['68', '6.1']","['106', '4.4']","['66', '3.5']","['45', '2.9']","['274', '5.5']","['167', '5.1']","['210', '4.6']","['457', '4.4']","['33', '2.5']","['149', '4.3']","['142', '4.8']","['44', '6.1']","['89', '4.6']"
11685,r009,"Cumulative debt -> $30,001&#8211;$40,000",Cumulative debt,"$30,001&#8211;$40,000",2,"['1,689', '3.2']","['1,329', '3.2']","['53', '4.7']","['362', '4.0']","['23', '1.1']","['229', '2.4']","['42', '3.8']","['96', '4.0']","['35', '1.9']","['37', '2.4']","['178', '3.6']","['128', '3.9']","['146', '3.2']","['360', '3.5']","['32', '2.5']","['100', '2.9']","['129', '4.4']","['31', '4.3']","['68', '3.5']"
11685,r010,"Cumulative debt -> $40,001&#8211;$50,000",Cumulative debt,"$40,001&#8211;$50,000",2,"['1,198', '2.3']","['891', '2.1']","['22', '1.9']","['199', '2.2']","['17', '0.8']","['170', '1.8']","['23', '2.1']","['66', '2.7']","['23', '1.2']","['32', '2.1']","['102', '2.0']","['124', '3.8']","['113', '2.5']","['307', '3.0']","['23', '1.8']","['121', '3.5']","['91', '3.1']","['20', '2.8']","['52', '2.7']"
11685,r011,"Cumulative debt -> $50,001&#8211;$60,000",Cumulative debt,"$50,001&#8211;$60,000",2,"['957', '1.8']","['698', '1.7']","['23', '2.0']","['186', '2.1']","['22', '1.1']","['103', '1.1']","['17', '1.5']","['65', '2.7']","['15', '0.8']","['20', '1.3']","['75', '1.5']","['87', '2.7']","['85', '1.8']","['259', '2.5']","['16', '1.2']","['96', '2.7']","['77', '2.6']","['22', '3.0']","['48', '2.5']"
11685,r012,"Cumulative debt -> $60,001&#8211;$70,000",Cumulative debt,"$60,001&#8211;$70,000",2,"['841', '1.6']","['600', '1.4']","['15', '1.3']","['138', '1.5']","['11', '0.5']","['81', '0.8']","['18', '1.6']","['65', '2.7']","['16', '0.9']","['10', '0.6']","['71', '1.4']","['84', '2.6']","['91', '2.0']","['241', '2.3']","['13', '1.0']","['103', '2.9']","['72', '2.4']","['7', '1.0']","['46', '2.4']"
11685,r013,"Cumulative debt -> $70,001&#8211;$80,000",Cumulative debt,"$70,001&#8211;$80,000",2,"['744', '1.4']","['539', '1.3']","['14', '1.2']","['124', '1.4']","['8', '0.4']","['60', '0.6']","['10', '0.9']","['64', '2.7']","['14', '0.7']","['18', '1.2']","['64', '1.3']","['71', '2.2']","['92', '2.0']","['205', '2.0']","['10', '0.8']","['91', '2.6']","['51', '1.7']","['9', '1.2']","['44', '2.3']"
