table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_federal_r_d_expenditures,field_dod,field_doe,field_hhs,field_nasa,field_nsf,field_usda,field_othera
3129,r001,All R&D fields,All R&D fields,,,,1,44455265,6654613,1939175,24413353,1644687,5330711,1221317,3251409
3129,r002,All R&D fields -> Science,All R&D fields,Science,,,2,35551659,3321223,1143199,23250486,1173618,3688934,1094579,1879620
3129,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,1794548,854034,50085,119910,22845,629898,6362,111414
3129,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2067292,224716,94187,62036,406239,690435,39695,549984
3129,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,460463,53869,21472,3834,133889,85358,2293,159748
3129,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,676742,43864,57519,7596,209087,240882,24965,92829
3129,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,698401,111126,6814,9469,41994,319681,3063,206254
3129,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,231686,15857,8382,41137,21269,44514,9374,91153
3129,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,25443994,1321881,225861,21373795,95417,757452,986905,682683
3129,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,989573,15827,37778,61630,7517,80383,667128,119310
3129,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,9260282,386876,129021,7829721,34424,524944,154680,200616
3129,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,14185253,824641,13225,12949992,44086,66651,53857,232801
3129,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,367864,67248,32297,16871,8672,52161,92836,97779
3129,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,641022,27289,13540,515581,718,33313,18404,32177
