table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_sales_r_d_performers_or_fundersa_worldwide,field_sales_r_d_performers_or_fundersa_domestic,field_sales_r_d_performers_or_fundersa_foreign,field_sales_domestic_r_d_performersb_worldwide,field_sales_domestic_r_d_performersb_domestic,field_sales_domestic_r_d_performersb_foreign
9647,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['17,410,590', '  ']","['13,097,756', '  ']","['4,312,834', '  ']","['17,076,511', '  ']","['12,781,213', '  ']","['4,295,299', '  ']"
9647,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['9,474,183', '  ']","['6,550,600', '  ']","['2,923,583', '  ']","['9,431,968', '  ']","['6,518,061', '  ']","['2,913,906', '  ']"
9647,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['959,114', '  ']","['699,100', '  ']","['260,015', '  ']","['955,137', '  ']","['695,249', '  ']","['259,888', '  ']"
9647,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['312,090', '  ']","['184,855', '  ']","['127,235', '  ']","['311,910', '  ']","['184,675', '  ']","['127,235', '  ']"
9647,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['101,340', '  ']","['72,498', '  ']","['28,842', '  ']","['101,102', '  ']","['72,260', '  ']","['28,842', '  ']"
9647,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['72,241', '  ']","['69,069', '  ']","['3,172', '  ']","['72,241', '  ']","['69,069', '  ']","['3,172', '  ']"
9647,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['117,593', '  ']","['94,660', '  ']","['22,933', '  ']","['117,492', '  ']","['94,559', '  ']","['22,933', '  ']"
9647,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['37,320', '  ']","['32,908', '  ']","['4,411', '  ']","['36,710', '  ']","['32,299', '  ']","['4,411', '  ']"
9647,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['540,836', '  ']","['300,799', '  ']","['240,037', '  ']","['540,836', '  ']","['300,799', '  ']","['240,037', '  ']"
9647,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,857,937', '  ']","['1,309,684', '  ']","['548,253', '  ']","['1,853,741', '  ']","['1,305,639', '  ']","['548,101', '  ']"
