table_id,row_id,state_and_department_or_agency_full_path,state_and_department_or_agency_level_1,state_and_department_or_agency_level_2,state_and_department_or_agency_level_3,state_and_department_or_agency_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
2467,r103,United States<sup>a</sup> -> Minnesota -> Forest Resources Council,United States<sup>a</sup>,Minnesota,Forest Resources Council,3,30000,0,30000,0,0,0,0
2467,r104,"United States<sup>a</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>a</sup>,Minnesota,"Natural Resources, Department of",3,1462164,1462164,0,0,0,0,0
2467,r105,"United States<sup>a</sup> -> Minnesota -> Transportation, Department of",United States<sup>a</sup>,Minnesota,"Transportation, Department of",3,15500,0,15500,0,0,0,0
2467,r106,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,,2,1755759,1238192,456634,57865,3068,0,0
2467,r107,"United States<sup>a</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>a</sup>,Mississippi,"Environmental Quality, Department of",3,83910,83910,0,0,0,0,0
2467,r108,"United States<sup>a</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>a</sup>,Mississippi,"Marine Resources, Department of",3,224205,131161,32111,57865,3068,0,0
2467,r109,"United States<sup>a</sup> -> Mississippi -> Transportation, Department of",United States<sup>a</sup>,Mississippi,"Transportation, Department of",3,462995,370396,92599,0,0,0,0
2467,r110,"United States<sup>a</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>a</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,984649,652725,331924,0,0,0,0
2467,r111,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,,2,8242424,2234924,6007500,0,0,0,0
2467,r112,"United States<sup>a</sup> -> Missouri -> Conservation, Department of",United States<sup>a</sup>,Missouri,"Conservation, Department of",3,8200487,2222593,5977894,0,0,0,0
2467,r113,United States<sup>a</sup> -> Missouri -> Health and Senior Services,United States<sup>a</sup>,Missouri,Health and Senior Services,3,28760,12331,16429,0,0,0,0
2467,r114,"United States<sup>a</sup> -> Missouri -> Natural Resources, Department of",United States<sup>a</sup>,Missouri,"Natural Resources, Department of",3,13177,0,13177,0,0,0,0
2467,r115,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,,2,2993604,2030976,731646,0,215982,0,15000
2467,r116,"United States<sup>a</sup> -> Montana -> Environmental Quality, Department of",United States<sup>a</sup>,Montana,"Environmental Quality, Department of",3,98756,63620,35136,0,0,0,0
2467,r117,"United States<sup>a</sup> -> Montana -> Fish, Wildlife and Parks",United States<sup>a</sup>,Montana,"Fish, Wildlife and Parks",3,2740906,1891898,633026,0,215982,0,0
2467,r118,"United States<sup>a</sup> -> Montana -> Natural Resources and Conservation, Department of",United States<sup>a</sup>,Montana,"Natural Resources and Conservation, Department of",3,59620,0,44620,0,0,0,15000
2467,r119,"United States<sup>a</sup> -> Montana -> Transportation, Department of",United States<sup>a</sup>,Montana,"Transportation, Department of",3,94322,75458,18864,0,0,0,0
2467,r120,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,,2,770104,559157,210947,0,0,0,0
2467,r121,"United States<sup>a</sup> -> Nebraska -> Agriculture, Department of",United States<sup>a</sup>,Nebraska,"Agriculture, Department of",3,752988,559157,193831,0,0,0,0
2467,r122,United States<sup>a</sup> -> Nebraska -> Game and Parks Commission,United States<sup>a</sup>,Nebraska,Game and Parks Commission,3,5000,0,5000,0,0,0,0
2467,r123,"United States<sup>a</sup> -> Nebraska -> Natural Resources, Department of",United States<sup>a</sup>,Nebraska,"Natural Resources, Department of",3,12116,0,12116,0,0,0,0
2467,r124,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,,2,184774,124774,60000,0,0,0,0
2467,r125,"United States<sup>a</sup> -> Nevada -> Agriculture, Department of",United States<sup>a</sup>,Nevada,"Agriculture, Department of",3,184774,124774,60000,0,0,0,0
2467,r126,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,,2,131672,105338,26334,0,0,0,0
2467,r127,"United States<sup>a</sup> -> New Hampshire -> Transportation, Department of",United States<sup>a</sup>,New Hampshire,"Transportation, Department of",3,131672,105338,26334,0,0,0,0
2467,r128,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,,2,2796233,529728,2056979,0,0,91245,118281
2467,r129,"United States<sup>a</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>a</sup>,New Jersey,"Community Affairs, Department of ",3,75000,0,75000,0,0,0,0
2467,r130,"United States<sup>a</sup> -> New Jersey -> Corrections, Department of",United States<sup>a</sup>,New Jersey,"Corrections, Department of",3,301979,0,301979,0,0,0,0
2467,r131,"United States<sup>a</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>a</sup>,New Jersey,"Environmental Protection, Department of",3,1772000,92000,1680000,0,0,0,0
2467,r132,United States<sup>a</sup> -> New Jersey -> Pinelands Commission,United States<sup>a</sup>,New Jersey,Pinelands Commission,3,647254,437728,0,0,0,91245,118281
2467,r133,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,,2,900212,556570,326642,0,17000,0,0
2467,r134,"United States<sup>a</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>a</sup>,New Mexico,"Cultural Affairs, Department of",3,17000,0,0,0,17000,0,0
2467,r135,"United States<sup>a</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>a</sup>,New Mexico,"Game and Fish, Department of",3,500000,250000,250000,0,0,0,0
2467,r136,"United States<sup>a</sup> -> New Mexico -> Transportation, Department of",United States<sup>a</sup>,New Mexico,"Transportation, Department of",3,383212,306570,76642,0,0,0,0
2467,r137,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,,2,276773893,133841304,103928744,12173840,7767253,15711133,3351619
2467,r138,"United States<sup>a</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>a</sup>,New York,"Agriculture and Markets, Department of ",3,1965000,1965000,0,0,0,0,0
2467,r139,United States<sup>a</sup> -> New York -> Energy Research and Development Authority,United States<sup>a</sup>,New York,Energy Research and Development Authority,3,7889945,0,7889945,0,0,0,0
2467,r140,"United States<sup>a</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>a</sup>,New York,"Environmental Conservation, Department of ",3,4306743,1261283,3045460,0,0,0,0
2467,r141,"United States<sup>a</sup> -> New York -> Health, Department of ",United States<sup>a</sup>,New York,"Health, Department of ",3,34197760,18238659,13515677,468089,1642367,112308,220660
2467,r142,"United States<sup>a</sup> -> New York -> Mental Health, Office of ",United States<sup>a</sup>,New York,"Mental Health, Office of ",3,139961648,68253220,58701507,0,4335039,5828733,2843149
2467,r143,"United States<sup>a</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>a</sup>,New York,"People with Developmental Disabilities, Office of",3,1849940,1087592,400953,0,361395,0,0
2467,r144,United States<sup>a</sup> -> New York -> Power Authority,United States<sup>a</sup>,New York,Power Authority,3,3913638,0,3563035,285000,65603,0,0
2467,r145,United States<sup>a</sup> -> New York -> Roswell Park Cancer Institute,United States<sup>a</sup>,New York,Roswell Park Cancer Institute,3,71920211,41531303,7547406,11420751,1362849,9770092,287810
2467,r146,United States<sup>a</sup> -> New York -> State Museum,United States<sup>a</sup>,New York,State Museum,3,9124024,188260,8935764,0,0,0,0
2467,r147,"United States<sup>a</sup> -> New York -> Transportation, Department of ",United States<sup>a</sup>,New York,"Transportation, Department of ",3,1644984,1315987,328997,0,0,0,0
2467,r148,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,,2,18400435,1305723,17094712,0,0,0,0
2467,r149,"United States<sup>a</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>a</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,13922911,0,13922911,0,0,0,0
2467,r150,"United States<sup>a</sup> -> North Carolina -> Environmental Quality, Department of",United States<sup>a</sup>,North Carolina,"Environmental Quality, Department of",3,1158611,801212,357399,0,0,0,0
2467,r151,"United States<sup>a</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>a</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,2605710,41949,2563761,0,0,0,0
2467,r152,"United States<sup>a</sup> -> North Carolina -> Transportation, Department of",United States<sup>a</sup>,North Carolina,"Transportation, Department of",3,713203,462562,250641,0,0,0,0
2467,r153,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,,2,421989,62006,359983,0,0,0,0
2467,r154,United States<sup>a</sup> -> North Dakota -> Industrial Commission,United States<sup>a</sup>,North Dakota,Industrial Commission,3,344482,0,344482,0,0,0,0
2467,r155,"United States<sup>a</sup> -> North Dakota -> Transportation, Department of",United States<sup>a</sup>,North Dakota,"Transportation, Department of",3,77507,62006,15501,0,0,0,0
2467,r156,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,,2,18343328,340452,18002876,0,0,0,0
2467,r157,United States<sup>a</sup> -> Ohio -> Development Services Agency,United States<sup>a</sup>,Ohio,Development Services Agency,3,17610002,0,17610002,0,0,0,0
2467,r158,"United States<sup>a</sup> -> Ohio -> Natural Resources, Department of",United States<sup>a</sup>,Ohio,"Natural Resources, Department of",3,733326,340452,392874,0,0,0,0
2467,r159,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,,2,1685458,1232184,439274,14000,0,0,0
2467,r160,"United States<sup>a</sup> -> Oklahoma -> Health, Department of",United States<sup>a</sup>,Oklahoma,"Health, Department of",3,608140,594140,0,14000,0,0,0
2467,r161,"United States<sup>a</sup> -> Oklahoma -> Human Services, Department of",United States<sup>a</sup>,Oklahoma,"Human Services, Department of",3,134244,100683,33561,0,0,0,0
2467,r162,"United States<sup>a</sup> -> Oklahoma -> Transportation, Department of",United States<sup>a</sup>,Oklahoma,"Transportation, Department of",3,943074,537361,405713,0,0,0,0
2467,r163,United States<sup>a</sup> -> Oregon,United States<sup>a</sup>,Oregon,,2,24761784,15053295,9426605,281884,0,0,0
2467,r164,"United States<sup>a</sup> -> Oregon -> Education, Department of",United States<sup>a</sup>,Oregon,"Education, Department of",3,657595,154853,502742,0,0,0,0
2467,r165,"United States<sup>a</sup> -> Oregon -> Environmental Quality, Department of",United States<sup>a</sup>,Oregon,"Environmental Quality, Department of",3,41000,41000,0,0,0,0,0
2467,r166,"United States<sup>a</sup> -> Oregon -> Fish and Wildlife, Department of",United States<sup>a</sup>,Oregon,"Fish and Wildlife, Department of",3,12974798,9519129,3455669,0,0,0,0
2467,r167,"United States<sup>a</sup> -> Oregon -> Forestry, Department of",United States<sup>a</sup>,Oregon,"Forestry, Department of",3,383592,25309,358283,0,0,0,0
