table_id,row_id,state_and_department_or_agency_full_path,state_and_department_or_agency_level_1,state_and_department_or_agency_level_2,state_and_department_or_agency_level_3,state_and_department_or_agency_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
2467,r001,United States<sup>a</sup>,United States<sup>a</sup>,,,1,676171326,283610819,339735283,18352623,8559607,22107674,3805320
2467,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,,2,7412961,2697147,2359216,2328636,27962,0,0
2467,r003,"United States<sup>a</sup> -> Alabama -> Education, Department of",United States<sup>a</sup>,Alabama,"Education, Department of",3,480000,0,480000,0,0,0,0
2467,r004,"United States<sup>a</sup> -> Alabama -> Forensic Sciences, Department of",United States<sup>a</sup>,Alabama,"Forensic Sciences, Department of",3,238454,0,238454,0,0,0,0
2467,r005,United States<sup>a</sup> -> Alabama -> Geological Survey,United States<sup>a</sup>,Alabama,Geological Survey,3,2321007,585647,1528762,178636,27962,0,0
2467,r006,"United States<sup>a</sup> -> Alabama -> Marine Environmental Science Consortium, Dauphin Island Sea Lab",United States<sup>a</sup>,Alabama,"Marine Environmental Science Consortium, Dauphin Island Sea Lab",3,4373500,2111500,112000,2150000,0,0,0
2467,r007,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,,2,8920501,2475004,5703797,741700,0,0,0
2467,r008,"United States<sup>a</sup> -> Alaska -> Environmental Conservation, Department of ",United States<sup>a</sup>,Alaska,"Environmental Conservation, Department of ",3,114393,28598,85795,0,0,0,0
2467,r009,"United States<sup>a</sup> -> Alaska -> Natural Resources, Division of Geological and Geophysical Surveys, Department of",United States<sup>a</sup>,Alaska,"Natural Resources, Division of Geological and Geophysical Surveys, Department of",3,8392100,2115200,5535200,741700,0,0,0
2467,r010,United States<sup>a</sup> -> Alaska -> Railroad Corporation,United States<sup>a</sup>,Alaska,Railroad Corporation,3,320258,256206,64052,0,0,0,0
2467,r011,"United States<sup>a</sup> -> Alaska -> Transportation and Public Facilities, Department of",United States<sup>a</sup>,Alaska,"Transportation and Public Facilities, Department of",3,93750,75000,18750,0,0,0,0
2467,r012,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,,2,761096,760636,460,0,0,0,0
2467,r013,United States<sup>a</sup> -> Arizona -> Game and Fish Department,United States<sup>a</sup>,Arizona,Game and Fish Department,3,761096,760636,460,0,0,0,0
2467,r014,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,,2,66099,51999,14100,0,0,0,0
2467,r015,United States<sup>a</sup> -> Arkansas -> Game and Fish Commission,United States<sup>a</sup>,Arkansas,Game and Fish Commission,3,1100,0,1100,0,0,0,0
2467,r016,"United States<sup>a</sup> -> Arkansas -> Transportation, Department of",United States<sup>a</sup>,Arkansas,"Transportation, Department of",3,64999,51999,13000,0,0,0,0
2467,r017,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,,2,73081146,6019861,67042255,0,0,0,19030
2467,r018,United States<sup>a</sup> -> California -> Air Resources Board,United States<sup>a</sup>,California,Air Resources Board,3,10753671,0,10753671,0,0,0,0
2467,r019,United States<sup>a</sup> -> California -> Energy Commission,United States<sup>a</sup>,California,Energy Commission,3,17472000,0,17472000,0,0,0,0
2467,r020,"United States<sup>a</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>a</sup>,California,"Environmental Health Hazard Assessment, Office of",3,15375492,0,15375492,0,0,0,0
2467,r021,"United States<sup>a</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>a</sup>,California,"Forestry and Fire Protection, Department of",3,512919,0,512919,0,0,0,0
2467,r022,"United States<sup>a</sup> -> California -> Motor Vehicles, Department of",United States<sup>a</sup>,California,"Motor Vehicles, Department of",3,1331851,158341,1154480,0,0,0,19030
2467,r023,"United States<sup>a</sup> -> California -> Parks and Recreation, Department of",United States<sup>a</sup>,California,"Parks and Recreation, Department of",3,140000,0,140000,0,0,0,0
2467,r024,"United States<sup>a</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>a</sup>,California,"Pesticide Regulation, Department of ",3,8968747,0,8968747,0,0,0,0
2467,r025,"United States<sup>a</sup> -> California -> Public Health, Department of",United States<sup>a</sup>,California,"Public Health, Department of",3,1676000,231000,1445000,0,0,0,0
2467,r026,"United States<sup>a</sup> -> California -> Rehabilitation, Department of ",United States<sup>a</sup>,California,"Rehabilitation, Department of ",3,1993764,1993764,0,0,0,0,0
2467,r027,"United States<sup>a</sup> -> California -> Social Services, Department of ",United States<sup>a</sup>,California,"Social Services, Department of ",3,151151,106879,44272,0,0,0,0
2467,r028,United States<sup>a</sup> -> California -> State Water Resources Control Board,United States<sup>a</sup>,California,State Water Resources Control Board,3,2496841,171205,2325636,0,0,0,0
2467,r029,"United States<sup>a</sup> -> California -> Transportation, Department of",United States<sup>a</sup>,California,"Transportation, Department of",3,11341072,3337672,8003400,0,0,0,0
2467,r030,"United States<sup>a</sup> -> California -> Water Resources, Department of",United States<sup>a</sup>,California,"Water Resources, Department of",3,867638,21000,846638,0,0,0,0
2467,r031,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,,2,11900858,4674314,7052168,0,99315,75061,0
2467,r032,"United States<sup>a</sup> -> Colorado -> Agriculture, Department of",United States<sup>a</sup>,Colorado,"Agriculture, Department of",3,1092868,1087615,5253,0,0,0,0
2467,r033,"United States<sup>a</sup> -> Colorado -> Higher Education, Department of ",United States<sup>a</sup>,Colorado,"Higher Education, Department of ",3,45000,45000,0,0,0,0,0
2467,r034,"United States<sup>a</sup> -> Colorado -> Natural Resources, Department of",United States<sup>a</sup>,Colorado,"Natural Resources, Department of",3,7562568,3383119,4005073,0,99315,75061,0
2467,r035,"United States<sup>a</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>a</sup>,Colorado,"Public Health and Environment, Department of",3,2028422,5580,2022842,0,0,0,0
2467,r036,"United States<sup>a</sup> -> Colorado -> Public Safety, Department of",United States<sup>a</sup>,Colorado,"Public Safety, Department of",3,1077000,77000,1000000,0,0,0,0
2467,r037,"United States<sup>a</sup> -> Colorado -> Transportation, Department of",United States<sup>a</sup>,Colorado,"Transportation, Department of",3,95000,76000,19000,0,0,0,0
2467,r038,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,,2,24679641,10689947,13989694,0,0,0,0
2467,r039,United States<sup>a</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>a</sup>,Connecticut,Agricultural Experiment Station,3,12445226,5337429,7107797,0,0,0,0
2467,r040,"United States<sup>a</sup> -> Connecticut -> Education, Department of",United States<sup>a</sup>,Connecticut,"Education, Department of",3,25000,25000,0,0,0,0,0
2467,r041,"United States<sup>a</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>a</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,6002512,4485773,1516739,0,0,0,0
2467,r042,"United States<sup>a</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>a</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,5951993,671805,5280188,0,0,0,0
2467,r043,"United States<sup>a</sup> -> Connecticut -> Transportation, Department of",United States<sup>a</sup>,Connecticut,"Transportation, Department of",3,254910,169940,84970,0,0,0,0
2467,r044,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,,2,2558634,575433,1958945,0,24256,0,0
2467,r045,United States<sup>a</sup> -> Delaware -> Geological Survey,United States<sup>a</sup>,Delaware,Geological Survey,3,2391175,476779,1914396,0,0,0,0
2467,r046,"United States<sup>a</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>a</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,143203,98654,44549,0,0,0,0
2467,r047,United States<sup>a</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>a</sup>,Delaware,Sustainable Energy Utility,3,24256,0,0,0,24256,0,0
2467,r048,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,,2,1888642,757291,1131351,0,0,0,0
2467,r049,"United States<sup>a</sup> -> District of Columbia -> Health, Department of",United States<sup>a</sup>,District of Columbia,"Health, Department of",3,796043,712345,83698,0,0,0,0
2467,r050,"United States<sup>a</sup> -> District of Columbia -> Transportation, Department of",United States<sup>a</sup>,District of Columbia,"Transportation, Department of",3,92599,44946,47653,0,0,0,0
2467,r051,United States<sup>a</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>a</sup>,District of Columbia,Water and Sewer Authority,3,1000000,0,1000000,0,0,0,0
2467,r052,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,,2,50604692,12525320,31635688,7724,207106,6113213,115641
2467,r053,"United States<sup>a</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>a</sup>,Florida,"Agriculture and Consumer Services, Department of",3,1547678,1510880,36798,0,0,0,0
2467,r054,"United States<sup>a</sup> -> Florida -> Citrus, Department of",United States<sup>a</sup>,Florida,"Citrus, Department of",3,110432,0,110432,0,0,0,0
2467,r055,"United States<sup>a</sup> -> Florida -> Environmental Protection, Department of",United States<sup>a</sup>,Florida,"Environmental Protection, Department of",3,63430,0,63430,0,0,0,0
2467,r056,United States<sup>a</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>a</sup>,Florida,Fish and Wildlife Conservation Commission,3,47252513,11014440,29794389,7724,207106,6113213,115641
2467,r057,"United States<sup>a</sup> -> Florida -> Transportation, Department of",United States<sup>a</sup>,Florida,"Transportation, Department of",3,1630639,0,1630639,0,0,0,0
2467,r058,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,,2,3539835,3228702,311133,0,0,0,0
2467,r059,"United States<sup>a</sup> -> Georgia -> Natural Resources, Department of",United States<sup>a</sup>,Georgia,"Natural Resources, Department of",3,896266,585133,311133,0,0,0,0
2467,r060,United States<sup>a</sup> -> Georgia -> Southern States Energy Board,United States<sup>a</sup>,Georgia,Southern States Energy Board,3,2643569,2643569,0,0,0,0,0
2467,r061,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,,2,257625,257625,0,0,0,0,0
2467,r062,"United States<sup>a</sup> -> Hawaii -> Agriculture, Department of",United States<sup>a</sup>,Hawaii,"Agriculture, Department of",3,257625,257625,0,0,0,0,0
2467,r063,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,,2,6709727,5580116,1117876,0,0,11735,0
2467,r064,"United States<sup>a</sup> -> Idaho -> Agriculture, Department of",United States<sup>a</sup>,Idaho,"Agriculture, Department of",3,2571,2571,0,0,0,0,0
2467,r065,"United States<sup>a</sup> -> Idaho -> Fish and Game, Department of",United States<sup>a</sup>,Idaho,"Fish and Game, Department of",3,6594251,5487221,1095295,0,0,11735,0
2467,r066,United States<sup>a</sup> -> Idaho -> Transportation Department,United States<sup>a</sup>,Idaho,Transportation Department,3,112905,90324,22581,0,0,0,0
2467,r067,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,,2,1171225,0,1171225,0,0,0,0
2467,r068,"United States<sup>a</sup> -> Illinois -> Transportation, Department of",United States<sup>a</sup>,Illinois,"Transportation, Department of",3,1171225,0,1171225,0,0,0,0
2467,r069,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,,2,167703,134162,33541,0,0,0,0
2467,r070,"United States<sup>a</sup> -> Indiana -> Transportation, Department of",United States<sup>a</sup>,Indiana,"Transportation, Department of",3,167703,134162,33541,0,0,0,0
2467,r071,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,,2,3279267,1718515,1552564,1688,6500,0,0
2467,r072,"United States<sup>a</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of",United States<sup>a</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of",3,411045,199195,210162,1688,0,0,0
2467,r073,"United States<sup>a</sup> -> Iowa -> Natural Resources, Department of",United States<sup>a</sup>,Iowa,"Natural Resources, Department of",3,2868222,1519320,1342402,0,6500,0,0
2467,r074,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,,2,998463,798177,200286,0,0,0,0
2467,r075,United States<sup>a</sup> -> Kansas -> State Board of Regents,United States<sup>a</sup>,Kansas,State Board of Regents,3,3200,0,3200,0,0,0,0
2467,r076,"United States<sup>a</sup> -> Kansas -> Transportation, Department of",United States<sup>a</sup>,Kansas,"Transportation, Department of",3,985452,788366,197086,0,0,0,0
2467,r077,United States<sup>a</sup> -> Kansas -> Water Office,United States<sup>a</sup>,Kansas,Water Office,3,9811,9811,0,0,0,0,0
2467,r078,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,,2,2038186,1144522,776664,50000,67000,0,0
2467,r079,"United States<sup>a</sup> -> Kentucky -> Environmental Protection, Department of",United States<sup>a</sup>,Kentucky,"Environmental Protection, Department of",3,10000,10000,0,0,0,0,0
2467,r080,"United States<sup>a</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>a</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,1745186,1068522,676664,0,0,0,0
2467,r081,"United States<sup>a</sup> -> Kentucky -> Nature Preserves, Office of ",United States<sup>a</sup>,Kentucky,"Nature Preserves, Office of ",3,283000,66000,100000,50000,67000,0,0
2467,r082,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,,2,10974134,7990075,2984059,0,0,0,0
2467,r083,United States<sup>a</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>a</sup>,Louisiana,Coastal Protection and Restoration Authority,3,466210,25110,441100,0,0,0,0
2467,r084,"United States<sup>a</sup> -> Louisiana -> Education, Department of",United States<sup>a</sup>,Louisiana,"Education, Department of",3,355089,168596,186493,0,0,0,0
2467,r085,"United States<sup>a</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>a</sup>,Louisiana,"Transportation and Development, Department of ",3,4500000,3600000,900000,0,0,0,0
2467,r086,"United States<sup>a</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>a</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,5652835,4196369,1456466,0,0,0,0
2467,r087,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,,2,3051263,2226630,824633,0,0,0,0
2467,r088,"United States<sup>a</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>a</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,329763,74630,255133,0,0,0,0
2467,r089,"United States<sup>a</sup> -> Maine -> Marine Resources, Department of",United States<sup>a</sup>,Maine,"Marine Resources, Department of",3,2236500,1764000,472500,0,0,0,0
2467,r090,"United States<sup>a</sup> -> Maine -> Transportation, Department of ",United States<sup>a</sup>,Maine,"Transportation, Department of ",3,485000,388000,97000,0,0,0,0
2467,r091,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,,2,989368,548991,332377,0,10000,0,98000
2467,r092,"United States<sup>a</sup> -> Maryland -> Natural Resources, Department of",United States<sup>a</sup>,Maryland,"Natural Resources, Department of",3,586649,400991,175658,0,10000,0,0
2467,r093,"United States<sup>a</sup> -> Maryland -> Transportation, Department of",United States<sup>a</sup>,Maryland,"Transportation, Department of",3,402719,148000,156719,0,0,0,98000
2467,r094,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,,2,8798238,5365481,3432757,0,0,0,0
2467,r095,"United States<sup>a</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>a</sup>,Massachusetts,"Environmental Protection, Department of ",3,223238,25481,197757,0,0,0,0
2467,r096,"United States<sup>a</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>a</sup>,Massachusetts,"Fish and Game, Department of ",3,8050000,5000000,3050000,0,0,0,0
2467,r097,"United States<sup>a</sup> -> Massachusetts -> Transportation, Department of",United States<sup>a</sup>,Massachusetts,"Transportation, Department of",3,425000,340000,85000,0,0,0,0
2467,r098,United States<sup>a</sup> -> Massachusetts -> Water Resources Authority,United States<sup>a</sup>,Massachusetts,Water Resources Authority,3,100000,0,100000,0,0,0,0
2467,r099,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,,2,336227,0,336227,0,0,0,0
2467,r100,"United States<sup>a</sup> -> Michigan -> Environmental, Great Lakes and Energy, Department of",United States<sup>a</sup>,Michigan,"Environmental, Great Lakes and Energy, Department of",3,336227,0,336227,0,0,0,0
2467,r101,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,,2,2027757,1982257,45500,0,0,0,0
2467,r102,"United States<sup>a</sup> -> Minnesota -> Agriculture, Department of",United States<sup>a</sup>,Minnesota,"Agriculture, Department of",3,520093,520093,0,0,0,0,0
