table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_employed_minoritya_total_number,field_all_employed_minoritya_total_se,field_all_employed_minoritya_male_number,field_all_employed_minoritya_male_se,field_all_employed_minoritya_female_number,field_all_employed_minoritya_female_se,field_hispanic_or_latinob_total_number,field_hispanic_or_latinob_total_se,field_hispanic_or_latinob_male_number,field_hispanic_or_latinob_male_se,field_hispanic_or_latinob_female_number,field_hispanic_or_latinob_female_se,field_not_hispanic_or_latinoc_american_indian_or_alaska_native_total_number,field_not_hispanic_or_latinoc_american_indian_or_alaska_native_total_se,field_not_hispanic_or_latinoc_american_indian_or_alaska_native_male_number,field_not_hispanic_or_latinoc_american_indian_or_alaska_native_male_se,field_not_hispanic_or_latinoc_american_indian_or_alaska_native_female_number,field_not_hispanic_or_latinoc_american_indian_or_alaska_native_female_se,field_not_hispanic_or_latinoc_black_or_african_american_total_number,field_not_hispanic_or_latinoc_black_or_african_american_total_se,field_not_hispanic_or_latinoc_black_or_african_american_male_number,field_not_hispanic_or_latinoc_black_or_african_american_male_se,field_not_hispanic_or_latinoc_black_or_african_american_female_number,field_not_hispanic_or_latinoc_black_or_african_american_female_se,field_not_hispanic_or_latinoc_native_hawaiian_or_other_pacific_islander_total_number,field_not_hispanic_or_latinoc_native_hawaiian_or_other_pacific_islander_total_se,field_not_hispanic_or_latinoc_native_hawaiian_or_other_pacific_islander_male_number,field_not_hispanic_or_latinoc_native_hawaiian_or_other_pacific_islander_male_se,field_not_hispanic_or_latinoc_native_hawaiian_or_other_pacific_islander_female_number,field_not_hispanic_or_latinoc_native_hawaiian_or_other_pacific_islander_female_se
8222,r001,All occupations,All occupations,,,,1,89300,875,47700,725,41600,600,40100,475,22600,425,17500,325,1400,125,650,100,700,100,31800,475,15700,375,16100,400,900,125,450,75,500,125
8222,r002,All occupations -> Science occupations,All occupations,Science occupations,,,2,50850,875,26450,600,24400,600,24250,500,13000,350,11250,350,700,100,300,75,400,75,16650,475,8150,325,8500,400,500,125,200,50,300,100
8222,r003,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists",,3,16050,550,8100,375,7950,325,8050,325,4050,225,4000,225,150,50,100,50,50,50,4600,300,2250,175,2350,200,200,50,100,50,100,50
8222,r004,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Agricultural, food scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Agricultural, food scientists",4,1550,125,1050,100,500,75,850,125,550,100,300,50,,,,,,,500,75,400,75,150,50,,,,,,
8222,r005,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Biochemists, biophysicists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Biochemists, biophysicists",4,1300,150,800,150,500,100,700,125,400,100,300,75,,,,,,,250,100,100,75,150,75,,,,,,
8222,r006,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Biological scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Biological scientists,4,2800,225,1350,175,1450,175,1550,175,700,100,850,150,50,25,,,,,650,125,350,75,300,100,S,S,,,,
8222,r007,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Forestry, conservation scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Forestry, conservation scientists",4,200,75,100,50,100,50,150,75,50,25,S,S,,,,,,,0.05,0.05,,,0.05,0.05,,,,,,
8222,r008,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Medical scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists",Medical scientists,4,3950,300,1750,175,2200,200,1700,150,850,125,850,100,50,25,50,25,,,1200,150,350,75,800,125,100,50,,,,
8222,r009,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers, agricultural, other natural sciences",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Postsecondary teachers, agricultural, other natural sciences",4,600,100,400,75,200,50,250,50,150,50,100,25,,,,,,,300,75,200,75,100,50,,,,,,
8222,r010,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Postsecondary teachers, biological sciences",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Postsecondary teachers, biological sciences",4,3200,200,1550,175,1650,150,1600,125,700,100,850,100,S,S,,,,,850,125,450,100,400,100,S,S,,,,
8222,r011,"All occupations -> Science occupations -> Biological, agricultural, and other life scientists -> Other biological, agricultural, life scientists",All occupations,Science occupations,"Biological, agricultural, and other life scientists","Other biological, agricultural, life scientists",4,2500,225,1150,150,1350,150,1250,150,600,125,650,100,,,,,,,800,150,400,75,450,125,,,,,,
8222,r012,All occupations -> Science occupations -> Computer and information scientists,All occupations,Science occupations,Computer and information scientists,,3,4100,300,3150,275,950,125,1800,150,1450,125,350,75,,,,,,,1050,125,750,100,350,75,50,25,50,25,,
8222,r013,All occupations -> Science occupations -> Computer and information scientists -> Computer and information scientists,All occupations,Science occupations,Computer and information scientists,Computer and information scientists,4,3200,275,2550,250,700,100,1450,150,1200,125,250,50,,,,,,,750,125,550,100,200,75,S,S,0.05,0.05,,
8222,r014,"All occupations -> Science occupations -> Computer and information scientists -> Postsecondary teachers, computer science",All occupations,Science occupations,Computer and information scientists,"Postsecondary teachers, computer science",4,900,125,650,125,250,75,350,75,250,75,100,50,,,,,,,300,75,200,50,150,50,,,,,,
8222,r015,All occupations -> Science occupations -> Mathematical scientists,All occupations,Science occupations,Mathematical scientists,,3,3950,225,2850,175,1150,125,2050,175,1500,125,550,125,0.05,0.05,,,,,1200,125,850,100,350,50,S,S,,,,
8222,r016,All occupations -> Science occupations -> Mathematical scientists -> Mathematical scientists,All occupations,Science occupations,Mathematical scientists,Mathematical scientists,4,2200,175,1500,150,700,125,1100,150,800,125,350,100,,,,,,,600,75,350,75,200,50,,,,,,
8222,r017,"All occupations -> Science occupations -> Mathematical scientists -> Postsecondary teachers, mathematics, statistics",All occupations,Science occupations,Mathematical scientists,"Postsecondary teachers, mathematics, statistics",4,1800,150,1350,125,450,75,950,100,700,100,250,50,,,,,,,650,100,500,100,150,50,,,,,,
8222,r018,All occupations -> Science occupations -> Physical scientists,All occupations,Science occupations,Physical scientists,,3,7100,325,4650,250,2400,200,3400,175,2300,175,1100,100,50,50,50,25,,,2200,175,1500,150,700,100,S,S,,,,
8222,r019,"All occupations -> Science occupations -> Physical scientists -> Chemists, except biochemists",All occupations,Science occupations,Physical scientists,"Chemists, except biochemists",4,1850,200,1000,125,850,150,800,100,450,75,350,75,50,25,,,,,600,100,300,75,300,75,,,,,,
8222,r020,"All occupations -> Science occupations -> Physical scientists -> Earth, atmospheric, ocean scientists",All occupations,Science occupations,Physical scientists,"Earth, atmospheric, ocean scientists",4,800,75,500,75,300,75,400,50,250,50,200,50,,,,,,,150,50,100,25,50,25,,,,,,
8222,r021,"All occupations -> Science occupations -> Physical scientists -> Physicists, astronomers",All occupations,Science occupations,Physical scientists,"Physicists, astronomers",4,700,100,500,100,150,50,350,75,300,75,50,50,,,,,,,100,50,100,50,S,S,,,,,,
8222,r022,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, chemistry",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, chemistry",4,1800,175,1150,150,600,100,750,100,500,100,300,75,,,,,,,850,125,600,125,250,75,,,,,,
8222,r023,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, physics",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, physics",4,900,150,800,125,150,50,550,125,500,125,50,25,,,,,,,200,50,200,50,,,,,,,,
8222,r024,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, other physical science",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, other physical science",4,600,75,350,75,250,50,350,75,200,50,150,50,,,,,,,100,50,100,50,50,25,,,,,,
