table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_level_5,_b_field_b_hierarchy_depth,field_2017a_all_units_with_students,field_2017a_units_with_master_s_students,field_2017a_units_with_doctoral_students,field_2018_all_units_with_students,field_2018_units_with_master_s_students,field_2018_units_with_doctoral_students,field_2019_all_units_with_students,field_2019_units_with_master_s_students,field_2019_units_with_doctoral_students
3443,r001,All surveyed fields<sup>b</sup>,All surveyed fields<sup>b</sup>,,,,,1,12479,9625,6915,13000,10093,7083,13149,10281,7135
3443,r002,All surveyed fields<sup>b</sup> -> Science and engineering,All surveyed fields<sup>b</sup>,Science and engineering,,,,2,11142,8614,6309,11584,9000,6451,11723,9170,6502
3443,r003,All surveyed fields<sup>b</sup> -> Science and engineering -> Science,All surveyed fields<sup>b</sup>,Science and engineering,Science,,,3,8952,6649,4970,9338,6984,5113,9451,7119,5148
3443,r004,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Agricultural sciences,All surveyed fields<sup>b</sup>,Science and engineering,Science,Agricultural sciences,,4,267,247,176,290,267,183,291,268,185
3443,r005,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup>,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,,4,2586,1503,1816,2614,1545,1839,2638,1581,1848
3443,r006,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biochemistry,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Biochemistry,5,194,90,159,188,84,159,190,93,158
3443,r007,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biology ,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Biology ,5,392,344,162,394,349,161,386,338,166
3443,r008,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biomedical sciences,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Biomedical sciences,5,153,93,96,159,105,95,175,112,106
3443,r009,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biophysics,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Biophysics,5,41,5,40,39,3,39,44,6,44
3443,r010,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biostatistics and bioinformatics ,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Biostatistics and bioinformatics ,5,162,121,104,176,126,118,185,135,119
3443,r011,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biotechnology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Biotechnology,5,64,59,6,67,61,8,76,71,8
3443,r012,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Botany and plant biology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Botany and plant biology,5,69,53,61,68,55,60,67,55,57
3443,r013,"All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Cell, cellular biology, and anatomical sciences",All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,"Cell, cellular biology, and anatomical sciences",5,176,74,144,190,74,161,187,79,154
3443,r014,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Ecology and population biology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Ecology and population biology,5,100,60,75,109,71,79,107,67,79
3443,r015,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Epidemiology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Epidemiology,5,66,47,54,70,50,57,85,58,65
3443,r016,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Genetics,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Genetics,5,101,47,78,102,51,77,98,48,73
3443,r017,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Microbiological sciences and immunology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Microbiological sciences and immunology,5,188,84,151,177,79,148,174,79,146
3443,r018,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Molecular biology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Molecular biology,5,52,19,38,53,21,38,53,20,40
3443,r019,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Neurobiology and neuroscience,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Neurobiology and neuroscience,5,168,39,154,169,35,156,178,44,160
3443,r020,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Nutrition science,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Nutrition science,5,88,82,46,103,94,54,101,92,53
3443,r021,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Pathology and experimental pathology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Pathology and experimental pathology,5,50,13,45,48,15,44,44,14,39
3443,r022,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Pharmacology and toxicology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Pharmacology and toxicology,5,138,62,119,133,60,117,130,63,114
3443,r023,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Physiology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Physiology,5,188,98,138,176,90,131,179,97,132
3443,r024,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Zoology and animal biology,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Zoology and animal biology,5,82,65,69,77,63,66,75,62,65
3443,r025,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Biological and biomedical sciences<sup>c</sup> -> Biological and biomedical sciences nec,All surveyed fields<sup>b</sup>,Science and engineering,Science,Biological and biomedical sciences<sup>c</sup>,Biological and biomedical sciences nec,5,114,48,77,116,59,71,104,48,70
3443,r026,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Computer and information sciences,All surveyed fields<sup>b</sup>,Science and engineering,Science,Computer and information sciences,,4,777,719,229,858,785,267,905,833,266
3443,r027,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Computer and information sciences -> Computer science,All surveyed fields<sup>b</sup>,Science and engineering,Science,Computer and information sciences,Computer science,5,243,226,102,261,243,112,264,248,111
3443,r028,"All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Computer and information sciences -> Computer and information sciences, general",All surveyed fields<sup>b</sup>,Science and engineering,Science,Computer and information sciences,"Computer and information sciences, general",5,303,274,91,331,292,110,350,311,108
3443,r029,All surveyed fields<sup>b</sup> -> Science and engineering -> Science -> Computer and information sciences -> Computer and information sciences nec,All surveyed fields<sup>b</sup>,Science and engineering,Science,Computer and information sciences,Computer and information sciences nec,5,231,219,36,266,250,45,291,274,47
