table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_599,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
2724,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['63,230', '  ']","['1,050', '  ']","['1,695', '  ']","['1,875', '  ']","['3,921', '  ']","['3,041', '  ']","['2,096', '  ']","['10,068', '  ']","['9,063', '  ']","['9,997', '  ']","['20,423', '  ']"
2724,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['39,393', '  ']","['239', '  ']","['471', '  ']","['751', '  ']","['1,186', '  ']","['1,381', '  ']","['1,272', '  ']","['8,165', '  ']","['2,652', '  ']","['6,641', '  ']","['16,634', '  ']"
2724,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['242', '  ']","['0', '  ']","['*', '  ']","['0 - 12', '  ']","['94', '  ']","['6', '  ']","['1', '  ']","['87', '  ']","['44', '  ']","['1', '  ']","['0 - 12', '  ']"
2724,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['109', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['*', '  ']","['101', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['0', '  ']"
2724,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['4', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2724,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', 'i ']","['4', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2724,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2724,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['4', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['3', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2724,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['23', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['18', '  ']","['0', '  ']"
2724,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['10,553', '  ']","['44 - 65', '  ']","['189', '  ']","['414', '  ']","['388', '  ']","['281', '  ']","['352', '  ']","['4,324', '  ']","['550', '  ']","['3,931', 'i ']","['55 - 75', '  ']"
