table_id,row_id,source_of_primary_support_and_field_full_path,source_of_primary_support_and_field_level_1,source_of_primary_support_and_field_level_2,source_of_primary_support_and_field_level_3,source_of_primary_support_and_field_level_4,source_of_primary_support_and_field_hierarchy_depth,field_totala,field_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_total,field_u_s_citizens_and_permanent_residents_male,field_u_s_citizens_and_permanent_residents_female,field_u_s_citizens_and_permanent_residents_hispanic_or_latinob,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
1559,r001,All fields (number)<sup>c</sup>,All fields (number)<sup>c</sup>,,,,1,164427,48944,106574,52348,54224,7538,368,9659,7045,75783,2952,993,2236
1559,r002,All fields (number)<sup>c</sup> -> Fellowship or traineeship,All fields (number)<sup>c</sup>,Fellowship or traineeship,,,2,20.8,16.3,24.5,23.8,25.1,31.1,28.8,27.8,24.3,23.7,30.6,21.5,5.5
1559,r003,All fields (number)<sup>c</sup> -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,Grant<sup>d</sup>,,,2,3.8,2.7,4.6,5.0,4.3,4.8,3.0,6.1,3.0,4.7,5.3,3.3,1.0
1559,r004,All fields (number)<sup>c</sup> -> Teaching assistantship,All fields (number)<sup>c</sup>,Teaching assistantship,,,2,18.5,21.4,18.5,18.8,18.2,16.1,14.1,16.5,11.3,20.2,18.5,13.9,3.9
1559,r005,All fields (number)<sup>c</sup> -> Research assistantship,All fields (number)<sup>c</sup>,Research assistantship,,,2,27.3,44.7,21.4,25.2,17.7,15.4,6.3,28.3,10.6,22.7,21.2,14.4,5.5
1559,r006,All fields (number)<sup>c</sup> -> Personal,All fields (number)<sup>c</sup>,Personal,,,2,13.6,3.2,19.5,15.3,23.5,21.1,31.3,10.6,37.2,19.3,17.9,14.5,5.3
1559,r007,All fields (number)<sup>c</sup> -> Other,All fields (number)<sup>c</sup>,Other,,,2,4.4,5.2,4.3,4.6,3.9,3.4,4.9,3.3,4.9,4.6,3.3,2.8,1.3
1559,r008,All fields (number)<sup>c</sup> -> Unknown,All fields (number)<sup>c</sup>,Unknown,,,2,11.6,6.5,7.3,7.3,7.3,8.1,11.7,7.4,8.6,4.9,3.2,29.6,77.6
1559,r009,All fields (number)<sup>c</sup> -> S&E (number),All fields (number)<sup>c</sup>,S&E (number),,,2,125067,42717,76030,39980,36048,5270,222,7931,4171,53858,2223,714,1641
1559,r010,All fields (number)<sup>c</sup> -> S&E (number) -> Fellowship or traineeship,All fields (number)<sup>c</sup>,S&E (number),Fellowship or traineeship,,3,20.9,14.3,26.2,24.4,28.2,34.8,36.5,27.1,29.3,25.5,32.1,20.7,5.4
1559,r011,All fields (number)<sup>c</sup> -> S&E (number) -> Grant<sup>d</sup>,All fields (number)<sup>c</sup>,S&E (number),Grant<sup>d</sup>,,3,4.7,3.0,6.1,6.2,5.9,6.4,s,7.3,4.3,6.1,6.7,s,1.3
1559,r012,All fields (number)<sup>c</sup> -> S&E (number) -> Teaching assistantship,All fields (number)<sup>c</sup>,S&E (number),Teaching assistantship,,3,17.1,20.4,16.6,16.9,16.2,13.9,12.6,15.1,11.7,17.9,17.1,13.0,3.4
1559,r013,All fields (number)<sup>c</sup> -> S&E (number) -> Research assistantship,All fields (number)<sup>c</sup>,S&E (number),Research assistantship,,3,33.0,48.7,26.6,30.8,22.0,18.8,s,31.6,13.0,28.6,25.5,s,6.8
1559,r014,All fields (number)<sup>c</sup> -> S&E (number) -> Personal,All fields (number)<sup>c</sup>,S&E (number),Personal,,3,9.2,2.3,13.8,10.4,17.5,15.4,22.1,8.4,30.2,13.5,12.8,10.8,3.8
1559,r015,All fields (number)<sup>c</sup> -> S&E (number) -> Other,All fields (number)<sup>c</sup>,S&E (number),Other,,3,3.8,4.9,3.4,3.9,2.9,2.9,4.1,3.0,4.0,3.6,2.7,2.2,1.0
1559,r016,All fields (number)<sup>c</sup> -> S&E (number) -> Unknown,All fields (number)<sup>c</sup>,S&E (number),Unknown,,3,11.2,6.3,7.3,7.3,7.2,7.9,12.6,7.5,7.5,4.8,3.1,31.5,78.4
1559,r017,All fields (number)<sup>c</sup> -> S&E (number) -> Engineering (number),All fields (number)<sup>c</sup>,S&E (number),Engineering (number),,3,29177,15022,12739,9533,3206,851,25,2023,506,8497,342,132,363
