table_id,row_id,abbreviation,degree_title
2872,r001,PhD,Doctor of Philosophy
2872,r002,DA,Doctor of Arts
2872,r003,DBA ,Doctor of Business Administration
2872,r004,DDes,Doctor of Design
2872,r005,"DEng, DESc, DES",Doctor of Engineering or Engineering Science
2872,r006,DFA ,Doctor of Fine Arts
2872,r007,DHL ,Doctor of Hebrew Letters
2872,r008,DMA ,Doctor of Musical Arts
2872,r009,DME ,Doctor of Music Education
2872,r010,DML ,Doctor of Modern Languages
2872,r011,DNSc ,Doctor of Nursing Science
2872,r012,DPH ,Doctor of Public Health
2872,r013,"DSc, ScD ",Doctor of Science
2872,r014,EdD ,Doctor of Education
2872,r015,JCD ,Doctor of Canon Law
2872,r016,"JSD, SJD ",Doctor of Juridical Science
2872,r017,STD ,Doctor of Sacred Theology
2872,r018,ThD ,Doctor of Theology
