table_id,row_id,selected_industry_naics_code_and_company_size_full_path,selected_industry_naics_code_and_company_size_level_1,selected_industry_naics_code_and_company_size_level_2,selected_industry_naics_code_and_company_size_level_3,selected_industry_naics_code_and_company_size_level_4,selected_industry_naics_code_and_company_size_hierarchy_depth,field_total_companiesa_number_,field_total_amount,field_biotechnology_companiesa_number_,field_biotechnology_amount,field_nanotechnology_companiesa_number_,field_nanotechnology_amount,field_software_companiesa_number_,field_software_amount
2976,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,"['26,313', '  ']","['441,036', '  ']","['2,470', 'i ']","['62,862', '  ']","['957', 'i ']","['16,799', 'i ']","['11,034', 'i ']","['165,576', '  ']"
2976,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,"['15,205', '  ']","['274,075', '  ']","['1,733', 'i ']","['53,272', '  ']","['772', 'i ']","['14,783', 'i ']","['4,004', 'i ']","['40,507', '  ']"
2976,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,"['2,713', '  ']","['84,137', '  ']","['1,058', 'i ']","['47,526', '  ']","['203', 'i ']","['607', '  ']","['195', 'i ']","['498', '  ']"
2976,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,"['1,334', '  ']","['74,592', '  ']","['915', 'i ']","['46,023', '  ']","['55', 'i ']","['401', '  ']","['99', '  ']","['315', '  ']"
2976,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,"['1,379', '  ']","['9,545', '  ']","['143', 'i ']","['1,503', 'i ']","['148', 'i ']","['206', '  ']","['96', 'i ']","['183', '  ']"
2976,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,"['2,072', '  ']","['14,799', '  ']","['24', '  ']","['10', '  ']","['34', 'i ']","['1,028', 'i ']","['827', 'i ']","['1,620', 'i ']"
2976,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,"['2,340', '  ']","['83,697', '  ']","['208', 'i ']","['2,319', 'i ']","['267', 'i ']","['12,545', 'i ']","['1,394', 'i ']","['30,187', '  ']"
2976,r008,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",,3,"['1,105', '  ']","['52,629', '  ']","['8', '  ']","['35', '  ']","['7', '  ']","['33', 'i ']","['234', 'i ']","['4,629', 'i ']"
2976,r009,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Miscellaneous, 339","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Miscellaneous, 339",,3,"['1,251', '  ']","['17,209', '  ']","['176', 'i ']","['2,147', '  ']","['66', 'i ']","['308', 'i ']","['329', 'i ']","['2,263', '  ']"
2976,r010,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Manufacturing nec, other 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Manufacturing nec, other 31&#8211;33",,3,"['5,724', '  ']","['21,604', '  ']","['259', '  ']","['1,235', '  ']","['195', '&nbsp;']","['262', '  ']","['1,025', '&nbsp;']","['1,310', '&nbsp;']"
2976,r011,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81",,,2,"['11,116', '  ']","['166,961', '  ']","['737', 'i ']","['9,590', '  ']","['185', 'i ']","['2,016', 'i ']","['7,030', 'i ']","['125,069', '  ']"
2976,r012,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Information, 51","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Information, 51",,3,"['2,660', '  ']","['94,349', '  ']","['23', '  ']","['77', '  ']","['11', '  ']","['1,095', 'i ']","['2,383', '  ']","['86,457', '  ']"
2976,r013,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Professional, scientific, and technical services, 54","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Professional, scientific, and technical services, 54",,3,"['6,224', '  ']","['44,860', '  ']","['646', 'i ']","['8,624', '  ']","['149', 'i ']","['878', 'i ']","['3,968', 'i ']","['16,590', '  ']"
2976,r014,"All industries, 21&#8211;33, 42&#8211;81 -> Nonmanufacturing industries, 21&#8211;23, 42&#8211;81 -> Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81","Nonmanufacturing industries, 21&#8211;23, 42&#8211;81","Nonmanufacturing nec, other 21&#8211;23, 42&#8211;81",,3,"['2,232', '  ']","['27,752', '&nbsp;']","['68', '  ']","['889', '  ']","['25', '  ']","['43', '  ']","['679', 'i ']","['22,022', '&nbsp;']"
2976,r015,All companies (number of domestic employees),All companies (number of domestic employees),,,,1,"['26,313', '  ']","['441,036', '  ']","['2,470', 'i ']","['62,862', '  ']","['957', 'i ']","['16,799', 'i ']","['11,034', 'i ']","['165,576', '  ']"
2976,r016,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2976,r017,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>b</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>b</sup>,,3,"['4,294', '  ']","['4,390', '  ']","['582', 'i ']","['987', '  ']","['182', 'i ']","['138', 'i ']","['2,128', 'i ']","['1,496', '  ']"
2976,r018,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,3,"['7,386', '  ']","['11,252', '  ']","['699', 'i ']","['2,803', '  ']","['292', 'i ']","['354', 'i ']","['3,316', 'i ']","['3,946', '  ']"
2976,r019,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2976,r020,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,3,"['4,591', '  ']","['12,321', '  ']","['311', 'i ']","['3,508', '  ']","['137', 'i ']","['330', 'i ']","['1,850', 'i ']","['3,677', '  ']"
2976,r021,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,3,"['5,004', '  ']","['18,547', '  ']","['444', 'i ']","['4,155', '  ']","['132', 'i ']","['463', '  ']","['1,797', 'i ']","['5,690', '  ']"
2976,r022,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2976,r023,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,3,"['2,060', '  ']","['19,645', '  ']","['170', '  ']","['5,313', '  ']","['75', '  ']","['732', '  ']","['722', '  ']","['5,982', '  ']"
