table_id,row_id,state_or_location,rank,total,male,female
2801,r001,California,1,6342,3584,2757
2801,r002,Texas,2,4166,2326,1839
2801,r003,New York,3,4164,2187,1977
2801,r004,Massachusetts,4,3034,1676,1358
2801,r005,Pennsylvania,5,2600,1430,1169
2801,r006,Illinois,6,2492,1428,1063
2801,r007,Florida,7,2469,1300,1168
2801,r008,Ohio,8,2000,1064,936
2801,r009,Michigan,9,1905,1051,854
2801,r010,North Carolina,10,1808,923,885
2801,r011,Minnesota,11,1578,669,909
2801,r012,Indiana,12,1569,876,692
2801,r013,Georgia,13,1447,796,651
2801,r014,Virginia,14,1433,761,671
2801,r015,Maryland,15,1291,699,591
2801,r016,New Jersey,16,1145,660,485
2801,r017,Wisconsin,17,1067,590,477
2801,r018,Colorado,18,1036,547,489
2801,r019,Washington,19,1001,506,495
2801,r020,Missouri,20,978,523,455
2801,r021,Tennessee,21,949,496,453
2801,r022,Arizona,22,847,451,395
2801,r023,Connecticut,23,796,429,367
2801,r024,Iowa,24,727,407,320
2801,r025,Alabama,25,653,350,303
2801,r026,Louisiana,26,615,317,298
2801,r027,District of Columbia,27,584,284,300
2801,r028,Oregon,28,572,310,262
2801,r029,Utah,29,549,331,217
2801,r030,South Carolina,30,547,296,251
2801,r031,Kansas,31,536,292,244
2801,r032,Kentucky,32,524,299,225
2801,r033,Mississippi,33,517,244,273
2801,r034,Oklahoma,34,482,279,203
2801,r035,Nebraska,35,383,208,175
2801,r036,Rhode Island,36,338,193,145
2801,r037,New Mexico,37,328,186,142
2801,r038,Delaware,38,241,143,98
2801,r039,Arkansas,39,239,131,108
2801,r040,West Virginia,40,225,115,110
2801,r041,Nevada,41,217,108,109
2801,r042,Hawaii,42,209,99,110
2801,r043,New Hampshire,43,193,107,86
2801,r044,North Dakota,44,168,91,77
2801,r045,Puerto Rico,45,133,65,68
2801,r046,Montana,46,126,77,49
2801,r047,Idaho,47,104,52,52
2801,r048,South Dakota,48,102,71,31
2801,r049,Vermont,49,80,35,45
2801,r050,Wyoming,50,78,42,36
2801,r051,Maine,51,74,31,43
2801,r052,Alaska,52,42,16,26
