table_id,row_id,sex_field_citizenship_ethnicity_and_race_full_path,sex_field_citizenship_ethnicity_and_race_level_1,sex_field_citizenship_ethnicity_and_race_level_2,sex_field_citizenship_ethnicity_and_race_level_3,sex_field_citizenship_ethnicity_and_race_level_4,sex_field_citizenship_ethnicity_and_race_level_5,sex_field_citizenship_ethnicity_and_race_level_6,sex_field_citizenship_ethnicity_and_race_level_7,sex_field_citizenship_ethnicity_and_race_level_8,sex_field_citizenship_ethnicity_and_race_level_9,sex_field_citizenship_ethnicity_and_race_level_10,sex_field_citizenship_ethnicity_and_race_hierarchy_depth,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
3259,r001,Both sexes,Both sexes,,,,,,,,,,1,,,,,,,,,,,
3259,r002,Both sexes -> All fields,Both sexes,All fields,,,,,,,,,2,1580413,1619028,1668227,1734229,1811404,1861034,1890941,1916129,1942140,1973112,2001610
3259,r003,Both sexes -> All fields -> U.S. citizen and permanent resident,Both sexes,All fields,U.S. citizen and permanent resident,,,,,,,,3,1536007,1573094,1620629,1681535,1751821,1796133,1821458,1840490,1857833,1881684,1903321
3259,r004,Both sexes -> All fields -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,Both sexes,All fields,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,,,,4,131695,137746,147205,159936,176719,194919,211710,226900,245081,258195,277429
3259,r005,Both sexes -> All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino,Both sexes,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,,,,,,,4,1404312,1435348,1473424,1521599,1575102,1601214,1609748,1613590,1612752,1623489,1625892
3259,r006,Both sexes -> All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native,Both sexes,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,,,,,,5,10768,11407,11485,11126,10740,10768,10211,9697,9316,9194,8838
3259,r007,Both sexes -> All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian,Both sexes,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian,,,,,,5,na,na,na,109009,113736,117932,120037,122822,128048,134132,141730
3259,r008,Both sexes -> All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,Both sexes,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,,,,5,102301,105246,109022,na,na,na,na,na,na,na,na
3259,r009,Both sexes -> All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Black or African American,Both sexes,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,Black or African American,,,,,,5,142576,145988,152404,161005,172869,179517,180812,182778,185880,188414,188072
3259,r010,Both sexes -> All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Both sexes,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,,,,5,na,na,na,4205,4546,4958,5139,4987,4732,4621,4455
3259,r011,Both sexes -> All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> White,Both sexes,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,White,,,,,,5,1051236,1069016,1082145,1102792,1133084,1150239,1154363,1150065,1145220,1148033,1147499
3259,r012,Both sexes -> All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> More than one race<sup>c</sup>,Both sexes,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,More than one race<sup>c</sup>,,,,,,5,na,na,na,19451,25475,32310,43043,51507,58925,63890,68122
3259,r013,Both sexes -> All fields -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Other or unknown race and ethnicity,Both sexes,All fields,U.S. citizen and permanent resident,Not Hispanic or Latino,Other or unknown race and ethnicity,,,,,,5,97431,103691,118368,114011,114652,105490,96143,91734,80631,75205,67176
3259,r014,Both sexes -> All fields -> Temporary resident,Both sexes,All fields,Temporary resident,,,,,,,,3,44406,45934,47598,52694,59583,64901,69483,75639,84307,91428,98289
3259,r015,Both sexes -> All fields -> All S&E,Both sexes,All fields,All S&E,,,,,,,,3,496168,505435,525374,554365,589567,615475,635915,650057,666157,684557,707158
3259,r016,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,,,,,,,4,479642,488380,507143,533567,565685,588952,606611,617418,629003,642843,660390
3259,r017,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,,,5,40877,43018,46336,51421,58165,65726,73179,79203,86279,91550,99892
3259,r018,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,,,,,,5,438765,445362,460807,482146,507520,523226,533432,538215,542724,551293,560498
3259,r019,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,,,,,6,3392,3564,3624,3445,3411,3446,3192,2972,2930,2844,2844
3259,r020,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian,,,,,6,na,na,na,51139,53264,56080,57374,59092,62101,65757,70455
3259,r021,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,,,6,47323,48348,50367,na,na,na,na,na,na,na,na
3259,r022,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Black or African American,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,Black or African American,,,,,6,41263,41822,43428,46341,49696,52165,52647,53649,54432,55651,56084
3259,r023,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,,,6,na,na,na,1240,1485,1549,1568,1611,1436,1421,1379
3259,r024,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> White,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,White,,,,,6,316982,320081,326643,338461,354806,365827,372882,373795,374883,377509,382555
3259,r025,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> More than one race<sup>c</sup>,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,More than one race<sup>c</sup>,,,,,6,na,na,na,7168,9613,12149,16956,20135,23005,24964,26856
3259,r026,Both sexes -> All fields -> All S&E -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Other or unknown race and ethnicity,Both sexes,All fields,All S&E,U.S. citizen and permanent resident,Not Hispanic or Latino,Other or unknown race and ethnicity,,,,,6,29805,31547,36745,34352,35245,32010,28813,26961,23937,23147,20325
3259,r027,Both sexes -> All fields -> All S&E -> Temporary resident,Both sexes,All fields,All S&E,Temporary resident,,,,,,,4,16526,17055,18231,20798,23882,26523,29304,32639,37154,41714,46768
3259,r028,Both sexes -> All fields -> All S&E -> Science,Both sexes,All fields,All S&E,Science,,,,,,,4,426260,434835,450975,476266,506304,527663,541965,550151,557181,566630,582830
3259,r029,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,,,,,,5,413914,421851,437246,460719,488753,507887,520217,526067,530144,536725,549382
3259,r030,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,,6,35643,37441,40388,45104,50992,57819,64195,69243,74942,78937,86378
3259,r031,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,,,,,6,378271,384410,396858,415615,437761,450068,456022,456824,455202,457788,463004
3259,r032,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,,,,7,3048,3217,3258,3123,3102,3090,2872,2656,2616,2549,2486
3259,r033,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian,,,,7,na,na,na,42481,44183,46133,47296,48358,50280,52963,56890
3259,r034,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,,7,38980,40082,41962,na,na,na,na,na,na,na,na
3259,r035,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Black or African American,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,Black or African American,,,,7,38162,38726,40346,43244,46478,48660,49048,49797,50226,51208,51296
3259,r036,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,,7,na,na,na,1123,1323,1362,1385,1470,1276,1265,1208
3259,r037,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> White,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,White,,,,7,271599,274434,278666,289060,302454,311483,315071,313199,310307,308853,311106
3259,r038,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> More than one race<sup>c</sup>,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,More than one race<sup>c</sup>,,,,7,na,na,na,6280,8488,10727,14840,17428,19682,21228,22785
3259,r039,Both sexes -> All fields -> All S&E -> Science -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Other or unknown race and ethnicity,Both sexes,All fields,All S&E,Science,U.S. citizen and permanent resident,Not Hispanic or Latino,Other or unknown race and ethnicity,,,,7,26482,27951,32626,30304,31733,28613,25510,23916,20815,19722,17233
3259,r040,Both sexes -> All fields -> All S&E -> Science -> Temporary resident,Both sexes,All fields,All S&E,Science,Temporary resident,,,,,,5,12346,12984,13729,15547,17551,19776,21748,24084,27037,29905,33448
3259,r041,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences,Both sexes,All fields,All S&E,Science,Agricultural sciences,,,,,,5,18474,19152,20400,22759,25060,27609,28796,29460,30540,31089,32462
3259,r042,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,,,,,6,18246,18909,20111,22417,24686,27094,28227,28856,29877,30375,31609
3259,r043,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,7,997,969,999,1236,1407,1815,1983,2236,2570,2791,3061
3259,r044,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,,,,7,17249,17940,19112,21181,23279,25279,26244,26620,27307,27584,28548
3259,r045,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> American Indian or Alaska Native,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,American Indian or Alaska Native,,,8,172,207,175,182,213,225,193,206,182,205,231
3259,r046,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian ,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian ,,,8,na,na,na,898,1039,1115,1123,1156,1121,1139,1253
3259,r047,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Asian or Pacific Islander<sup>b</sup>,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Asian or Pacific Islander<sup>b</sup>,,,8,632,731,831,na,na,na,na,na,na,na,na
3259,r048,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Black or African American,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Black or African American,,,8,557,510,595,575,704,744,852,856,932,982,1024
3259,r049,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,8,na,na,na,38,48,63,76,89,51,61,60
3259,r050,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> White,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,White,,,8,15004,15476,16291,17967,19635,21392,22145,22454,23022,23177,23884
3259,r051,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> More than one race<sup>c</sup>,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,More than one race<sup>c</sup>,,,8,na,na,na,226,378,541,722,830,1018,1086,1258
3259,r052,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> U.S. citizen and permanent resident -> Not Hispanic or Latino -> Other or unknown race and ethnicity,Both sexes,All fields,All S&E,Science,Agricultural sciences,U.S. citizen and permanent resident,Not Hispanic or Latino,Other or unknown race and ethnicity,,,8,884,1016,1220,1295,1262,1199,1133,1029,981,934,838
3259,r053,Both sexes -> All fields -> All S&E -> Science -> Agricultural sciences -> Temporary resident,Both sexes,All fields,All S&E,Science,Agricultural sciences,Temporary resident,,,,,6,228,243,289,342,374,515,569,604,663,714,853
3259,r054,Both sexes -> All fields -> All S&E -> Science -> Biological sciences,Both sexes,All fields,All S&E,Science,Biological sciences,,,,,,5,82398,85574,89615,93654,99894,104703,109520,115124,119073,121742,125068
3259,r055,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,,,,,6,80068,83145,87060,90873,97024,101663,106601,112089,115673,118051,121027
3259,r056,Both sexes -> All fields -> All S&E -> Science -> Biological sciences -> U.S. citizen and permanent resident -> Hispanic or Latino<sup>a</sup>,Both sexes,All fields,All S&E,Science,Biological sciences,U.S. citizen and permanent resident,Hispanic or Latino<sup>a</sup>,,,,7,5995,6384,7124,7761,8891,10081,11542,13171,14571,15361,17633
