table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
10325,r001,All locations,All locations,,,1,122985,127927,125846,113002,115508,125737,138170,162959,189398
10325,r002,All locations -> Alabama,All locations,Alabama,,2,4716,4484,4538,4354,8663,5174,5414,3070,3967
10325,r003,All locations -> Alaska,All locations,Alaska,,2,185,137,208,212,280,300,334,279,323
10325,r004,All locations -> Arizona,All locations,Arizona,,2,2369,1606,1644,1549,1199,1737,2001,1939,1663
10325,r005,All locations -> Arkansas,All locations,Arkansas,,2,167,191,106,308,170,206,179,501,300
10325,r006,All locations -> California,All locations,California,,2,16181,15799,15281,15756,15887,17237,19159,22464,22618
10325,r007,All locations -> Colorado,All locations,Colorado,,2,3394,3611,3506,4183,3396,4917,5268,5024,6230
10325,r008,All locations -> Connecticut,All locations,Connecticut,,2,2517,2287,2293,2366,2349,2568,2673,2566,2597
10325,r009,All locations -> Delaware,All locations,Delaware,,2,112,130,108,142,169,162,163,222,307
10325,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,3908,3980,4222,4204,4867,6158,6228,16315,39039
10325,r011,All locations -> Florida,All locations,Florida,,2,2282,2448,2933,2782,2880,3179,3892,4061,4095
10325,r012,All locations -> Georgia,All locations,Georgia,,2,1130,1253,1182,1301,1285,1350,1504,1913,1654
10325,r013,All locations -> Hawaii,All locations,Hawaii,,2,348,326,305,284,275,441,412,394,486
10325,r014,All locations -> Idaho,All locations,Idaho,,2,381,598,533,568,679,824,920,840,672
10325,r015,All locations -> Illinois,All locations,Illinois,,2,2327,2369,2483,3922,2553,2911,2998,3209,3533
10325,r016,All locations -> Indiana,All locations,Indiana,,2,693,771,678,719,690,781,894,1104,1081
10325,r017,All locations -> Iowa,All locations,Iowa,,2,560,512,567,496,520,525,518,702,686
10325,r018,All locations -> Kansas,All locations,Kansas,,2,234,187,194,188,212,233,283,352,414
