table_id,row_id,country_or_region_full_path,country_or_region_level_1,country_or_region_level_2,country_or_region_level_3,country_or_region_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
6208,r001,Total,Total,,,1,311,362,108,146,196,252,403,323,777,532,726,1779,1760,3251,9844,12664,22117,26972,46015,38151,54194
6208,r002,Total -> North America,Total,North America,,2,272,320,89,126,160,192,191,221,654,497,610,1412,1347,2674,8319,8908,14873,10249,20074,22443,28492
6208,r003,Total -> North America -> United States,Total,North America,United States,3,272,310,89,125,160,190,180,197,614,484,598,1374,1292,2595,8240,8701,14525,9745,19110,21288,27599
6208,r004,Total -> North America -> Canada,Total,North America,Canada,3,NA,10,NA,1,NA,2,11,24,40,14,12,38,55,78,77,202,310,492,955,1147,877
6208,r005,Total -> Asia,Total,Asia,,2,2,20,1,12,9,3,148,6,31,13,55,226,117,188,1007,2764,5709,14050,21873,9901,18884
6208,r006,Total -> Asia -> China,Total,Asia,China,3,2,7,1,12,2,3,134,1,19,5,47,187,44,109,869,2358,5323,13393,20527,7689,16923
6208,r007,Total -> Asia -> Japan,Total,Asia,Japan,3,NA,NA,1,NA,NA,NA,NA,1,7,2,0,8,7,26,34,81,165,255,360,793,457
6208,r008,Total -> Asia -> India,Total,Asia,India,3,NA,6,NA,NA,7,0,10,NA,2,5,7,15,13,3,28,62,99,64,227,439,427
6208,r009,Total -> Europe,Total,Europe,,2,36,21,14,2,27,46,41,90,60,22,55,101,236,287,398,715,1112,1941,2925,4264,4900
6208,r010,Total -> Central America,Total,Central America,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,3
6208,r011,Total -> South America,Total,South America,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,4,113,54,110,146
6208,r012,Total -> Africa,Total,Africa,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,2,13,6,80,192,58
6208,r013,Total -> Middle East,Total,Middle East,,2,0,1,2,3,NA,4,23,7,32,1,2,34,57,101,114,264,380,577,920,1118,1545
6208,r014,Total -> Oceania,Total,Oceania,,2,NA,NA,2,3,NA,6,NA,NA,NA,NA,4,6,2,1,5,10,27,36,90,123,166
