table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total_number,field_total_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_not_hispanic_or_latino_asian_number,field_not_hispanic_or_latino_asian_percent,field_not_hispanic_or_latino_black_or_african_american_number,field_not_hispanic_or_latino_black_or_african_american_percent,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_not_hispanic_or_latino_white_number,field_not_hispanic_or_latino_white_percent,field_not_hispanic_or_latino_more_than_one_race_number,field_not_hispanic_or_latino_more_than_one_race_percent,field_unknown_ethnicity_and_race_number,field_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
6080,r001,All graduate students,All graduate students,,,,1,697813,100.0,62679,100.0,2042,100.0,53094,100.0,41916,100.0,778,100.0,284055,100.0,17579,100.0,24908,100.0,210762,100.0
6080,r002,All graduate students -> Science,All graduate students,Science,,,2,464646,66.6,43705,69.7,1468,71.9,34812,65.6,29051,69.3,553,71.1,195406,68.8,12244,69.7,17720,71.1,129687,61.5
6080,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,10800,1.5,823,1.3,27,1.3,335,0.6,378,0.9,15,1.9,5743,2.0,231,1.3,292,1.2,2956,1.4
6080,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,94825,13.6,9442,15.1,297,14.5,9520,17.9,6049,14.4,137,17.6,44974,15.8,2851,16.2,3447,13.8,18108,8.6
6080,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,98864,14.2,4989,8.0,127,6.2,10699,20.2,5639,13.5,70,9.0,25311,8.9,1789,10.2,3172,12.7,47068,22.3
6080,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,11792,1.7,943,1.5,31,1.5,387,0.7,267,0.6,8,1.0,7036,2.5,366,2.1,391,1.6,2363,1.1
6080,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,31971,4.6,1864,3.0,36,1.8,2575,4.8,777,1.9,12,1.5,10392,3.7,546,3.1,948,3.8,14821,7.0
6080,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,14533,2.1,1333,2.1,29,1.4,1281,2.4,955,2.3,17,2.2,6008,2.1,370,2.1,513,2.1,4027,1.9
6080,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,12498,1.8,1156,1.8,123,6.0,368,0.7,404,1.0,33,4.2,8017,2.8,387,2.2,413,1.7,1597,0.8
6080,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,42616,6.1,3029,4.8,79,3.9,2496,4.7,1096,2.6,17,2.2,17935,6.3,946,5.4,1149,4.6,15869,7.5
