table_id,row_id,_b_field_and_primary_source_of_support_b_full_path,_b_field_and_primary_source_of_support_b_level_1,_b_field_and_primary_source_of_support_b_level_2,_b_field_and_primary_source_of_support_b_level_3,_b_field_and_primary_source_of_support_b_level_4,_b_field_and_primary_source_of_support_b_hierarchy_depth,field_totala,field_sex_male,field_sex_female,field_citizenship_status_u_s_citizen_or_permanent_resident,field_citizenship_status_temporary_visa_holder,field_u_s_citizens_and_permanent_residents_hispanic_or_latino,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_other_race_or_race_not_reported,field_u_s_citizens_and_permanent_residents_ethnicity_not_reported
7550,r001,All doctorate recipients (number),All doctorate recipients (number),,,,1,52250,28082,24156,31674,17638,2856,100,3022,2431,21333,1088,376,468
7550,r002,"All doctorate recipients reporting primary source of support, all fields (number)","All doctorate recipients reporting primary source of support, all fields (number)",,,,1,46056,24907,21147,29394,16399,2620,87,2848,2202,20144,1036,286,171
7550,r003,"All doctorate recipients reporting primary source of support, all fields (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Teaching assistantships,,,2,21.3,21.9,20.5,19.5,24.4,18.4,10.3,17.0,10.6,21.0,18.9,21.3,23.4
7550,r004,"All doctorate recipients reporting primary source of support, all fields (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Research assistantships or traineeships<sup>b</sup>,,,2,34.7,39.9,28.6,27.6,47.4,20.6,13.8,35.1,13.2,29.4,23.9,24.1,21.1
7550,r005,"All doctorate recipients reporting primary source of support, all fields (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)","Fellowships, scholarships, or dissertation grants",,,2,24.2,22.5,26.3,27.0,19.4,34.4,36.8,31.6,25.8,25.1,33.7,25.9,24.0
7550,r006,"All doctorate recipients reporting primary source of support, all fields (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Own resources,,,2,15.3,11.1,20.2,21.3,4.4,23.2,33.3,13.4,44.3,19.6,20.7,22.4,26.3
7550,r007,"All doctorate recipients reporting primary source of support, all fields (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Employer or other sources,,,2,4.5,4.7,4.4,4.6,4.5,3.4,5.7,2.9,6.0,4.8,2.8,6.3,5.3
7550,r008,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),,,2,36741,20930,15809,22312,14223,1993,59,2400,1339,15389,798,213,121
7550,r009,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Teaching assistantships,,3,20.2,21.0,19.2,17.9,23.9,16.8,,15.2,11.2,19.1,16.3,,22.3
7550,r010,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Research assistantships or traineeships<sup>b</sup>,,3,40.8,45.5,34.7,33.8,51.7,25.0,,39.8,17.3,35.9,29.2,,27.3
7550,r011,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),"Fellowships, scholarships, or dissertation grants",,3,23.9,21.5,27.1,28.5,16.9,37.9,37.3,31.5,32.0,26.1,35.8,27.7,23.1
7550,r012,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Own resources,,3,11.1,7.8,15.5,16.2,3.2,17.6,27.1,10.9,35.9,15.0,16.4,15.5,21.5
7550,r013,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Employer or other sources,,3,3.9,4.2,3.5,3.6,4.4,2.7,6.8,2.6,3.7,3.9,2.3,6.1,5.8
7550,r014,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Agricultural sciences and natural resources (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Agricultural sciences and natural resources (number),,3,1072,527,545,634,436,39,,39,25,502,11,,6
7550,r015,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Agricultural sciences and natural resources (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Agricultural sciences and natural resources (number),Teaching assistantships,4,12.0,9.9,14.1,11.8,12.2,,0.0,,,11.8,,12.5,33.3
7550,r016,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Agricultural sciences and natural resources (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Agricultural sciences and natural resources (number),Research assistantships or traineeships<sup>b</sup>,4,52.0,54.5,49.5,49.4,56.0,46.2,0.0,53.8,28.0,51.4,45.5,50.0,0.0
7550,r017,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Agricultural sciences and natural resources (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Agricultural sciences and natural resources (number),"Fellowships, scholarships, or dissertation grants",4,20.0,18.6,21.3,20.2,19.7,25.6,,,28.0,18.9,,,16.7
7550,r018,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Agricultural sciences and natural resources (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Agricultural sciences and natural resources (number),Own resources,4,9.4,8.3,10.5,13.9,2.8,,0.0,15.4,,12.7,,0.0,50.0
7550,r019,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Agricultural sciences and natural resources (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Agricultural sciences and natural resources (number),Employer or other sources,4,6.6,8.7,4.6,4.7,9.4,5.1,25.0,0.0,4.0,5.2,0.0,0.0,0.0
7550,r020,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Biological and biomedical sciences (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Biological and biomedical sciences (number),,3,7515,3581,3934,5542,1940,529,12,659,252,3820,204,41,25
7550,r021,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Biological and biomedical sciences (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Biological and biomedical sciences (number),Teaching assistantships,4,13.8,15.0,12.8,12.8,17.0,10.8,,7.9,,14.3,9.3,9.8,16.0
7550,r022,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Biological and biomedical sciences (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Biological and biomedical sciences (number),Research assistantships or traineeships<sup>b</sup>,4,38.3,38.8,37.9,35.3,47.0,29.3,,35.7,,37.2,28.4,29.3,28.0
7550,r023,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Biological and biomedical sciences (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Biological and biomedical sciences (number),"Fellowships, scholarships, or dissertation grants",4,37.4,36.0,38.7,40.9,27.6,52.0,41.7,44.9,54.0,37.2,52.9,43.9,36.0
7550,r024,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Biological and biomedical sciences (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Biological and biomedical sciences (number),Own resources,4,7.2,6.8,7.5,8.8,2.7,6.6,,9.1,,8.9,6.9,9.8,12.0
7550,r025,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Biological and biomedical sciences (number) -> Employer or other sources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Biological and biomedical sciences (number),Employer or other sources,4,3.2,3.4,3.1,2.3,5.8,1.3,0.0,2.4,2.0,2.4,2.5,7.3,8.0
7550,r026,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Computer and information sciences (number)","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Computer and information sciences (number),,3,1913,1458,455,661,1233,30,0,131,35,425,26,11,3
7550,r027,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Computer and information sciences (number) -> Teaching assistantships","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Computer and information sciences (number),Teaching assistantships,4,17.1,15.7,21.8,13.5,19.2,,0.0,17.6,,13.4,,18.2,0.0
7550,r028,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Computer and information sciences (number) -> Research assistantships or traineeships<sup>b</sup>","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Computer and information sciences (number),Research assistantships or traineeships<sup>b</sup>,4,57.9,60.8,48.4,45.4,64.6,26.7,0.0,45.8,25.7,48.0,46.2,45.5,66.7
7550,r029,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Computer and information sciences (number) -> Fellowships, scholarships, or dissertation grants","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Computer and information sciences (number),"Fellowships, scholarships, or dissertation grants",4,13.8,12.3,18.5,19.7,10.7,33.3,0.0,21.4,25.7,17.9,19.2,18.2,0.0
7550,r030,"All doctorate recipients reporting primary source of support, all fields (number) -> Science and engineering (number) -> Computer and information sciences (number) -> Own resources","All doctorate recipients reporting primary source of support, all fields (number)",Science and engineering (number),Computer and information sciences (number),Own resources,4,6.4,5.8,8.1,14.5,1.9,,0.0,9.9,,13.2,,9.1,0.0
