table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_institution_funds,field_source_of_funds_business,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_sources
5413,r001,All HBCUs,All HBCUs,,1,-,"['501,742', '']","['359,379', '']","['41,711', '']","['84,299', '']","['5,203', '']","['7,939', '']","['3,211', '']"
5413,r002,All HBCUs -> Howard U.,All HBCUs,Howard U.,2,1,"['44,933', '']","['29,256', '']","['1,353', '']","['10,860', '']","['2,721', '']","['743', '']","['0', '']"
5413,r003,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,2,"['41,319', '']","['33,136', '']","['2,561', '']","['4,997', '']","['550', '']","['75', '']","['0', '']"
5413,r004,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,3,"['36,151', '']","['22,338', '']","['369', '']","['12,766', '']","['73', '']","['311', '']","['294', '']"
5413,r005,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,4,"['29,813', '']","['22,500', '']","['273', '']","['5,504', '']","['0', '']","['1,536', '']","['0', '']"
5413,r006,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,5,"['23,876', 'i']","['12,689', 'i']","['514', 'i']","['10,647', 'i']","['26', 'i']","['0', 'i']","['0', 'i']"
5413,r007,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,6,"['20,973', '']","['15,122', '']","['2,624', '']","['2,706', '']","['0', '']","['0', '']","['521', '']"
5413,r008,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,7,"['18,723', '']","['9,249', '']","['4,754', '']","['4,309', '']","['212', '']","['199', '']","['0', '']"
5413,r009,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,8,"['17,193', '']","['14,101', '']","['2,263', '']","['336', '']","['226', '']","['267', '']","['0', '']"
5413,r010,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,9,"['15,833', '']","['12,787', '']","['116', '']","['NA', '']","['137', '']","['1,194', '']","['1,599', '']"
5413,r011,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,10,"['15,377', '']","['8,707', '']","['467', '']","['6,141', '']","['44', '']","['18', '']","['0', '']"
5413,r012,All HBCUs -> Jackson State U.,All HBCUs,Jackson State U.,2,11,"['15,081', '']","['13,662', '']","['0', '']","['1,226', '']","['0', '']","['183', '']","['10', '']"
5413,r013,All HBCUs -> Langston U.,All HBCUs,Langston U.,2,12,"['14,409', '']","['9,004', '']","['4', '']","['5,374', '']","['27', '']","['0', '']","['0', '']"
5413,r014,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,13,"['13,870', '']","['12,573', '']","['0', '']","['315', '']","['3', '']","['979', '']","['0', '']"
5413,r015,All HBCUs -> Alcorn State U.,All HBCUs,Alcorn State U.,2,14,"['13,710', '']","['7,023', '']","['4,519', '']","['2,110', '']","['56', '']","['2', '']","['0', '']"
5413,r016,All HBCUs -> U. of the Virgin Islands,All HBCUs,U. of the Virgin Islands,2,15,"['13,631', '']","['11,787', '']","['1,700', '']","['26', '']","['0', '']","['118', '']","['0', '']"
5413,r017,All HBCUs -> Hampton U.,All HBCUs,Hampton U.,2,16,"['11,402', '']","['11,278', '']","['0', '']","['124', '']","['0', '']","['0', '']","['0', '']"
5413,r018,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,17,"['11,387', '']","['9,680', '']","['775', '']","['879', '']","['0', '']","['53', '']","['0', '']"
5413,r019,All HBCUs -> Virginia State U.,All HBCUs,Virginia State U.,2,18,"['10,014', '']","['5,642', '']","['1,431', '']","['2,061', '']","['0', '']","['879', '']","['1', '']"
5413,r020,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,19,"['8,749', '']","['5,643', '']","['2,541', '']","['448', '']","['117', '']","['0', '']","['0', '']"
5413,r021,"All HBCUs -> U. Arkansas, Pine Bluff",All HBCUs,"U. Arkansas, Pine Bluff",2,20,"['8,540', '']","['4,393', '']","['1,748', '']","['2,309', '']","['0', '']","['90', '']","['0', '']"
5413,r022,All HBCUs -> Clark Atlanta U.,All HBCUs,Clark Atlanta U.,2,21,"['8,452', '']","['5,324', '']","['0', '']","['3,016', '']","['47', '']","['65', '']","['0', '']"
5413,r023,"All HBCUs -> U. Maryland, Eastern Shore",All HBCUs,"U. Maryland, Eastern Shore",2,22,"['8,092', '']","['8,084', '']","['0', '']","['0', '']","['8', '']","['0', '']","['0', '']"
5413,r024,All HBCUs -> Kentucky State U.,All HBCUs,Kentucky State U.,2,23,"['7,963', '']","['4,456', '']","['3,294', '']","['0', '']","['142', '']","['71', '']","['0', '']"
5413,r025,All HBCUs -> Norfolk State U.,All HBCUs,Norfolk State U.,2,24,"['7,153', '']","['7,148', '']","['0', '']","['5', '']","['0', '']","['0', '']","['0', '']"
5413,r026,All HBCUs -> Central State U.,All HBCUs,Central State U.,2,25,"['6,107', '']","['3,097', '']","['1,861', '']","['1,149', '']","['0', '']","['0', '']","['0', '']"
5413,r027,All HBCUs -> Winston-Salem State U.,All HBCUs,Winston-Salem State U.,2,26,"['5,781', '']","['4,498', '']","['57', '']","['NA', '']","['0', '']","['818', '']","['408', '']"
5413,r028,"All HBCUs -> Lincoln U., Jefferson City",All HBCUs,"Lincoln U., Jefferson City",2,27,"['5,777', '']","['3,636', '']","['2,141', '']","['NA', '']","['0', '']","['0', '']","['0', '']"
5413,r029,All HBCUs -> West Virginia State U.,All HBCUs,West Virginia State U.,2,28,"['5,775', '']","['3,993', '']","['1,592', '']","['159', '']","['31', '']","['0', '']","['0', '']"
5413,r030,All HBCUs -> Fort Valley State U.,All HBCUs,Fort Valley State U.,2,29,"['4,921', '']","['4,806', '']","['0', '']","['115', '']","['0', '']","['0', '']","['0', '']"
5413,r031,All HBCUs -> Morehouse C.,All HBCUs,Morehouse C.,2,30,"['4,825', '']","['4,825', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5413,r032,All HBCUs -> Texas Southern U.,All HBCUs,Texas Southern U.,2,31,"['4,782', '']","['2,941', '']","['1,048', '']","['789', '']","['0', '']","['4', '']","['0', '']"
5413,r033,All HBCUs -> U. of the District of Columbia,All HBCUs,U. of the District of Columbia,2,32,"['4,590', '']","['2,664', '']","['0', '']","['1,922', '']","['0', '']","['0', '']","['4', '']"
5413,r034,"All HBCUs -> Southern U. and A&M C., Agricultural Research and Extension Center",All HBCUs,"Southern U. and A&M C., Agricultural Research and Extension Center",2,33,"['4,475', '']","['2,085', '']","['2,338', '']","['52', '']","['0', '']","['0', '']","['0', '']"
5413,r035,All HBCUs -> Fisk U.,All HBCUs,Fisk U.,2,34,"['3,904', '']","['3,811', '']","['15', '']","['0', '']","['16', '']","['62', '']","['0', '']"
5413,r036,"All HBCUs -> Southern U. and A&M C., Baton Rouge",All HBCUs,"Southern U. and A&M C., Baton Rouge",2,35,"['3,849', '']","['2,996', '']","['23', '']","['441', '']","['389', '']","['0', '']","['0', '']"
5413,r037,All HBCUs -> South Carolina State U.,All HBCUs,South Carolina State U.,2,36,"['3,796', 'i']","['3,796', 'i']","['NA', '']","['NA', '']","['NA', '']","['NA', '']","['NA', '']"
5413,r038,All HBCUs -> Fayetteville State U.,All HBCUs,Fayetteville State U.,2,37,"['2,797', '']","['1,008', '']","['421', '']","['1,185', '']","['123', '']","['60', '']","['0', '']"
5413,r039,All HBCUs -> Spelman C.,All HBCUs,Spelman C.,2,38,"['2,750', '']","['2,136', '']","['0', '']","['477', '']","['137', '']","['0', '']","['0', '']"
5413,r040,All HBCUs -> Alabama State U.,All HBCUs,Alabama State U.,2,39,"['2,582', '']","['2,582', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5413,r041,All HBCUs -> Dillard U.,All HBCUs,Dillard U.,2,40,"['2,523', '']","['1,200', '']","['87', '']","['771', '']","['0', '']","['98', '']","['367', '']"
5413,r042,All HBCUs -> Johnson C. Smith U.,All HBCUs,Johnson C. Smith U.,2,41,"['2,472', '']","['2,230', '']","['132', '']","['0', '']","['10', '']","['100', '']","['0', '']"
5413,r043,All HBCUs -> Grambling State U.,All HBCUs,Grambling State U.,2,42,"['2,427', '']","['787', '']","['560', '']","['1,080', '']","['0', '']","['0', '']","['0', '']"
5413,r044,All HBCUs -> Tougaloo C.,All HBCUs,Tougaloo C.,2,43,"['2,102', '']","['2,102', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5413,r045,All HBCUs -> Bowie State U.,All HBCUs,Bowie State U.,2,44,"['1,967', '']","['1,967', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5413,r046,All HBCUs -> Claflin U.,All HBCUs,Claflin U.,2,45,"['1,910', '']","['1,907', '']","['0', '']","['0', '']","['0', '']","['3', '']","['0', '']"
5413,r047,All HBCUs -> Savannah State U.,All HBCUs,Savannah State U.,2,46,"['1,804', '']","['1,804', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
5413,r048,All HBCUs -> Elizabeth City State U.,All HBCUs,Elizabeth City State U.,2,47,"['1,473', '']","['1,455', '']","['11', '']","['NA', '']","['0', '']","['0', '']","['7', '']"
5413,r049,All HBCUs -> Albany State U.,All HBCUs,Albany State U.,2,48,"['1,060', '']","['836', '']","['116', '']","['0', '']","['108', '']","['0', '']","['0', '']"
5413,r050,All HBCUs -> Benedict C.,All HBCUs,Benedict C.,2,49,"['649', '']","['635', '']","['3', '']","['0', '']","['0', '']","['11', '']","['0', '']"
