table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
11282,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['4,874,928', '&nbsp;']","['3,684,738', '&nbsp;']","['976,962', '&nbsp;']","['179,559', '&nbsp;']","['33,666', '&nbsp;']"
11282,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['209,282', '&nbsp;']","['119,069', '&nbsp;']","['65,537', '&nbsp;']","['19,653', '&nbsp;']","['5,022', '&nbsp;']"
11282,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['19,326', '&nbsp;']","['9,962', '&nbsp;']","['6,696', '&nbsp;']","['2,008', '&nbsp;']","['659', '&nbsp;']"
11282,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['9,354', '&nbsp;']","['4,804', '&nbsp;']","['3,847', '&nbsp;']","['582', '&nbsp;']","['120', '&nbsp;']"
11282,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['9,443', '&nbsp;']","['6,485', '&nbsp;']","['2,316', '&nbsp;']","['516', '&nbsp;']","['125', '&nbsp;']"
11282,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['9,546', '&nbsp;']","['4,917', '&nbsp;']","['3,627', '&nbsp;']","['761', '&nbsp;']","['238', '&nbsp;']"
11282,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['1,500', '&nbsp;']","['474', '&nbsp;']","['641', '&nbsp;']","['279', '&nbsp;']","['107', '&nbsp;']"
11282,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['20,212', '&nbsp;']","['14,910', '&nbsp;']","['4,274', '&nbsp;']","['869', '&nbsp;']","['158', '&nbsp;']"
11282,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['546', '&nbsp;']","['236', '&nbsp;']","['247', '&nbsp;']","['25', '&nbsp;']","['38', '&nbsp;']"
11282,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['7,961', '&nbsp;']","['4,015', '&nbsp;']","['2,304', '&nbsp;']","['1,137', '&nbsp;']","['506', '&nbsp;']"
11282,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['580', '&nbsp;']","['324', '&nbsp;']","['150', '&nbsp;']","['100', 'r']","['5', 'r']"
11282,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,536', '&nbsp;']","['760', '&nbsp;']","['430', '&nbsp;']","['216', '&nbsp;']","['129', '&nbsp;']"
11282,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['1,652', '&nbsp;']","['996', '&nbsp;']","['364', '&nbsp;']","['151', '&nbsp;']","['142', 'r']"
11282,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['4,194', '&nbsp;']","['1,933', '&nbsp;']","['1,362', '&nbsp;']","['671', '&nbsp;']","['227', '&nbsp;']"
11282,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['7,060', '&nbsp;']","['2,663', '&nbsp;']","['2,707', '&nbsp;']","['1,292', '&nbsp;']","['399', '&nbsp;']"
11282,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['7,290', '&nbsp;']","['3,486', '&nbsp;']","['2,821', '&nbsp;']","['825', '&nbsp;']","['155', '&nbsp;']"
11282,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['2,079', '&nbsp;']","['707', '&nbsp;']","['763', '&nbsp;']","['387', '&nbsp;']","['223', '&nbsp;']"
11282,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['46,128', '&nbsp;']","['26,231', '&nbsp;']","['15,085', '&nbsp;']","['4,317', '&nbsp;']","['495', '&nbsp;']"
11282,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,440', '&nbsp;']","['8,007', '&nbsp;']","['5,934', '&nbsp;']","['2,032', '&nbsp;']","['468', '&nbsp;']"
11282,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,527', '&nbsp;']","['4,528', '&nbsp;']","['2,527', '&nbsp;']","['1,123', '&nbsp;']","['350', '&nbsp;']"
11282,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['850', '&nbsp;']","['459', '&nbsp;']","['269', '&nbsp;']","['101', '&nbsp;']","['24', '&nbsp;']"
11282,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['2,711', '&nbsp;']","['1,282', '&nbsp;']","['867', '&nbsp;']","['391', '&nbsp;']","['170', '&nbsp;']"
