table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2021_actuala,field_2022_preliminaryb,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8441,r001,R&D and R&D plant,R&D and R&D plant,,,1,161885,169937,191479,5.0,12.7
8441,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,78368,80425,90103,2.6,12.0
8441,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,41090,42116,48326,2.5,14.7
8441,r004,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,14150,14563,16041,2.9,10.1
8441,r005,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,11566,11923,12778,3.1,7.2
8441,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,4529,8036,9331,77.4,16.1
8441,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,3637,3977,4668,9.3,17.4
8441,r008,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,2800,2764,3474,-1.3,25.7
8441,r009,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1720,1931,2189,12.3,13.4
8441,r010,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,1436,1436,1655,0.0,15.3
8441,r011,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,1081,962,1339,-11.0,39.2
8441,r012,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,588,731,740,24.3,1.2
8441,r013,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,475,629,486,32.4,-22.7
8441,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,230,233,228,1.3,-2.1
8441,r015,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,104,102,25,-1.9,-75.5
8441,r016,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,91,90,90,-1.1,0.0
8441,r017,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,20,20,7,0.0,-65.0
8441,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,157611,165292,186738,4.9,13.0
8441,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,77219,79387,89120,2.8,12.3
8441,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,40877,41824,47984,2.3,14.7
8441,r021,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,12118,12304,14027,1.5,14.0
8441,r022,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,11512,11866,12670,3.1,6.8
8441,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,4381,7751,8989,76.9,16.0
8441,r024,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,3395,3644,4294,7.3,17.8
8441,r025,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,2556,2575,3130,0.7,21.6
8441,r026,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,1685,1892,2148,12.3,13.5
8441,r027,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,1436,1436,1655,0.0,15.3
8441,r028,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,958,845,1182,-11.8,39.9
8441,r029,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,554,695,704,25.5,1.3
8441,r030,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,475,629,486,32.4,-22.7
8441,r031,R&D and R&D plant -> R&D -> International affairs,R&D and R&D plant,R&D,International affairs,3,230,233,228,1.3,-2.1
8441,r032,R&D and R&D plant -> R&D -> Community and regional development,R&D and R&D plant,R&D,Community and regional development,3,104,102,25,-1.9,-75.5
8441,r033,R&D and R&D plant -> R&D -> Income security,R&D and R&D plant,R&D,Income security,3,91,90,90,-1.1,0.0
8441,r034,R&D and R&D plant -> R&D -> Medicare,R&D and R&D plant,R&D,Medicare,3,20,20,7,0.0,-65.0
8441,r035,R&D and R&D plant -> R&D plant,R&D and R&D plant,R&D plant,,2,4274,4645,4741,8.7,2.1
8441,r036,R&D and R&D plant -> R&D plant -> National defense,R&D and R&D plant,R&D plant,National defense,3,1149,1038,983,-9.7,-5.3
8441,r037,R&D and R&D plant -> R&D plant -> Health,R&D and R&D plant,R&D plant,Health,3,213,292,342,37.1,17.1
8441,r038,R&D and R&D plant -> R&D plant -> General science and basic research,R&D and R&D plant,R&D plant,General science and basic research,3,2032,2259,2014,11.2,-10.8
8441,r039,"R&D and R&D plant -> R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,R&D plant,"Space flight, research, and supporting activities",3,54,57,108,5.6,89.5
8441,r040,R&D and R&D plant -> R&D plant -> Energy,R&D and R&D plant,R&D plant,Energy,3,148,285,342,92.6,20.0
8441,r041,R&D and R&D plant -> R&D plant -> Natural resources and environment,R&D and R&D plant,R&D plant,Natural resources and environment,3,242,333,374,37.6,12.3
8441,r042,R&D and R&D plant -> R&D plant -> Agriculture,R&D and R&D plant,R&D plant,Agriculture,3,244,189,344,-22.5,82.0
8441,r043,R&D and R&D plant -> R&D plant -> Transportation,R&D and R&D plant,R&D plant,Transportation,3,35,39,41,11.4,5.1
8441,r044,R&D and R&D plant -> R&D plant -> Veterans benefits and services,R&D and R&D plant,R&D plant,Veterans benefits and services,3,0,0,0,-,-
8441,r045,R&D and R&D plant -> R&D plant -> Commerce and housing credit,R&D and R&D plant,R&D plant,Commerce and housing credit,3,123,117,157,-4.9,34.2
8441,r046,"R&D and R&D plant -> R&D plant -> Education, training, employment, and social services",R&D and R&D plant,R&D plant,"Education, training, employment, and social services",3,34,36,36,5.9,0.0
8441,r047,R&D and R&D plant -> R&D plant -> Administration of justice,R&D and R&D plant,R&D plant,Administration of justice,3,0,0,0,-,-
8441,r048,R&D and R&D plant -> R&D plant -> International affairs,R&D and R&D plant,R&D plant,International affairs,3,0,0,0,-,-
8441,r049,R&D and R&D plant -> R&D plant -> Community and regional development,R&D and R&D plant,R&D plant,Community and regional development,3,0,0,0,-,-
8441,r050,R&D and R&D plant -> R&D plant -> Income security,R&D and R&D plant,R&D plant,Income security,3,0,0,0,-,-
8441,r051,R&D and R&D plant -> R&D plant -> Medicare,R&D and R&D plant,R&D plant,Medicare,3,0,0,0,-,-
