table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_hierarchy_depth,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011a,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
9326,r001,All FFRDCs,All FFRDCs,,1,"['10,071,307', '']","['11,536,424', '']","['12,126,880', '']","['12,632,207', '']","['13,254,522', '']","['13,218,497', '']","['13,824,987', '']","['15,616,390', '']","['16,390,111', '']","['18,880,609', '']","['18,671,245', '']","['18,280,943', '']","['17,667,184', '']","['17,718,556', '']","['18,458,257', '']","['19,219,702', '']","['20,038,307', '']","['21,171,529', '']","['22,737,500', '']","['23,514,241', '']","['24,921,476', '']","['26,524,014', '']"
9326,r002,All FFRDCs -> Aerospace Federally Funded Research and Development Center<sup>b</sup>,All FFRDCs,Aerospace Federally Funded Research and Development Center<sup>b</sup>,2,"['17,600', '']","['26,306', '']","['32,745', '']","['32,529', '']","['32,500', '']","['34,200', '']","['36,490', '']","['38,940', '']","['41,470', '']","['880,653', '']","['908,458', '']","['874,653', '']","['835,068', '']","['838,708', '']","['888,119', '']","['909,868', '']","['942,704', '']","['1,020,827', '']","['1,065,989', '']","['1,114,741', '']","['1,128,241', '']","['1,152,833', '']"
9326,r003,All FFRDCs -> Ames Laboratory,All FFRDCs,Ames Laboratory,2,"['22,916', '']","['23,416', '']","['25,213', '']","['27,227', '']","['29,293', '']","['26,460', '']","['25,254', '']","['27,306', '']","['29,012', '']","['30,836', '']","['32,442', '']","['33,853', '']","['34,234', '']","['41,824', '']","['45,845', '']","['46,886', '']","['53,527', '']","['36,858', '']","['33,612', '']","['32,844', '']","['34,214', '']","['38,520', '']"
9326,r004,All FFRDCs -> Argonne National Laboratory,All FFRDCs,Argonne National Laboratory,2,"['478,391', '']","['506,666', '']","['500,828', '']","['520,881', '']","['482,051', '']","['472,961', '']","['489,684', '']","['533,530', '']","['543,169', '']","['650,504', '']","['710,435', '']","['679,387', '']","['708,501', '']","['719,459', '']","['719,521', '']","['733,377', '']","['723,824', '']","['777,246', '']","['810,693', '']","['859,658', '']","['856,568', '']","['962,973', '']"
9326,r005,All FFRDCs -> Arroyo Center,All FFRDCs,Arroyo Center,2,"['24,317', '']","['24,484', '']","['27,889', '']","['26,101', '']","['28,152', '']","['24,518', '']","['25,195', '']","['23,852', '']","['27,692', '']","['28,647', '']","['32,180', '']","['31,278', '']","['32,789', '']","['33,391', '']","['40,594', '']","['44,616', '']","['42,723', '']","['39,738', '']","['37,956', '']","['35,248', '']","['38,304', '']","['40,856', '']"
9326,r006,All FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Brookhaven National Laboratory,2,"['454,500', '']","['454,482', '']","['452,728', '']","['450,342', '']","['483,039', '']","['490,686', '']","['510,212', '']","['480,455', '']","['569,240', '']","['535,546', '']","['526,571', '']","['516,921', '']","['529,634', '']","['573,364', '']","['587,194', '']","['579,087', '']","['556,875', '']","['552,640', '']","['590,470', '']","['595,466', '']","['637,658', '']","['655,988', '']"
9326,r007,All FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Center for Advanced Aviation System Development,2,"['5,683', '']","['6,256', '']","['6,633', '']","['6,462', '']","['6,429', '']","['6,601', '']","['7,290', '']","['126,171', '']","['133,869', '']","['149,686', '']","['165,645', '']","['159,311', '']","['146,860', '']","['149,054', '']","['155,696', '']","['156,644', '']","['168,169', '']","['177,530', '']","['174,123', '']","['180,634', '']","['230,484', '']","['189,490', '']"
9326,r008,All FFRDCs -> Center for Communications and Computing,All FFRDCs,Center for Communications and Computing,2,"['43,100', '']","['45,296', '']","['45,960', '']","['50,238', '']","['50,800', '']","['51,500', '']","['57,400', '']","['59,500', '']","['66,293', '']","['71,927', '']","['72,600', '']","['62,600', '']","['51,477', '']","['63,199', '']","['56,478', '']","['61,625', '']","['66,692', '']","['68,237', '']","['68,371', '']","['67,072', '']","['65,255', '']","['74,759', '']"
9326,r009,All FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Center for Enterprise Modernization,2,"['1,161', '']","['2,434', '']","['2,834', '']","['3,687', '']","['4,802', '']","['6,342', '']","['7,101', '']","['166,894', '']","['181,958', '']","['170,460', '']","['187,785', '']","['226,539', '']","['202,319', '']","['158,069', '']","['145,442', '']","['146,436', '']","['154,933', '']","['162,690', '']","['174,712', '']","['190,408', '']","['263,661', '']","['235,436', '']"
9326,r010,All FFRDCs -> Center for Naval Analyses,All FFRDCs,Center for Naval Analyses,2,"['69,102', '']","['72,712', '']","['75,869', '']","['79,087', '']","['83,837', '']","['87,499', '']","['99,993', '']","['106,967', '']","['109,694', '']","['109,068', '']","['85,165', '']","['91,628', '']","['86,132', '']","['80,283', '']","['80,358', '']","['84,232', '']","['90,401', '']","['95,198', '']","['96,697', '']","['95,874', '']","['96,391', '']","['93,567', '']"
