table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributed
858,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['73,691', '&nbsp;']","['289', '&nbsp;']","['1,413', '&nbsp;']","['76', '&nbsp;']","['793', '&nbsp;']","['1,873', '&nbsp;']","['1,305', '&nbsp;']","['6,265', '&nbsp;']","['187', '&nbsp;']","['5,534', '&nbsp;']","['31', '&nbsp;']","['2,684', '&nbsp;']","['809', '&nbsp;']","['105', '&nbsp;']","['1,707', '&nbsp;']","['1,148', '&nbsp;']","['970', '&nbsp;']","['199', '&nbsp;']","['748', '&nbsp;']","['3,530', '&nbsp;']","['172', '&nbsp;']","['174', '&nbsp;']","['77', '&nbsp;']","['2,277', 'i']"
858,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['51,919', '&nbsp;']","['204', '&nbsp;']","['1,197', '&nbsp;']","['45', '&nbsp;']","['669', '&nbsp;']","['1,590', '&nbsp;']","['877', '&nbsp;']","['4,633', '&nbsp;']","['129', '&nbsp;']","['2,950', '&nbsp;']","['28', '&nbsp;']","['1,962', '&nbsp;']","['788', '&nbsp;']","['53', '&nbsp;']","['1,381', '&nbsp;']","['1,043', '&nbsp;']","['767', '&nbsp;']","['175', '&nbsp;']","['536', '&nbsp;']","['2,452', '&nbsp;']","['116', '&nbsp;']","['58', '&nbsp;']","['59', '&nbsp;']","['1,422', 'i']"
858,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,232', '&nbsp;']","['9', '&nbsp;']","['73', 'i']","['1', 'i']","['25', '&nbsp;']","['22', '&nbsp;']","['59', '&nbsp;']","['59', '&nbsp;']","['6', 'i']","['11', 'i']","['5', 'i']","['39', 'i']","['3', 'i']","['3', '&nbsp;']","['19', '&nbsp;']","['5', '&nbsp;']","['7', 'i']","['7', '&nbsp;']","['24', '&nbsp;']","['*', '&nbsp;']","['3', 'i']","['5', 'i']","['2', 'i']","['176', 'i']"
858,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['13,146', '&nbsp;']","['133', '&nbsp;']","['302', '&nbsp;']","['35', '&nbsp;']","['124', '&nbsp;']","['127', '&nbsp;']","['269', '&nbsp;']","['745', '&nbsp;']","['35', '&nbsp;']","['245', '&nbsp;']","['10', '&nbsp;']","['791', '&nbsp;']","['6', '&nbsp;']","['12', '&nbsp;']","['238', '&nbsp;']","['118', '&nbsp;']","['64', '&nbsp;']","['15', '&nbsp;']","['52', '&nbsp;']","['84', '&nbsp;']","['42', '&nbsp;']","['34', '&nbsp;']","['46', '&nbsp;']","['54', 'i']"
858,r005,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['10,591', '&nbsp;']","['79', '&nbsp;']","['138', '&nbsp;']","['24', '&nbsp;']","['72', '&nbsp;']","['91', '&nbsp;']","['250', '&nbsp;']","['485', '&nbsp;']","['16', '&nbsp;']","['207', '&nbsp;']","['7', '&nbsp;']","['666', '&nbsp;']","['4', '&nbsp;']","['7', '&nbsp;']","['196', '&nbsp;']","['46', '&nbsp;']","['33', '&nbsp;']","['8', '&nbsp;']","['26', '&nbsp;']","['76', '&nbsp;']","['24', '&nbsp;']","['21', '&nbsp;']","['43', '&nbsp;']","['21', 'i']"
858,r006,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['2,555', '&nbsp;']","['53', '&nbsp;']","['164', '&nbsp;']","['11', '&nbsp;']","['51', '&nbsp;']","['36', '&nbsp;']","['19', '&nbsp;']","['260', '&nbsp;']","['19', '&nbsp;']","['38', '&nbsp;']","['2', 'i']","['125', '&nbsp;']","['2', '&nbsp;']","['5', '&nbsp;']","['42', '&nbsp;']","['72', '&nbsp;']","['31', '&nbsp;']","['7', '&nbsp;']","['27', '&nbsp;']","['8', '&nbsp;']","['18', '&nbsp;']","['13', '&nbsp;']","['4', '&nbsp;']","['33', 'i']"
858,r007,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['358', '&nbsp;']","['4', '&nbsp;']","['15', '&nbsp;']","['0', '&nbsp;']","['11', '&nbsp;']","['11', '&nbsp;']","['1', '&nbsp;']","['57', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['24', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['11', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['13', 'i']"
858,r008,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['228', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['13', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['41', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['56', '&nbsp;']","['29', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['19', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', 'i']"
858,r009,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['193', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['18', '&nbsp;']","['0', '&nbsp;']","['5', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['2', 'i']"
858,r010,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['3,292', '&nbsp;']","['2', '&nbsp;']","['64', '&nbsp;']","['*', '&nbsp;']","['13', '&nbsp;']","['91', '&nbsp;']","['74', '&nbsp;']","['345', '&nbsp;']","['5', '&nbsp;']","['112', '&nbsp;']","['0', '&nbsp;']","['52', '&nbsp;']","['7', '&nbsp;']","['11', '&nbsp;']","['109', '&nbsp;']","['15', '&nbsp;']","['25', '&nbsp;']","['1', '&nbsp;']","['8', 'i']","['66', '&nbsp;']","['6', '&nbsp;']","['3', 'i']","['*', '&nbsp;']","['352', '&nbsp;']"
