table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_expenditures_total,field_all_expenditures_public,field_all_expenditures_private,field_federal_total,field_federal_public,field_federal_private,field_nonfederal_total,field_nonfederal_public,field_nonfederal_private
5399,r001,All R&D fields,All R&D fields,,,,1,2588624,1924396,664228,1201365,845175,356190,1387259,1079221,308038
5399,r002,All R&D fields -> Science,All R&D fields,Science,,,2,1787045,1291954,495091,860070,594457,265613,926975,697497,229478
5399,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,164385,130036,34349,113808,97665,16143,50577,32371,18206
5399,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,136963,122177,14786,91416,83984,7432,45547,38193,7354
5399,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,20841,18570,2271,16572,15039,1533,4269,3531,738
5399,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,52636,43841,8795,29953,25350,4603,22683,18491,4192
5399,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,57836,55485,2351,42700,41945,755,15136,13540,1596
5399,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,5650,4281,1369,2191,1650,541,3459,2631,828
5399,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,990630,717282,273348,373658,236157,137501,616972,481125,135847
5399,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,98162,96328,1834,24075,23160,915,74087,73168,919
5399,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,455430,289571,165859,193815,107171,86644,261615,182400,79215
5399,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,382382,288594,93788,135695,91415,44280,246687,197179,49508
5399,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,11673,10686,987,4225,4140,85,7448,6546,902
5399,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,42983,32103,10880,15848,10271,5577,27135,21832,5303
5399,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,7907,3559,4348,4158,2641,1517,3749,918,2831
5399,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,409342,257972,151370,256469,158831,97638,152873,99141,53732
5399,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,35304,22769,12535,18802,11614,7188,16502,11155,5347
5399,r018,All R&D fields -> Science -> Physical sciences -> Chemistry,All R&D fields,Science,Physical sciences,Chemistry,4,136354,99008,37346,75360,53674,21686,60994,45334,15660
5399,r019,All R&D fields -> Science -> Physical sciences -> Materials science,All R&D fields,Science,Physical sciences,Materials science,4,19654,12232,7422,11453,7807,3646,8201,4425,3776
5399,r020,All R&D fields -> Science -> Physical sciences -> Physics,All R&D fields,Science,Physical sciences,Physics,4,184112,111722,72390,125708,76271,49437,58404,35451,22953
5399,r021,All R&D fields -> Science -> Physical sciences -> Physical sciences nec,All R&D fields,Science,Physical sciences,Physical sciences nec,4,33918,12241,21677,25146,9465,15681,8772,2776,5996
5399,r022,All R&D fields -> Science -> Psychology,All R&D fields,Science,Psychology,,3,22078,15368,6710,8666,6139,2527,13412,9229,4183
5399,r023,All R&D fields -> Science -> Social sciences,All R&D fields,Science,Social sciences,,3,14414,11448,2966,2767,2531,236,11647,8917,2730
5399,r024,All R&D fields -> Science -> Social sciences -> Anthropology,All R&D fields,Science,Social sciences,Anthropology,4,2843,2010,833,145,116,29,2698,1894,804
5399,r025,All R&D fields -> Science -> Social sciences -> Economics,All R&D fields,Science,Social sciences,Economics,4,2422,1659,763,167,135,32,2255,1524,731
5399,r026,All R&D fields -> Science -> Social sciences -> Political science and government,All R&D fields,Science,Social sciences,Political science and government,4,886,682,204,140,70,70,746,612,134
