table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
6630,r001,All business activities,All business activities,,1,21100–81000,"['492,956', '&nbsp;']","['428,968', '&nbsp;']","['63,989', '&nbsp;']"
6630,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['712', '&nbsp;']","['687', '&nbsp;']","['24', '&nbsp;']"
6630,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['122', '&nbsp;']","['94', '&nbsp;']","['28', '&nbsp;']"
6630,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['1,364', '&nbsp;']","['1,268', 'i']","['96', '&nbsp;']"
6630,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['274', '&nbsp;']","['236', '&nbsp;']","['38', '&nbsp;']"
6630,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['886', '&nbsp;']","['859', '&nbsp;']","['26', '&nbsp;']"
6630,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['4,199 - 6,169', '&nbsp;']","['4,200', '&nbsp;']","['0 - 1,969', '&nbsp;']"
6630,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['653', '&nbsp;']","['551', '&nbsp;']","['102', '&nbsp;']"
6630,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['189', '&nbsp;']","['180', '&nbsp;']","['9', '&nbsp;']"
6630,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['831', '&nbsp;']","['802', '&nbsp;']","['29', 'i']"
6630,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['232', '&nbsp;']","['225', '&nbsp;']","['6', '&nbsp;']"
6630,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,478', '&nbsp;']","['1,478', '&nbsp;']","['*', '&nbsp;']"
6630,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['447', '&nbsp;']","['447', '&nbsp;']","['0', '&nbsp;']"
6630,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['525 - 2,495', '&nbsp;']","['526', '&nbsp;']","['0 - 1,969', '&nbsp;']"
6630,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['110', '&nbsp;']","['110', '&nbsp;']","['0', '&nbsp;']"
6630,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['106 - 2,076', '&nbsp;']","['107', '&nbsp;']","['0 - 1,969', '&nbsp;']"
6630,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['2,639', '&nbsp;']","['2,459', '&nbsp;']","['180', '&nbsp;']"
6630,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,293', '&nbsp;']","['1,203', '&nbsp;']","['90', '&nbsp;']"
6630,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['2,094', '&nbsp;']","['1,736', '&nbsp;']","['359', '&nbsp;']"
6630,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['56,018', '&nbsp;']","['50,038', '&nbsp;']","['5,980', '&nbsp;']"
6630,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1,388', '&nbsp;']","['1,354', '&nbsp;']","['34', '&nbsp;']"
6630,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['28,850', '&nbsp;']","['26,005', '&nbsp;']","['2,845', '&nbsp;']"
6630,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['2,311 - 4,281', '&nbsp;']","['2,312', '&nbsp;']","['0 - 1,969', '&nbsp;']"
6630,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['1,423', '&nbsp;']","['1,372', '&nbsp;']","['51', '&nbsp;']"
6630,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['2,997', '&nbsp;']","['2,909', '&nbsp;']","['88', '&nbsp;']"
6630,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['1,326', 'i']","['1,318', 'i']","['9', '&nbsp;']"
6630,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['439', '&nbsp;']","['417', '&nbsp;']","['23', '&nbsp;']"
6630,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['743', '&nbsp;']","['720', '&nbsp;']","['24', 'i']"
6630,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['2,816 - 4,786', '&nbsp;']","['2,817', '&nbsp;']","['0 - 1,969', '&nbsp;']"
6630,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['1,550', '&nbsp;']","['1,542', '&nbsp;']","['8', '&nbsp;']"
6630,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['1,276', '&nbsp;']","['1,273', '&nbsp;']","['3', '&nbsp;']"
6630,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['1,104', '&nbsp;']","['1,060', '&nbsp;']","['44', '&nbsp;']"
6630,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['4,396', '&nbsp;']","['3,790', '&nbsp;']","['606', '&nbsp;']"
6630,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['1,387', '&nbsp;']","['1,150', '&nbsp;']","['237', '&nbsp;']"
6630,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['162', '&nbsp;']","['148', '&nbsp;']","['14', 'i']"
6630,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['1,712', '&nbsp;']","['1,557', '&nbsp;']","['156', '&nbsp;']"
6630,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['415', '&nbsp;']","['411', '&nbsp;']","['4', '&nbsp;']"
6630,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['2,551', '&nbsp;']","['2,233', '&nbsp;']","['318', '&nbsp;']"
6630,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['2,396', '&nbsp;']","['2,181', '&nbsp;']","['215', '&nbsp;']"
6630,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media,2,33412,"['20,122', '&nbsp;']","['19,990', '&nbsp;']","['132', '&nbsp;']"
6630,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['8,495', '&nbsp;']","['8,450', '&nbsp;']","['46', '&nbsp;']"
6630,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['2,589', 'i']","['1,628', 'i']","['961', 'i']"
6630,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['1,781', '&nbsp;']","['1,522', '&nbsp;']","['259', 'i']"
6630,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['1,292', '&nbsp;']","['1,285', '&nbsp;']","['7', '&nbsp;']"
