table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_r_d,field_basic_research,field_applied_research,field_experimental_development_total,field_experimental_development_advanced_technology,field_experimental_development_major_systems
6471,r001,All agencies,All agencies,,,,,1,167402781.5,41546622.0,43758135.4,82098024.1,na,na
6471,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,
6471,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,2643630.0,1163827.8,1224571.1,255231.2,na,na
6471,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,6952.5,0.0,3476.3,3476.3,na,na
6471,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1423528.8,711764.4,569411.5,142352.9,na,na
6471,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,39761.1,19082.1,0.0,20679.0,na,na
6471,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,81718.0,0.0,81718.0,0.0,na,na
6471,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,342010.7,84828.8,172456.5,84725.4,na,na
6471,r009,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,8996.0,0.0,4998.3,3997.7,na,na
6471,r010,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,737863.1,348152.5,389710.6,0.0,na,na
6471,r011,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,2800.0,0.0,2800.0,0.0,na,na
6471,r012,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,1621746.1,251170.4,1109644.1,260931.6,na,na
6471,r013,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,734875.4,251170.4,466253.3,17451.8,na,na
6471,r014,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,768061.6,0.0,597771.6,170290.0,na,na
6471,r015,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7692.0,0.0,7692.0,0.0,na,na
6471,r016,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,111117.0,0.0,37927.3,73189.8,na,na
6471,r017,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,66695019.2,2499140.7,6416163.1,57779715.3,8600278.9,49179436.4
6471,r018,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,3664293.0,482126.0,1524182.0,1657985.0,1489154.0,168831.0
6471,r019,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,2870444.1,10689.1,153364.3,2706390.7,1706000.9,1000389.8
