table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_r_d_expenditures,field_federal_government,field_state_and_local_government,field_business,field_nonprofit_organizations,field_all_other_sources
9272,r001,All FFRDCs,All FFRDCs,,,1,"['26,524,014', ' ']","['25,962,005', ' ']","['38,591', ' ']","['367,712', ' ']","['49,120', ' ']","['106,586', ' ']"
9272,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['7,165,067', ' ']","['7,015,547', ' ']","['16,502', ' ']","['65,210', ' ']","['19,726', ' ']","['48,082', ' ']"
9272,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['38,520', '']","['38,032', '']","['146', '']","['337', '']","['0', '']","['5', '']"
9272,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['962,973', '']","['934,724', '']","['1,129', '']","['20,725', '']","['326', '']","['6,069', '']"
9272,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['330,294', '']","['329,131', '']","['0', '']","['489', '']","['205', '']","['469', '']"
9272,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory,All FFRDCs,University-administered FFRDCs,Green Bank Observatory,3,"['10,752', '']","['10,384', '']","['0', '']","['29', '']","['210', '']","['129', '']"
9272,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,417,556', '']","['2,417,556', '']","['0', '']","['0', '']","['0', '']","['0', '']"
9272,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['1,031,716', '']","['971,554', '']","['11,074', '']","['23,723', '']","['7,458', '']","['17,907', '']"
9272,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,142,615', '']","['1,119,338', '']","['51', '']","['7,673', '']","['1,211', '']","['14,342', '']"
9272,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['188,238', '']","['171,310', '']","['1,398', '']","['6,956', '']","['8,566', '']","['8', '']"
