table_id,row_id,_b_consortium_b_full_path,_b_consortium_b_level_1,_b_consortium_b_level_2,_b_consortium_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
10421,r001,All consortia,All consortia,,1,199877,140230,57564,0,1964,119
10421,r002,All consortia -> Alaska Marine Safety Education Association ,All consortia,Alaska Marine Safety Education Association ,2,50,50,0,na,na,na
10421,r003,All consortia -> Alaska Native Tribal Health Consortium,All consortia,Alaska Native Tribal Health Consortium,2,6500,6500,0,na,na,na
10421,r004,All consortia -> American Indian Higher Education Consortium,All consortia,American Indian Higher Education Consortium,2,1164,636,0,0,528,0
10421,r005,All consortia -> Arctic Research Consortium of the United States,All consortia,Arctic Research Consortium of the United States,2,1921,1921,0,na,na,na
10421,r006,All consortia -> Association of Universities for Research in Astronomy,All consortia,Association of Universities for Research in Astronomy,2,56916,4510,52406,0,0,0
10421,r007,All consortia -> Commonwealth Center for Advanced Manufacturing,All consortia,Commonwealth Center for Advanced Manufacturing,2,350,350,0,na,na,na
10421,r008,All consortia -> Consortium for Ocean Leadership,All consortia,Consortium for Ocean Leadership,2,1261,1261,0,0,0,0
10421,r009,All consortia -> Consortium of Universities for the Advancement of Hydrologic Science Inc.,All consortia,Consortium of Universities for the Advancement of Hydrologic Science Inc.,2,3176,3176,0,0,0,0
10421,r010,All consortia -> Consortium of Universities of the Washington Metropolitan Area,All consortia,Consortium of Universities of the Washington Metropolitan Area,2,11122,11122,0,0,0,0
10421,r011,All consortia -> Great Lakes Inter-Tribal Council Inc.,All consortia,Great Lakes Inter-Tribal Council Inc.,2,1240,1240,0,na,na,na
10421,r012,All consortia -> Gulf of Mexico Alliance,All consortia,Gulf of Mexico Alliance,2,50,50,0,na,na,na
10421,r013,All consortia -> Land Institute,All consortia,Land Institute,2,165,165,0,na,na,na
10421,r014,All consortia -> Louisiana Universities Marine Consortium,All consortia,Louisiana Universities Marine Consortium,2,1139,1139,0,0,0,0
10421,r015,All consortia -> Marine Environmental Sciences Consortium,All consortia,Marine Environmental Sciences Consortium,2,1341,1341,0,0,0,0
10421,r016,All consortia -> National Consortium for Graduate Degrees for Minorities in Engineering and Science Inc.,All consortia,National Consortium for Graduate Degrees for Minorities in Engineering and Science Inc.,2,1221,1211,0,0,10,0
10421,r017,All consortia -> National Physical Science Consortium,All consortia,National Physical Science Consortium,2,330,211,0,0,0,119
10421,r018,All consortia -> New Jersey Sea Grant Consortium Inc.,All consortia,New Jersey Sea Grant Consortium Inc.,2,1874,1874,0,0,0,0
10421,r019,All consortia -> New Mexico Consortium,All consortia,New Mexico Consortium,2,264,264,0,0,0,0
10421,r020,All consortia -> New York Structural Biology Center,All consortia,New York Structural Biology Center,2,16600,16600,0,0,0,0
10421,r021,All consortia -> Northeast Radio Observatory Corp.,All consortia,Northeast Radio Observatory Corp.,2,5154,0,5154,0,0,0
10421,r022,All consortia -> Oak Ridge Associated Universities,All consortia,Oak Ridge Associated Universities,2,2006,2002,4,0,0,0
10421,r023,All consortia -> South Carolina Sea Grant Consortium,All consortia,South Carolina Sea Grant Consortium,2,1146,1146,0,0,0,0
10421,r024,All consortia -> South Carolina Universities Research and Education Foundation,All consortia,South Carolina Universities Research and Education Foundation,2,1427,0,0,0,1427,0
10421,r025,All consortia -> Southeastern Universities Research Association,All consortia,Southeastern Universities Research Association,2,13,13,0,0,0,0
10421,r026,All consortia -> Southwestern Ohio Council for Higher Education,All consortia,Southwestern Ohio Council for Higher Education,2,1002,1002,0,0,0,0
10421,r027,All consortia -> SRCCO Inc.,All consortia,SRCCO Inc.,2,18434,18434,0,na,na,na
10421,r028,All consortia -> Stephenson Technologies Corp.,All consortia,Stephenson Technologies Corp.,2,220,220,na,na,na,na
10421,r029,"All consortia -> U. Alaska, Fairbanks",All consortia,"U. Alaska, Fairbanks",2,13480,13480,0,0,0,0
10421,r030,All consortia -> U. Corp. for Atmospheric Research,All consortia,U. Corp. for Atmospheric Research,2,35390,35390,0,0,0,0
10421,r031,All consortia -> UNAVCO Inc.,All consortia,UNAVCO Inc.,2,14809,14809,0,0,0,0
10421,r032,All consortia -> Universities Research Association,All consortia,Universities Research Association,2,113,113,0,0,0,0
